t,eps_f,eps_g
10,0.0111111,0.000555556
20,0.0111111,0.000555556
30,0.0111111,0.000555556
40,0.0111111,0.000555556
50,0.0111111,0.000555556
60,0.0111111,0.000555556
70,0.0111111,0.000555556
80,0.0111111,0.000555556
90,0.0111111,0.000555556
100,0.0111111,0.000555556
110,0.0111111,0.000555556
120,0.0111111,0.000555556
130,0.0111111,0.000555556
140,0.0111111,0.000555556
150,0.0111111,0.000555556
160,0.0111111,0.000555556
170,0.0111111,0.000555556
180,0.0111111,0.000555556
190,0.0111111,0.000555556
200,0.0111111,0.000555556
210,0.0111111,0.000555556
220,0.0111111,0.000555556
230,0.0111111,0.000555556
240,0.0111111,0.000555556
250,0.0111111,0.000555556
260,0.0111111,0.000555556
270,0.0111111,0.000555556
280,0.0111111,0.000555556
290,0.0111111,0.000555556
300,0.0111111,0.000555556
310,0.0111111,0.000555556
320,0.0111111,0.000555556
330,0.0111111,0.000555556
340,0.0111111,0.000555556
350,0.0111111,0.000555556
360,0.0111111,0.000555556
370,0.0111111,0.000555556
380,0.0111111,0.000555556
390,0.0111111,0.000555556
400,0.0111111,0.000555556
410,0.0111111,0.000555556
420,0.0111111,0.000555556
430,0.0111111,0.000555556
440,0.0111111,0.000555556
450,0.0111111,0.000555556
460,0.0111111,0.000555556
470,0.0111111,0.000555556
480,0.0111111,0.000555556
490,0.0111111,0.000555556
500,0.0111111,0.000555556
510,0.0111111,0.000555556
520,0.0111111,0.000555556
530,0.0111111,0.000555556
540,0.0111111,0.000555556
550,0.0111111,0.000555556
560,0.0111111,0.000555556
570,0.0111111,0.000555556
580,0.0111111,0.000555556
590,0.0111111,0.000555556
600,0.0111111,0.000555556
610,0.0111111,0.000555556
620,0.0111111,0.000555556
630,0.0111111,0.000555556
640,0.0111111,0.000555556
650,0.0111111,0.000555556
660,0.0111111,0.000555556
670,0.0111111,0.000555556
680,0.0111111,0.000555556
690,0.0111111,0.000555556
700,0.0111111,0.000555556
710,0.0111111,0.000555556
720,0.0111111,0.000555556
730,0.0111111,0.000555556
740,0.0111111,0.000555556
750,0.0111111,0.000555556
760,0.0111111,0.000555556
770,0.0111111,0.000555556
780,0.0111111,0.000555556
790,0.0111111,0.000555556
800,0.0111111,0.000555556
810,0.0111111,0.000555556
820,0.0111111,0.000555556
830,0.0111111,0.000555556
840,0.0111111,0.000555556
850,0.0111111,0.000555556
860,0.0111111,0.000555556
870,0.0111111,0.000555556
880,0.0111111,0.000555556
890,0.0111111,0.000555556
900,0.0111111,0.000555556
910,0.0111111,0.000555556
920,0.0111111,0.000555556
930,0.0111111,0.000555556
940,0.0111111,0.000555556
950,0.0111111,0.000555556
960,0.0111111,0.000555556
970,0.0111111,0.000555556
980,0.0111111,0.000555556
990,0.0111111,0.000555556
1000,0.0111111,0.000555556
1010,0.0111111,0.000555556
1020,0.0111111,0.000555556
1030,0.0111111,0.000555556
1040,0.0111111,0.000555556
1050,0.0111111,0.000555556
1060,0.0111111,0.000555556
1070,0.0111111,0.000555556
1080,0.0111111,0.000555556
1090,0.0111111,0.000555556
1100,0.0111111,0.000555556
1110,0.0111111,0.000555556
1120,0.0111111,0.000555556
1130,0.0111111,0.000555556
1140,0.0111111,0.000555556
1150,0.0111111,0.000555556
1160,0.0111111,0.000555556
1170,0.0111111,0.000555556
1180,0.0111111,0.000555556
1190,0.0111111,0.000555556
1200,0.0111111,0.000555556
1210,0.0111111,0.000555556
1220,0.0111111,0.000555556
1230,0.0111111,0.000555556
1240,0.0111111,0.000555556
1250,0.0111111,0.000555556
1260,0.0111111,0.000555556
1270,0.0111111,0.000555556
1280,0.0111111,0.000555556
1290,0.0111111,0.000555556
1300,0.0111111,0.000555556
1310,0.0111111,0.000555556
1320,0.0111111,0.000555556
1330,0.0111111,0.000555556
1340,0.0111111,0.000555556
1350,0.0111111,0.000555556
1360,0.0111111,0.000555556
1370,0.0111111,0.000555556
1380,0.0111111,0.000555556
1390,0.0111111,0.000555556
1400,0.0111111,0.000555556
1410,0.0111111,0.000555556
1420,0.0111111,0.000555556
1430,0.0111111,0.000555556
1440,0.0111111,0.000555556
1450,0.0111111,0.000555556
1460,0.0111111,0.000555556
1470,0.0111111,0.000555556
1480,0.0111111,0.000555556
1490,0.0111111,0.000555556
1500,0.0111111,0.000555556
1510,0.0111111,0.000555556
1520,0.0111111,0.000555556
1530,0.0111111,0.000555556
1540,0.0111111,0.000555556
1550,0.0111111,0.000555556
1560,0.0111111,0.000555556
1570,0.0111111,0.000555556
1580,0.0111111,0.000555556
1590,0.0111111,0.000555556
1600,0.0111111,0.000555556
1610,0.0111111,0.000555556
1620,0.0111111,0.000555556
1630,0.0111111,0.000555556
1640,0.0111111,0.000555556
1650,0.0111111,0.000555556
1660,0.0111111,0.000555556
1670,0.0111111,0.000555556
1680,0.0111111,0.000555556
1690,0.0111111,0.000555556
1700,0.0111111,0.000555556
1710,0.0111111,0.000555556
1720,0.0111111,0.000555556
1730,0.0111111,0.000555556
1740,0.0111111,0.000555556
1750,0.0111111,0.000555556
1760,0.0111111,0.000555556
1770,0.0111111,0.000555556
1780,0.0111111,0.000555556
1790,0.0111111,0.000555556
1800,0.0111111,0.000555556
1810,0.0111111,0.000555556
1820,0.0111111,0.000555556
1830,0.0111111,0.000555556
1840,0.0111111,0.000555556
1850,0.0111111,0.000555556
1860,0.0111111,0.000555556
1870,0.0111111,0.000555556
1880,0.0111111,0.000555556
1890,0.0111111,0.000555556
1900,0.0111111,0.000555556
1910,0.0111111,0.000555556
1920,0.0111111,0.000555556
1930,0.0111111,0.000555556
1940,0.0111111,0.000555556
1950,0.0111111,0.000555556
1960,0.0111111,0.000555556
1970,0.0111111,0.000555556
1980,0.0111111,0.000555556
1990,0.0111111,0.000555556
2000,0.0111111,0.000555556
2010,0.0111111,0.000555556
2020,0.0111111,0.000555556
2030,0.0111111,0.000555556
2040,0.0111111,0.000555556
2050,0.0111111,0.000555556
2060,0.0111111,0.000555556
2070,0.0111111,0.000555556
2080,0.0111111,0.000555556
2090,0.0111111,0.000555556
2100,0.0111111,0.000555556
2110,0.0111111,0.000555556
2120,0.0111111,0.000555556
2130,0.0111111,0.000555556
2140,0.0111111,0.000555556
2150,0.0111111,0.000555556
2160,0.0111111,0.000555556
2170,0.0111111,0.000555556
2180,0.0111111,0.000555556
2190,0.0111111,0.000555556
2200,0.0111111,0.000555556
2210,0.0111111,0.000555556
2220,0.0111111,0.000555556
2230,0.0111111,0.000555556
2240,0.0111111,0.000555556
2250,0.0111111,0.000555556
2260,0.0111111,0.000555556
2270,0.0111111,0.000555556
2280,0.0111111,0.000555556
2290,0.0111111,0.000555556
2300,0.0111111,0.000555556
2310,0.0111111,0.000555556
2320,0.0111111,0.000555556
2330,0.0111111,0.000555556
2340,0.0111111,0.000555556
2350,0.0111111,0.000555556
2360,0.0111111,0.000555556
2370,0.0111111,0.000555556
2380,0.0111111,0.000555556
2390,0.0111111,0.000555556
2400,0.0111111,0.000555556
2410,0.0111111,0.000555556
2420,0.0111111,0.000555556
2430,0.0111111,0.000555556
2440,0.0111111,0.000555556
2450,0.0111111,0.000555556
2460,0.0111111,0.000555556
2470,0.0111111,0.000555556
2480,0.0111111,0.000555556
2490,0.0111111,0.000555556
2500,0.0111111,0.000555556
2510,0.0111111,0.000555556
2520,0.0111111,0.000555556
2530,0.0111111,0.000555556
2540,0.0111111,0.000555556
2550,0.0111111,0.000555556
2560,0.0111111,0.000555556
2570,0.0111111,0.000555556
2580,0.0111111,0.000555556
2590,0.0111111,0.000555556
2600,0.0111111,0.000555556
2610,0.0111111,0.000555556
2620,0.0111111,0.000555556
2630,0.0111111,0.000555556
2640,0.0111111,0.000555556
2650,0.0111111,0.000555556
2660,0.0111111,0.000555556
2670,0.0111111,0.000555556
2680,0.0111111,0.000555556
2690,0.0111111,0.000555556
2700,0.0111111,0.000555556
2710,0.0111111,0.000555556
2720,0.0111111,0.000555556
2730,0.0111111,0.000555556
2740,0.0111111,0.000555556
2750,0.0111111,0.000555556
2760,0.0111111,0.000555556
2770,0.0111111,0.000555556
2780,0.0111111,0.000555556
2790,0.0111111,0.000555556
2800,0.0111111,0.000555556
2810,0.0111111,0.000555556
2820,0.0111111,0.000555556
2830,0.0111111,0.000555556
2840,0.0111111,0.000555556
2850,0.0111111,0.000555556
2860,0.0111111,0.000555556
2870,0.0111111,0.000555556
2880,0.0111111,0.000555556
2890,0.0111111,0.000555556
2900,0.0111111,0.000555556
2910,0.0111111,0.000555556
2920,0.0111111,0.000555556
2930,0.0111111,0.000555556
2940,0.0111111,0.000555556
2950,0.0111111,0.000555556
2960,0.0111111,0.000555556
2970,0.0111111,0.000555556
2980,0.0111111,0.000555556
2990,0.0111111,0.000555556
3000,0.0111111,0.000555556
