MDTU,0,2,4,6,8,10
10,0.0410619,0.0410929,0.0413361,0.0413593,0.0422438,0.0422574
20,0.0410619,0.0410929,0.0413361,0.0413593,0.0422438,0.0422574
30,0.0410619,0.0410929,0.0413361,0.0413593,0.0422438,0.0422574
40,0.0410619,0.0410929,0.0413361,0.0413593,0.0422438,0.0422574
50,0.0373809,0.0374831,0.0387484,0.0390025,0.0398963,0.0402724
60,0.0261638,0.0263639,0.0282375,0.0285072,0.0289624,0.028988
70,0.0249617,0.025165,0.0259892,0.0261346,0.0276362,0.02767
80,0.0238363,0.0238966,0.0249024,0.024939,0.0261889,0.0262352
90,0.0239681,0.0241521,0.0248093,0.0248985,0.0264238,0.0266209
100,0.0240573,0.0241475,0.0253188,0.0254824,0.026846,0.0269386
110,0.025658,0.0256731,0.0266875,0.0268427,0.0273957,0.027906
120,0.0226504,0.0230869,0.024816,0.0248575,0.0259534,0.0260436
130,0.0231128,0.0231662,0.023956,0.0240569,0.0262981,0.0264511
140,0.0251074,0.0252212,0.0261427,0.0262916,0.0267633,0.0268536
150,0.021836,0.0218734,0.0232919,0.0234112,0.0251269,0.0251782
160,0.0240457,0.0241769,0.0251666,0.0253609,0.0261517,0.0265493
170,0.0259433,0.0262583,0.0270574,0.0271235,0.0274371,0.0276081
180,0.0240321,0.0241181,0.0260027,0.0260091,0.0262061,0.0262979
190,0.0278121,0.027901,0.0290441,0.0292129,0.0295481,0.0298504
200,0.0270798,0.0272575,0.0282432,0.0283413,0.0293303,0.0295504
210,0.0253618,0.0254081,0.0272095,0.0273859,0.0274646,0.0277277
220,0.0220635,0.0221996,0.0234873,0.0235452,0.0251015,0.0254563
230,0.0243166,0.0247355,0.0251423,0.025405,0.0255965,0.0257015
240,0.0230622,0.0231233,0.0250111,0.0250432,0.0255905,0.0256495
250,0.0228855,0.0229647,0.0244842,0.02454,0.025295,0.0253614
260,0.0241993,0.0244113,0.0247305,0.0248409,0.0262974,0.0264784
270,0.0245798,0.0246819,0.0253304,0.0254597,0.0260666,0.0261638
280,0.0239017,0.0242784,0.0255808,0.025737,0.0258701,0.0261631
290,0.0234498,0.0234909,0.0254298,0.0257105,0.0259926,0.026093
300,0.0274939,0.0275101,0.0285569,0.028623,0.028972,0.029118
310,0.0254858,0.0255685,0.0268289,0.0269346,0.0270163,0.0271193
320,0.0250679,0.0251047,0.0267609,0.0268737,0.0271381,0.0274515
330,0.0262353,0.0265154,0.0274488,0.0274607,0.0282069,0.0284302
340,0.0252706,0.0252872,0.0272234,0.027382,0.0278912,0.0280596
350,0.0259175,0.0260779,0.027285,0.0274987,0.0286246,0.0292779
360,0.0247064,0.0249099,0.0265543,0.0266646,0.0270502,0.0271674
370,0.0238091,0.023823,0.0263667,0.0264135,0.0265205,0.0267122
380,0.0255782,0.0256246,0.0272463,0.027338,0.0274041,0.0274654
390,0.025107,0.0252888,0.0257832,0.0258001,0.0268877,0.0270175
400,0.0254582,0.0254783,0.0266161,0.0266232,0.0279204,0.0281354
410,0.023264,0.0233977,0.0246807,0.0246994,0.0253881,0.0254216
420,0.0260126,0.0261188,0.0270654,0.0272277,0.0286087,0.0287998
430,0.0255197,0.0255883,0.0267838,0.0269384,0.0269841,0.0271162
440,0.0246599,0.0248317,0.0261488,0.0263521,0.0276543,0.0279754
450,0.0230033,0.0233333,0.0242853,0.0244483,0.0260333,0.0265545
460,0.0246376,0.0249122,0.0258389,0.0259513,0.0265239,0.0268279
470,0.0236881,0.0237439,0.025114,0.0251342,0.0258789,0.0260957
480,0.0234646,0.0235064,0.026011,0.0260766,0.0264298,0.0266077
490,0.0239994,0.0240577,0.0245117,0.0246139,0.0256797,0.0258873
500,0.0250492,0.0253617,0.0263799,0.0264708,0.0280083,0.0282426
510,0.0246782,0.024985,0.0263057,0.0268943,0.0271925,0.0272873
520,0.0242342,0.0242527,0.0264352,0.0265078,0.0268193,0.0273737
530,0.0265478,0.026899,0.0282332,0.0284093,0.0293461,0.0294236
540,0.0228722,0.0230245,0.0245509,0.0246136,0.0254841,0.0255171
550,0.0249975,0.0255159,0.0261381,0.0265186,0.0272238,0.0273736
560,0.0236589,0.0239433,0.0255122,0.0256422,0.0260855,0.0262589
570,0.0253039,0.025402,0.0264455,0.0265236,0.0276743,0.0278843
580,0.0249333,0.0251232,0.0271811,0.0273402,0.0284012,0.0285968
590,0.0248894,0.0250725,0.0253401,0.0255975,0.0274584,0.0276154
600,0.0249467,0.0250065,0.026232,0.0264271,0.0268205,0.0269661
610,0.0246861,0.0247962,0.0255491,0.0256314,0.0265598,0.0265763
620,0.0231778,0.0233205,0.0256924,0.0258023,0.0267483,0.0269658
630,0.0240928,0.0243423,0.0243965,0.02464,0.026544,0.0266728
640,0.0243628,0.0244413,0.0263949,0.026442,0.0269744,0.0270455
650,0.0241389,0.0243542,0.0258849,0.0260243,0.027488,0.0280568
660,0.0266094,0.0266512,0.0273446,0.0274185,0.0282994,0.0286997
670,0.0224713,0.0225887,0.0241801,0.0242092,0.0254668,0.0255522
680,0.0258418,0.0259344,0.0270755,0.027201,0.0278296,0.0278658
690,0.0231341,0.023261,0.0240176,0.0240658,0.0253408,0.0257608
700,0.0244602,0.0245656,0.025932,0.0260793,0.0264808,0.0265421
710,0.0233778,0.0235078,0.0250572,0.0250707,0.0255378,0.0256929
720,0.0223343,0.0226761,0.0239845,0.0241742,0.0253391,0.0254279
730,0.0267235,0.0270758,0.0273138,0.0274044,0.0285463,0.0286767
740,0.0228208,0.022989,0.024459,0.0247411,0.0253413,0.025529
750,0.023857,0.0239644,0.0260795,0.026145,0.0262787,0.0272679
760,0.0223851,0.0226098,0.0236261,0.0236576,0.0248487,0.0249113
770,0.0259531,0.0260291,0.0278959,0.0279751,0.0283892,0.028636
780,0.0222868,0.0224446,0.0245063,0.0245954,0.0253563,0.0256209
790,0.0260293,0.0262607,0.0272826,0.0275608,0.0285141,0.0287001
800,0.024983,0.0253039,0.0269015,0.0270251,0.0272801,0.0274759
810,0.0256322,0.0258744,0.0276736,0.0277408,0.0278546,0.0279488
820,0.0249654,0.0250696,0.0257032,0.0261039,0.0267718,0.0269735
830,0.0247836,0.0249708,0.0271473,0.0271745,0.027197,0.0273527
840,0.0239211,0.0241024,0.0246041,0.0247745,0.0255519,0.0255885
850,0.0246763,0.02481,0.0258237,0.0258425,0.0268212,0.0270654
860,0.025124,0.0251625,0.0267737,0.0269127,0.027379,0.0276006
870,0.0267858,0.0268446,0.0275494,0.0278015,0.027916,0.0280184
880,0.0236154,0.0236244,0.0245194,0.0246145,0.0250161,0.0250566
890,0.0228388,0.0230269,0.0246828,0.0248704,0.0258889,0.0259189
900,0.0278578,0.027984,0.0286518,0.0288458,0.0301729,0.0304434
