t,walltime
10,13.35
20,13.42
30,13.42
40,13.4
50,13.39
60,13.59
70,13.57
80,13.6
90,13.59
100,13.46
110,13.45
120,13.77
130,13.49
140,13.54
150,13.54
160,13.63
170,13.59
180,13.57
190,13.6
200,13.41
210,13.69
220,13.59
230,13.79
240,13.55
250,13.58
260,13.64
270,13.55
280,13.5
290,13.64
300,13.63
310,13.61
320,13.57
330,13.5
340,13.59
350,13.68
360,13.59
370,13.63
380,13.65
390,13.46
400,13.73
410,13.7
420,13.55
430,13.64
440,13.59
450,13.53
460,13.47
470,13.63
480,13.73
490,13.71
500,13.65
510,13.61
520,13.6
530,13.69
540,13.63
550,13.59
560,13.68
570,13.53
580,13.51
590,13.64
600,13.56
610,13.55
620,13.6
630,13.64
640,13.42
650,13.6
660,13.63
670,13.69
680,13.44
690,13.62
700,13.66
710,13.52
720,13.45
730,13.67
740,13.64
750,13.6
760,13.65
770,13.6
780,13.66
790,13.53
800,13.54
810,13.64
820,13.49
830,13.64
840,13.52
850,13.61
860,13.53
870,13.48
880,13.59
890,13.64
900,13.45
910,13.7
920,13.73
930,13.65
940,13.61
950,13.63
960,13.61
970,13.65
980,13.55
990,13.66
1000,13.67
1010,13.52
1020,13.69
1030,13.66
1040,13.76
1050,13.57
1060,13.59
1070,13.64
1080,13.81
1090,13.64
1100,13.53
1110,13.72
1120,13.55
1130,13.6
1140,13.8
1150,13.66
1160,13.55
1170,13.66
1180,13.71
1190,13.46
1200,13.57
1210,13.62
1220,13.73
1230,13.5
1240,13.58
1250,13.67
1260,13.55
1270,13.6
1280,13.55
1290,13.51
1300,13.78
1310,13.84
1320,13.73
1330,13.65
1340,13.61
1350,13.63
1360,13.58
1370,13.67
1380,13.76
1390,13.7
1400,13.64
1410,13.79
1420,13.73
1430,13.64
1440,13.86
1450,13.68
1460,13.57
1470,13.77
1480,13.5
1490,13.67
1500,13.68
1510,13.64
1520,13.6
1530,13.69
1540,13.73
1550,13.63
1560,13.61
1570,13.85
1580,13.74
1590,13.69
1600,13.58
1610,13.78
1620,13.71
1630,13.7
1640,13.75
1650,13.66
1660,13.69
1670,13.64
1680,13.65
1690,13.82
1700,13.69
1710,13.78
1720,13.63
1730,13.74
1740,13.87
1750,13.8
1760,13.86
1770,13.63
1780,13.78
1790,13.76
1800,13.8
1810,13.75
1820,13.86
1830,13.75
1840,13.72
1850,13.75
1860,13.8
1870,13.84
1880,13.97
1890,13.93
1900,14.02
1910,13.88
1920,13.82
1930,13.82
1940,13.65
1950,13.99
1960,13.8
1970,13.86
1980,13.89
1990,13.84
2000,14.03
2010,13.94
2020,13.82
2030,13.86
2040,13.82
2050,13.83
2060,13.89
2070,13.78
2080,14
2090,14.05
2100,13.91
2110,14
2120,14.01
2130,14.09
2140,13.82
2150,13.95
2160,13.97
2170,14
2180,14
2190,14.01
2200,14.04
2210,14.07
2220,14.13
2230,13.89
2240,13.94
2250,14.08
2260,14.02
2270,14.04
2280,14.03
2290,14.11
2300,14.01
2310,14.03
2320,14.16
2330,13.91
2340,14.04
2350,14.08
2360,14.07
2370,14.1
2380,14.06
2390,14.2
2400,13.92
2410,14.15
2420,14.18
2430,13.95
2440,14.16
2450,14.12
2460,14.2
2470,14.12
2480,14.2
2490,14.31
2500,14.22
2510,14.01
2520,14.2
2530,14.28
2540,14.33
2550,14.13
2560,14.29
2570,14.3
2580,14.2
2590,14.14
2600,14.37
2610,14.48
2620,14.52
2630,14.53
2640,14.33
2650,14.22
2660,14.48
2670,14.47
2680,14.44
2690,14.33
2700,14.18
2710,14.3
2720,14.57
2730,14.52
2740,14.46
2750,14.36
2760,14.38
2770,14.32
2780,14.48
2790,14.37
2800,14.43
2810,14.51
2820,14.43
2830,14.41
2840,14.48
2850,14.55
2860,14.65
2870,14.5
2880,14.7
2890,14.44
2900,14.55
2910,14.55
2920,14.65
2930,14.59
2940,14.62
2950,14.61
2960,14.61
2970,14.41
2980,14.68
2990,14.58
3000,14.57
3010,14.85
3020,14.71
3030,14.64
3040,14.68
3050,14.58
3060,14.59
3070,14.35
3080,14.73
3090,14.59
3100,14.67
3110,14.88
3120,14.87
3130,14.87
3140,14.88
3150,14.99
3160,14.77
3170,14.84
3180,14.77
3190,14.75
3200,14.75
3210,14.93
3220,14.94
3230,14.8
3240,14.73
3250,14.57
3260,14.71
3270,14.91
3280,14.96
3290,14.93
3300,14.92
3310,15.07
3320,14.99
3330,15.14
3340,14.7
3350,14.88
3360,15.01
3370,14.86
3380,15
3390,14.93
3400,14.86
3410,15
3420,15
3430,15.26
3440,15.2
3450,15.26
3460,15.16
3470,15.12
3480,15.14
3490,14.99
3500,15.16
