MDTU,S_B
1,0.90367
2,0.94131
3,0.957481
4,0.957481
5,0.957481
6,0.958806
7,0.958806
8,0.958806
9,0.958806
10,0.958806
11,0.958806
12,0.966158
13,0.964745
14,0.964745
15,0.964745
16,0.96894
17,0.96894
18,0.98238
19,0.992449
20,0.985791
21,0.994689
22,0.994689
23,0.994689
24,0.99875
25,0.990125
26,0.990125
27,1.00299
28,1.00299
29,0.991844
30,0.989455
31,0.989455
32,0.990508
33,0.990508
34,0.988646
35,0.988646
36,0.997476
37,0.995087
38,0.992484
39,0.994642
40,1.00422
41,1.00422
42,1.00422
43,0.993462
44,0.992584
45,0.995743
46,0.995743
47,0.999164
48,0.999112
49,0.999112
50,1.00221
51,1.00221
52,0.994538
53,0.983721
54,0.994391
55,0.994391
56,0.991859
57,0.993377
58,1.0043
59,0.993921
60,0.999869
61,0.996422
62,1.00098
63,0.992104
64,0.999393
65,0.998857
66,0.996643
67,0.996643
68,0.999312
69,0.991317
70,0.991625
71,0.995192
72,0.991195
73,0.991195
74,0.999382
75,0.997773
76,0.997773
77,0.997773
78,0.998689
79,0.998689
80,0.996097
81,0.998671
82,0.998671
83,1.00402
84,0.996538
85,1.00313
86,1.00483
87,1.00109
88,1.00109
89,1.00109
90,1.00109
91,1.01231
92,1.00468
93,1.00402
94,1.01175
95,1.00069
96,0.999484
97,1.00352
98,1.0034
99,0.994189
100,1.00434
101,1.00434
102,0.996861
103,0.996168
104,1.00625
105,1.00625
106,1.00625
107,1.01099
108,1.01367
109,1.01367
110,0.996266
111,1.00269
112,1.00283
113,1.00337
114,0.995913
115,1.00276
116,0.994737
117,0.994737
118,0.999708
119,0.993346
120,0.990582
121,0.990582
122,0.999233
123,1.00614
124,0.994906
125,0.989167
126,1.01036
127,1.00716
128,1.00804
129,0.99944
130,0.99944
131,1.00049
132,1.00049
133,0.990258
134,1.0032
135,1.0032
136,0.996057
137,1.00241
138,0.996573
139,1.00111
140,1.00111
141,0.99704
142,1.0018
143,0.989315
144,0.987992
145,0.987235
146,0.987235
147,0.989849
148,0.990299
149,0.994439
150,0.994439
151,0.994439
152,1.00675
153,1.00905
154,1.00905
155,0.999765
156,0.996367
157,0.999417
158,0.990094
159,1.00039
160,0.989512
161,0.998571
162,0.998571
163,0.998571
164,0.996453
165,0.987865
166,0.992101
167,0.986218
168,0.995375
169,0.992213
170,0.995387
171,0.988618
172,0.991069
173,0.991069
174,0.98889
175,0.98889
176,0.994155
177,0.985325
178,0.99172
179,0.990611
180,0.990483
181,0.990335
182,0.997904
183,1.00211
184,1.00211
185,1.00211
186,1.00211
187,1.01327
188,1.01327
189,0.98765
190,0.996872
191,0.996872
192,1.00073
193,1.00118
194,1.00118
195,0.997785
196,0.988784
197,0.993314
198,0.993552
199,0.985955
200,0.999105
201,0.990836
202,1.00343
203,1.00348
204,1.00481
205,0.99919
206,1.00029
207,1.00029
208,1.00029
209,1.00059
210,1.00045
211,1.00749
212,1.00116
213,0.999004
214,1.00196
215,1.01058
216,0.995221
217,1.00041
218,1.00015
219,1.00378
220,1.00378
221,1.00203
222,1.00262
223,1.00392
224,0.999882
225,0.997117
226,1.00555
227,0.988956
228,0.992578
229,0.996032
230,0.992099
231,0.998087
232,0.994766
233,0.993885
234,0.992108
235,0.988963
236,0.989591
237,1.00223
238,0.998512
239,0.992606
240,0.998354
241,0.998528
242,0.998528
243,1.00122
244,0.993986
245,0.9968
246,0.9968
247,0.9968
248,0.998823
249,0.998823
250,0.998393
251,1.00053
252,1.00053
253,1.01158
254,1.01158
255,1.01094
256,1.01094
257,0.998832
258,0.998832
259,1.00025
260,0.992252
261,0.996225
262,0.993964
263,0.994615
264,0.991563
265,0.991563
266,0.991563
267,0.991563
268,1.01132
269,0.99478
270,0.99478
271,0.99478
272,1.0073
273,1.0073
274,1.00126
275,0.995316
276,0.995316
277,0.989071
278,0.998067
279,0.997337
280,0.994133
281,0.992498
282,0.992498
283,0.988648
284,1.00219
285,0.99768
286,0.99768
287,0.987655
288,0.996319
289,1.00629
290,0.997648
291,0.990678
292,0.996462
293,0.997485
294,0.997485
295,0.985031
296,0.995776
297,0.99021
298,0.990393
299,0.990598
300,1.00108
301,1.00141
