ReTr(Lx),ImTr(Lx)
2.19879,3.22114
1.9613,2.79334
1.19878,3.03861
1.19878,3.03861
1.19878,3.03861
0.280112,1.95708
0.280112,1.95708
0.280112,1.95708
0.280112,1.95708
0.280112,1.95708
0.280112,1.95708
-0.438368,1.78222
0.673905,1.75907
0.673905,1.75907
0.673905,1.75907
1.12028,0.665807
1.12028,0.665807
0.860825,0.657564
0.526756,0.415105
0.763162,0.438585
0.184057,0.511997
0.184057,0.511997
0.184057,0.511997
0.0035338,0.692328
0.144712,0.634897
0.144712,0.634897
-0.0624781,0.754176
-0.0624781,0.754176
-0.0737027,0.676886
-0.0391479,0.582187
-0.0391479,0.582187
0.0621591,0.382171
0.0621591,0.382171
0.315394,0.370277
0.315394,0.370277
-0.0320716,0.531618
-0.0462969,0.352409
0.0140747,0.255588
-0.254397,0.0956225
-0.246569,0.16241
-0.246569,0.16241
-0.246569,0.16241
-0.348274,0.0568011
-0.358167,0.0500237
-0.406859,0.109014
-0.406859,0.109014
-0.223923,-0.167682
-0.371251,-0.00586657
-0.371251,-0.00586657
-0.426116,-0.198967
-0.426116,-0.198967
-0.459537,0.0790252
-0.472712,0.121132
-0.349187,0.377881
-0.349187,0.377881
-0.444119,0.421429
-0.41125,0.358439
-0.44893,0.354648
-0.452515,0.336213
-0.39243,0.23001
-0.381653,0.175482
-0.359947,0.364677
-0.415822,0.138415
-0.461603,0.157495
-0.523651,0.0729512
-0.524673,0.0111388
-0.524673,0.0111388
-0.505867,0.275521
-0.402989,0.230209
-0.394403,0.214044
-0.562489,0.0840642
-0.341767,-0.0554088
-0.341767,-0.0554088
-0.416092,0.0581575
-0.493752,0.123799
-0.493752,0.123799
-0.493752,0.123799
-0.349853,0.0832633
-0.349853,0.0832633
-0.215181,0.251976
-0.376649,-0.0177082
-0.376649,-0.0177082
-0.410678,0.111177
-0.445248,-0.109729
-0.604138,-0.260935
-0.384631,-0.230018
-0.321593,-0.141517
-0.321593,-0.141517
-0.321593,-0.141517
-0.321593,-0.141517
-0.383447,-0.144261
-0.274953,-0.453561
-0.137205,-0.333075
-0.0980808,-0.516939
0.110406,-0.416057
-0.10084,-0.468404
0.0446239,-0.575865
-0.296054,-0.568453
-0.124746,-0.371778
-0.0738998,-0.405947
-0.0738998,-0.405947
-0.144065,-0.331698
-0.0683487,-0.326191
-0.148562,0.000604165
-0.148562,0.000604165
-0.148562,0.000604165
-0.131777,-0.142192
-0.253307,0.0734498
-0.253307,0.0734498
-0.239722,0.160342
-0.381302,0.153486
-0.466246,-0.00444461
-0.416297,0.0890733
-0.448675,-0.130326
-0.299609,-0.290598
-0.0590903,-0.0941283
-0.0590903,-0.0941283
-0.151413,-0.18182
-0.271503,-0.0586878
-0.112518,-0.0998542
-0.112518,-0.0998542
-0.168018,-0.0635143
-0.239692,0.18529
-0.170756,0.105174
-0.247868,0.0977458
-0.207757,0.0124456
-0.486107,-0.0606227
-0.470837,-0.22064
-0.612165,-0.0235344
-0.612165,-0.0235344
-0.527046,-0.0635313
-0.527046,-0.0635313
-0.36053,-0.25401
-0.43266,-0.149078
-0.43266,-0.149078
-0.364909,-0.270127
-0.407417,-0.263688
-0.337572,-0.344338
