MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,2.59411,1.82009,-1.84843
2,2.42821,1.37122,-2.00399
3,2.26655,1.20407,-1.92027
4,2.26655,1.20407,-1.92027
5,2.26655,1.20407,-1.92027
6,2.23458,1.18834,-1.8924
7,2.23458,1.18834,-1.8924
8,2.23458,1.18834,-1.8924
9,2.23458,1.18834,-1.8924
10,2.23458,1.18834,-1.8924
11,2.23458,1.18834,-1.8924
12,1.82748,0.723044,-1.67836
13,1.53494,0.656918,-1.38727
14,1.53494,0.656918,-1.38727
15,1.53494,0.656918,-1.38727
16,1.65864,0.52848,-1.57219
17,1.65864,0.52848,-1.57219
18,1.5588,0.498267,-1.47702
19,1.48551,0.67175,-1.32494
20,1.28764,0.670867,-1.09907
21,1.41838,0.750219,-1.20373
22,1.41838,0.750219,-1.20373
23,1.41838,0.750219,-1.20373
24,1.4006,1.08928,-0.880425
25,1.38989,1.18164,-0.731789
26,1.38989,1.18164,-0.731789
27,1.33241,1.16874,-0.639818
28,1.33241,1.16874,-0.639818
29,1.28229,1.1536,-0.559903
30,1.22569,1.17436,-0.350989
31,1.22569,1.17436,-0.350989
32,1.18072,1.15058,-0.265098
33,1.18072,1.15058,-0.265098
34,1.20957,1.20355,-0.120524
35,1.20957,1.20355,-0.120524
36,1.32669,1.32668,0.00350377
37,1.19636,1.19587,0.0342233
38,1.23614,1.23467,0.0603126
39,1.35676,1.33313,0.252113
40,1.31842,1.305,0.187576
41,1.31842,1.305,0.187576
42,1.31842,1.305,0.187576
43,1.24188,1.13602,0.501726
44,1.26387,1.22324,0.317883
45,1.23313,1.23181,0.0572237
46,1.23313,1.23181,0.0572237
47,1.26532,1.26128,0.101083
48,1.33384,1.32417,0.160296
49,1.33384,1.32417,0.160296
50,1.31845,1.31218,0.128461
51,1.31845,1.31218,0.128461
52,1.3864,1.38409,0.0800368
53,1.22269,1.21032,0.173481
54,1.31125,1.30835,-0.0871683
55,1.31125,1.30835,-0.0871683
56,1.21823,1.19721,0.225342
57,1.28486,1.23413,0.357463
58,1.24949,1.148,0.493296
59,1.21712,1.20912,0.139281
60,1.31586,1.30685,0.153733
61,1.37117,1.37113,0.0106807
62,1.28718,1.28395,0.0911767
63,1.36783,1.32279,0.348113
64,1.33951,1.30304,0.310425
65,1.18709,1.18655,0.0358292
66,1.22213,1.21963,0.0781308
67,1.22213,1.21963,0.0781308
68,1.25339,1.25199,-0.0592403
69,1.20079,1.19997,-0.0444886
70,1.31375,1.31102,0.0846735
71,1.32656,1.31713,0.157863
72,1.28425,1.26369,0.228835
73,1.28425,1.26369,0.228835
74,1.32208,1.31304,0.154349
75,1.27537,1.27087,0.106956
76,1.27537,1.27087,0.106956
77,1.27537,1.27087,0.106956
78,1.38949,1.38862,0.0491546
79,1.38949,1.38862,0.0491546
80,1.30189,1.29899,-0.0868771
81,1.27699,1.18753,-0.469541
82,1.27699,1.18753,-0.469541
83,1.32503,1.20226,-0.557039
84,1.32929,1.05924,-0.803136
85,1.34449,1.09735,-0.776831
86,1.35165,1.04073,-0.862464
87,1.27284,1.06741,-0.693371
88,1.27284,1.06741,-0.693371
89,1.27284,1.06741,-0.693371
90,1.27284,1.06741,-0.693371
91,1.42234,1.26212,-0.655816
92,1.36098,1.24343,-0.553293
93,1.28144,1.11677,-0.628433
94,1.2873,1.14008,-0.597791
95,1.23606,0.973545,-0.76161
96,1.15903,0.793555,-0.844761
97,1.18933,0.670947,-0.982005
98,1.10774,0.685267,-0.870349
99,1.15145,0.773699,-0.852782
100,1.13793,0.671802,-0.918462
101,1.13793,0.671802,-0.918462
102,1.12624,0.598315,-0.954166
103,1.14506,0.715727,-0.893811
104,1.2221,0.736129,-0.97552
105,1.2221,0.736129,-0.97552
106,1.2221,0.736129,-0.97552
107,1.35006,0.758391,-1.11692
108,1.35515,0.711438,-1.15338
109,1.35515,0.711438,-1.15338
110,1.26697,0.42525,-1.19347
111,1.21447,0.398277,-1.14731
112,1.20152,0.542068,-1.07229
113,1.23116,0.742903,-0.981756
114,1.14334,0.865539,-0.747043
115,1.21463,0.863439,-0.85428
116,1.26015,0.971938,-0.802072
117,1.26015,0.971938,-0.802072
118,1.14669,0.903688,-0.705872
119,1.19635,0.939254,-0.740981
120,1.10199,0.915987,-0.612655
121,1.10199,0.915987,-0.612655
122,1.2239,1.13941,-0.446855
123,1.20573,1.16032,-0.327782
124,1.22316,1.18396,-0.307168
125,1.10692,1.05593,-0.332111
126,1.32444,1.23759,-0.471716
127,1.19294,1.08093,-0.504669
128,1.30895,1.04909,-0.782797
129,1.12621,0.837905,-0.752509
130,1.12621,0.837905,-0.752509
131,1.24809,0.912789,-0.8512
132,1.24809,0.912789,-0.8512
133,1.25596,1.04095,-0.70276
134,1.35739,1.09606,-0.800723
135,1.35739,1.09606,-0.800723
136,1.2021,0.99578,-0.673399
137,1.37633,1.07741,-0.856435
138,1.28383,0.937943,-0.876631
139,1.28585,0.84653,-0.967881
140,1.28585,0.84653,-0.967881
141,1.36926,0.967215,-0.969206
142,1.40585,1.05348,-0.930905
143,1.3405,1.04044,-0.84524
144,1.40813,1.03637,-0.953292
145,1.253,0.852699,-0.918105
146,1.253,0.852699,-0.918105
147,1.28473,0.862121,-0.952506
148,1.13761,0.906624,-0.687161
149,1.28744,0.87485,-0.944537
150,1.28744,0.87485,-0.944537
151,1.28744,0.87485,-0.944537
152,1.3338,0.967828,-0.917779
153,1.40648,1.02365,-0.964524
154,1.40648,1.02365,-0.964524
155,1.39052,0.821897,-1.12161
156,1.25198,0.84258,-0.926023
157,1.39494,0.758809,-1.1705
158,1.33815,0.399065,-1.27726
