t,G,F1,F2,F3
1,0.2441,0.04073,null,null
2,0.2428,0.04043,null,null
3,0.243,0.04053,null,null
4,0.246,0.04042,null,null
5,0.2469,0.04059,null,null
6,0.2458,0.04018,null,null
7,0.245,0.04011,null,null
8,0.2466,0.04002,null,null
9,0.2452,0.04001,null,null
10,0.2455,0.04012,null,null
11,0.2479,0.04012,null,null
12,0.2475,0.0406,null,null
13,0.246,0.04008,null,null
14,0.2484,0.03995,null,null
15,0.2462,0.04003,null,null
16,0.2485,0.03992,null,null
17,0.2472,0.03977,null,null
18,0.2481,0.04003,null,null
19,0.2494,0.03971,null,null
20,0.2497,0.03997,null,null
21,0.2502,0.04013,null,null
22,0.2495,0.03988,null,null
23,0.2496,0.03987,null,null
24,0.2492,0.03987,null,null
25,0.2498,0.04,null,null
26,0.2496,0.03945,null,null
27,0.2493,0.04072,null,null
28,0.2494,0.04005,null,null
29,0.2491,0.03982,null,null
30,0.2488,0.03997,null,null
31,0.2487,0.03996,null,null
32,0.2482,0.03979,null,null
33,0.2467,0.03989,null,null
34,0.2469,0.03991,null,null
35,0.2467,0.03991,null,null
36,0.2477,0.03958,null,null
37,0.2472,0.03986,null,null
38,0.2471,0.0397,null,null
39,0.2463,0.03958,null,null
40,0.2462,0.04027,null,null
41,0.2467,0.03996,null,null
42,0.2475,0.03969,null,null
43,0.247,0.03993,null,null
44,0.2478,0.03993,null,null
45,0.2476,0.03978,null,null
46,0.2477,0.03974,null,null
47,0.247,0.04018,null,null
48,0.2471,0.03994,null,null
49,0.2466,0.04032,null,null
50,0.2471,0.03996,null,null
51,0.2458,0.04001,null,null
52,0.2482,0.03976,null,null
53,0.2486,0.04008,null,null
54,0.2462,0.04016,null,null
55,0.2464,0.04058,null,null
56,0.2467,0.04061,null,null
57,0.2433,0.04096,null,null
58,0.2436,0.04053,null,null
59,0.2445,0.04035,null,null
60,0.2451,0.04066,null,null
61,0.2458,0.04098,null,null
62,0.2453,0.04049,null,null
63,0.2455,0.04016,null,null
64,0.2463,0.04079,null,null
65,0.247,0.04015,null,null
66,0.2458,0.04028,null,null
67,0.2457,0.04051,null,null
68,0.2446,0.04081,null,null
69,0.2455,0.04063,null,null
70,0.2445,0.04044,null,null
71,0.244,0.04018,null,null
72,0.244,0.04053,null,null
73,0.2438,0.04065,null,null
74,0.2446,0.04119,null,null
75,0.2414,0.04098,null,null
76,0.2426,0.04095,null,null
77,0.2421,0.04114,null,null
78,0.2427,0.04109,null,null
79,0.2442,0.04067,null,null
80,0.2448,0.0409,null,null
81,0.2433,0.04034,null,null
82,0.2435,0.04067,null,null
83,0.244,0.04042,null,null
84,0.2459,0.04044,null,null
85,0.246,0.04044,null,null
86,0.2453,0.04104,null,null
87,0.2448,0.04045,null,null
88,0.244,0.04082,null,null
