t,cg_iters
1,30810
2,30872
3,31332
4,32616
5,31774
6,32472
7,31960
8,31289
9,31932
10,31906
11,23949
12,23849
13,23604
14,24047
15,23926
16,23436
17,24142
18,24633
19,24371
20,24317
21,15944
22,15780
23,15966
24,16401
25,16043
26,16059
27,15751
28,15719
29,16276
30,16058
31,11167
32,11430
33,11140
34,11134
35,11421
36,11327
37,11505
38,11345
39,11358
40,11794
41,8431
42,8235
43,8341
44,8235
45,8427
46,8187
47,8013
48,8098
49,8046
50,8047
51,8082
52,8069
53,8330
54,8154
55,7933
56,8059
57,7949
58,7933
59,7977
60,8141
61,8072
62,8178
63,8230
64,8048
65,7989
66,7953
67,8208
68,8043
69,8046
70,7845
71,8036
72,8058
73,7976
74,8142
75,8061
76,7917
77,7965
78,8059
79,7961
80,7923
81,8008
82,8002
83,8064
84,8076
85,8118
86,7992
87,8137
88,8039
89,8174
90,8174
91,7986
92,7848
93,8127
94,8020
95,8019
96,7957
97,7930
98,8131
99,8209
100,8156
101,8086
102,8254
103,8206
104,8171
105,8120
106,8244
107,8146
108,8062
109,8167
110,8099
111,7948
112,8106
113,8114
114,8045
115,8102
116,8047
117,8040
118,8232
119,8046
120,8335
121,8254
122,8390
123,8114
124,8122
125,8184
126,8345
127,8248
128,8171
129,8382
130,8191
131,8134
132,8284
133,8150
134,8263
135,8276
136,8054
137,8032
138,7893
139,8171
140,8160
141,8134
142,8045
143,8041
144,7850
145,7675
146,7876
147,7927
148,8075
149,8190
150,8320
151,8165
152,8037
153,8282
154,8144
155,7848
156,7828
157,7866
158,7957
159,8091
160,7932
161,7954
162,8167
163,8419
164,8312
165,8258
166,8390
167,8128
168,8167
169,8092
170,8107
171,8204
172,8003
173,8271
174,8199
175,8075
176,8256
177,8251
178,8212
179,8132
180,8228
181,8181
182,8023
183,8137
184,8008
185,8048
186,8082
187,8021
188,7846
189,8028
190,8073
191,8030
192,7946
193,8162
194,8266
195,8113
196,8329
197,8164
198,7987
199,8057
200,8164
201,8189
202,8077
203,7884
204,7898
205,8191
206,7979
207,8021
208,8227
209,7955
210,8002
211,8054
212,8092
213,7954
214,8210
215,7883
216,8124
217,8350
218,7946
219,8108
220,8177
221,8181
222,8171
223,8055
224,8075
225,8046
226,8420
227,8207
228,8204
229,8068
230,8188
231,8240
232,8193
233,8160
234,8062
235,8188
236,8027
237,8017
238,8225
239,8040
240,8011
241,8131
242,8061
243,8138
244,7989
245,8251
246,7939
247,7880
248,7961
249,7830
250,7963
251,8208
252,8089
253,7922
254,7976
255,8151
256,7887
257,7894
258,8120
259,8179
260,8138
261,8225
262,8153
263,8093
264,7955
265,8261
266,7997
267,7999
268,8113
269,8168
270,8132
271,8258
272,8202
273,8423
274,8157
275,7934
276,8027
277,8120
278,8031
279,7987
280,8150
281,8163
282,8103
283,8239
284,8387
285,8324
286,8052
287,8276
288,7893
289,8067
290,7939
291,7954
292,8193
293,7985
294,7905
295,8052
296,8178
297,8141
298,8189
299,8154
300,8208
301,8283
302,8051
303,8151
304,8058
305,8201
306,8079
307,7999
308,8444
309,8293
310,8238
311,8271
312,8266
313,7990
314,8244
315,8143
316,8108
317,8159
318,7885
319,7988
320,7986
321,7961
322,7997
323,8098
324,7934
325,8051
326,8024
327,8040
328,8054
329,7982
330,8209
331,8153
332,8077
333,8148
334,8091
335,8274
336,8140
337,8146
338,7981
339,8119
340,8081
341,7970
342,8073
343,8113
344,7944
345,8032
346,8153
347,7831
348,8123
349,7858
350,7719
351,7745
352,7903
353,7993
354,7979
355,7959
356,7982
357,8057
358,7755
359,7966
360,7790
361,7956
362,7944
363,8106
364,7937
365,8214
366,8133
367,8240
368,8205
369,8119
370,8335
371,8177
372,8186
373,8108
374,8128
375,8195
376,8150
377,8066
378,8191
379,8095
380,7881
381,7774
382,8069
383,8108
384,7992
385,8193
386,7988
387,7908
388,8071
389,8202
390,8070
391,8032
392,8067
393,8142
394,8056
395,8285
396,8149
397,8158
398,7959
399,8225
400,7911
401,8006
402,8166
403,8296
404,8169
405,8341
406,8105
407,8013
408,7979
409,8097
410,8117
411,8226
412,7900
413,8251
414,8353
415,8340
416,8131
417,8021
418,8033
419,8214
420,7877
421,7842
422,7732
423,7863
424,7977
425,8028
426,8054
427,8152
428,8039
429,8002
430,8193
431,7981
432,7822
433,7734
434,7869
435,8026
436,8256
437,7937
438,7852
439,7800
440,7990
441,8081
442,8116
443,8028
444,8037
445,8279
446,8190
447,8139
448,8029
449,8080
450,7990
451,8159
452,8022
453,8061
454,8188
455,8214
456,8136
457,8096
458,8282
459,8375
460,8220
461,8130
462,8137
463,8120
464,7984
465,7819
466,7979
467,7965
468,8322
469,8059
470,8262
471,8149
472,8058
473,8158
474,8290
475,8198
476,8057
477,8015
478,8158
479,8061
480,8112
481,8160
482,8017
483,8165
484,8071
485,7774
486,8211
487,8020
488,7834
489,7859
490,7857
491,7899
492,7889
493,8019
494,7982
495,8213
496,8112
497,7952
498,7829
499,8079
500,8228
501,8278
502,8185
503,8148
504,7999
505,7888
506,7919
507,8046
508,7983
509,8018
510,8255
511,8029
512,8301
513,8221
514,8353
515,8180
516,7931
517,8123
518,8050
519,8030
520,8389
521,8326
522,8071
523,7920
524,8186
525,7966
526,8065
527,8283
528,8130
529,8288
530,8055
531,8046
532,8070
533,7874
534,8069
535,7930
536,8126
537,8053
538,8054
539,8094
540,8140
541,8317
542,8063
543,7928
544,7768
545,7793
546,7924
547,8019
548,7889
549,8123
