t,|deltaS|
1,0.5922
2,0.119
3,0.1048
4,0.1191
5,0.01734
6,0.04598
7,0.07518
8,0.02123
9,0.07369
10,0.003992
11,0.07596
12,0.4548
13,0.5024
14,0.2148
15,0.03592
16,0.3903
17,0.4353
18,0.8488
19,0.4786
20,0.04833
21,0.07555
22,0.3027
23,0.004012
24,0.6503
25,0.01823
26,0.2927
27,0.3698
28,0.4195
29,0.333
30,0.1447
31,0.0066
32,0.2993
33,0.4252
34,0.01247
35,0.151
36,0.7125
37,0.6637
38,0.5537
39,0.2499
40,0.334
41,0.06828
42,0.6655
43,0.06562
44,0.06036
45,0.1453
46,0.6028
47,0.2955
48,0.6575
49,1.239
50,0.6121
51,0.2374
52,0.4928
53,0.4839
54,0.608
55,0.4886
56,0.03718
57,0.4103
58,0.2765
59,0.364
60,0.2482
61,0.06403
62,0.7731
63,0.4085
64,0.4914
65,0.7713
66,0.547
67,0.07391
68,0.07447
69,0.8931
70,0.7241
71,0.1191
72,0.4178
73,0.3819
74,0.1709
75,0.005491
76,0.2379
77,0.5796
78,0.188
79,0.7567
80,0.2998
81,0.496
82,0.1846
83,0.07176
84,0.09735
85,0.2032
86,0.5225
87,0.833
88,1.004
89,0.06213
90,0.7122
91,0.4474
92,0.2483
93,0.6469
94,0.2235
95,0.6905
96,0.7792
97,0.1006
98,0.2536
99,0.1505
100,0.2742
101,0.6478
102,0.04838
103,0.08377
104,0.4808
105,0.186
106,0.04823
107,0.5607
108,1.268
109,0.6726
110,1.127
111,0.114
112,0.06556
113,0.2847
114,0.05514
115,0.6037
116,0.02085
117,0.3909
118,0.6894
119,0.02324
120,0.2949
121,0.6317
122,0.3533
123,0.5838
124,0.55
125,0.08012
126,0.2496
127,0.02845
128,0.1625
129,0.2796
130,0.6795
131,0.06989
132,0.0854
133,0.2965
134,0.03992
135,0.1297
136,0.1023
137,0.8801
138,0.0324
139,0.1365
140,0.2688
141,0.417
142,0.2522
143,1.075
144,0.6534
145,0.5224
146,0.4197
147,0.269
148,0.4546
149,0.2661
150,0.8056
151,0.6965
152,0.2984
153,0.03137
154,0.06867
155,0.08026
156,0.5132
157,0.09638
158,0.28
159,0.4521
160,0.9766
161,0.4478
162,0.3057
163,0.314
164,0.1542
165,0.6338
166,0.3473
167,0.8484
168,0.1358
169,0.6068
170,0.2774
171,0.8107
172,0.8927
173,0.4764
174,0.9135
175,0.006748
176,0.3314
177,0.01784
178,0.5786
179,0.8583
180,0.2136
181,0.1628
182,0.4372
183,0.4737
184,0.1239
185,0.005332
186,0.1239
187,0.425
188,0.4357
189,0.6419
190,0.1192
191,0.2051
192,0.1204
193,0.3277
194,0.2321
195,0.1625
196,0.05393
197,0.4782
198,0.4804
199,0.4996
200,0.2871
201,1.105
202,0.002213
203,0.4603
204,0.7657
205,0.4819
206,0.8199
207,0.2006
208,0.341
209,0.6586
210,0.2988
211,0.3255
212,0.3525
213,0.1583
214,0.1727
215,0.4256
216,0.08099
217,0.3649
218,0.238
219,0.06287
220,0.6282
221,0.4238
222,0.5298
223,0.1441
224,0.2509
225,0.1529
226,0.05447
227,0.01406
228,0.9576
229,0.7082
230,0.6108
231,0.1796
232,0.8206
233,0.2665
234,0.4206
235,1.114
236,0.1912
237,0.0446
238,0.2744
239,0.2493
240,0.8133
241,0.6523
242,0.1454
243,0.06715
244,0.9607
245,0.2569
246,1.153
247,0.9894
248,0.1148
249,0.03193
250,0.5672
251,0.542
252,0.9265
253,0.335
254,0.6979
255,0.0248
256,0.6529
257,0.2946
258,0.4457
259,0.5825
260,0.06281
261,0.171
262,0.3392
263,0.08718
264,0.7528
265,1.206
266,0.1287
267,0.6045
268,0.2103
269,0.255
270,0.4763
271,0.3443
272,0.8683
273,0.5004
274,0.1901
275,0.02965
276,0.04129
277,0.997
278,0.4773
279,0.6797
280,1.152
281,0.4418
282,0.9325
283,0.4456
284,0.4354
285,0.08598
286,0.6177
287,0.4191
288,0.4367
289,0.233
290,0.525
291,0.05667
292,0.3979
293,0.1749
294,0.537
295,0.1487
296,0.4286
297,0.472
298,0.53
299,0.0964
300,0.03028
301,0.2602
302,0.3508
303,0.4969
304,0.281
305,0.233
306,0.4485
307,0.1069
308,0.1675
309,0.3227
310,0.1181
311,0.3665
312,0.1353
313,0.327
314,0.5579
315,0.5552
316,0.1971
317,0.5164
318,0.08314
319,0.3212
320,0.3576
321,0.2797
322,0.3041
323,0.6348
324,0.02302
325,0.2325
326,0.3156
327,0.615
328,0.5232
329,0.3363
330,0.2238
331,0.1052
332,0.6008
333,0.697
334,0.43
335,0.1625
336,0.3006
337,0.2552
338,0.1889
