MDTU,S_F
1,0.995458
2,1.00187
3,1.00049
4,1.00192
5,0.997429
6,0.995111
7,0.998121
8,0.994339
9,1.00068
10,1.00144
11,1.00202
12,0.998882
13,0.998025
14,1.0012
15,0.999562
16,1.00249
17,1.00264
18,1.00579
19,0.9939
20,1.00364
21,0.999012
22,0.993912
23,1.00108
24,0.999431
25,0.998872
26,0.993335
27,1.00711
28,1.00183
29,0.99815
30,0.995904
31,0.998371
32,0.999991
33,1.00316
34,0.99786
35,0.999302
36,0.997616
37,1.00526
38,0.994385
39,1.0022
40,1.0059
41,0.999203
42,0.998743
43,0.997749
44,0.995561
45,1.00509
46,0.999112
47,0.999632
48,0.999705
49,1.00264
50,0.99367
51,0.99949
52,1.00353
53,1.00093
54,0.993404
55,0.997296
56,1.00032
57,1.00303
58,1.00049
59,1.00178
60,0.999013
61,1.00322
62,0.999864
63,0.993919
64,1.00107
65,0.997355
66,0.996762
67,1.00254
68,0.998411
69,0.997619
70,0.996451
71,0.995301
72,1.00163
73,1.00695
74,0.995661
75,1.00844
76,1.00345
77,0.996175
78,1.00409
79,1.00167
80,0.99997
81,0.995589
82,0.996442
83,0.995202
84,0.995269
85,1.00197
86,0.998467
87,0.999344
88,0.99801
89,0.99709
90,1.00153
91,1.00224
92,0.99552
93,1.00334
94,0.995714
95,0.996033
96,0.99466
97,1.00441
98,1.00069
99,1.00053
100,0.997055
101,1.00187
102,1.00529
103,1.00075
104,1.00507
105,0.997876
106,1.0016
107,1.00276
108,0.999273
109,0.998068
110,0.996045
111,1.00664
112,0.994872
113,1.00394
114,0.996142
115,0.9917
116,1.00303
117,1.00184
118,1.00146
119,1.00103
120,1.00004
121,1.00147
122,1.00216
123,0.99722
124,1.00178
125,1.00044
126,0.996486
127,1.00115
128,1.00815
129,1.00375
130,1.00747
131,1.00182
132,0.99558
133,1.00048
134,0.998906
135,1.00007
136,0.99906
137,1.00058
138,0.996484
139,1.00472
140,1.00183
141,0.990418
142,0.996423
143,0.999053
144,0.999126
145,1.00411
146,0.988745
147,0.99731
148,0.99535
149,0.99853
150,0.999675
151,0.995225
152,1.00603
153,0.999643
154,1.00458
155,1.00249
156,1.00108
157,1.00056
158,0.999544
159,1.00289
160,1.00101
161,1.00315
162,0.999895
163,0.99231
164,0.999069
165,0.998648
166,0.999697
167,1.00028
168,1.00283
169,1.00151
170,0.999513
171,1.00004
172,1.00366
173,0.99622
174,0.998794
175,1.00417
176,1.001
177,0.996601
178,0.996409
179,0.997782
180,0.995318
181,1.00284
182,1.00453
183,0.999305
184,1.00416
185,1.00884
186,0.999611
187,1.00197
188,1.00689
189,0.992933
190,0.99164
191,1.00152
192,0.999514
193,1.00418
194,1.00105
195,0.998375
196,1.00471
197,0.997203
198,0.999012
199,0.994931
200,1.00073
201,0.992525
202,1.00147
203,1.00252
204,1.00292
205,0.999169
206,1.00632
207,0.998931
208,1.00153
209,1.00049
210,0.997636
211,0.998453
212,1.00191
213,1.00049
214,0.997226
215,1.00461
216,0.999425
217,0.994062
218,1.00227
219,0.999669
220,0.997358
221,1.00264
222,0.999963
223,0.996349
224,0.998137
225,0.999442
226,0.997918
227,0.99905
228,1.00048
229,1.00264
230,0.993019
231,1.00282
232,0.998457
233,1.00264
234,0.995813
235,1.00022
236,1.00075
237,1.00637
238,1.00197
239,1.0009
240,1.00074
241,1.00351
242,1.0032
243,0.997432
244,1.00725
245,1.00262
246,0.996805
247,0.998186
248,0.999328
249,0.998811
250,1.00164
251,0.992969
252,1.00237
253,1.00051
254,1.00004
255,1.00859
256,0.995939
257,1.00545
258,1.00103
259,1.00286
260,0.995889
261,1.00379
262,0.995694
263,0.99776
264,1.00192
265,0.994342
266,1.00048
267,1.00142
268,1.00407
269,0.995837
270,0.998577
271,0.998688
272,1.00381
273,1.0037
274,0.997044
275,1.00439
276,1.00546
277,0.995209
278,0.993486
279,0.99684
280,0.999823
281,1.00108
282,1.00098
283,0.998022
284,1.00545
285,0.997001
286,0.998476
287,0.998418
288,1.0073
289,1.00369
290,1.00024
291,1.00086
292,1.00246
293,1.00005
294,1.00013
295,1.00025
296,0.992972
297,0.998531
298,1.00133
299,1.00195
300,1.00407
301,0.999597
302,1.0009
303,1.00131
304,0.995435
305,0.999659
306,0.996716
307,0.997227
308,0.99762
309,1.00317
310,1.00107
311,1.00114
312,0.994008
313,1.00058
314,1.00165
315,0.998204
316,1.0022
317,1.00091
318,0.997509
319,0.996344
320,1.00164
321,1.00461
322,1.00357
323,0.996965
324,1.00369
325,0.99706
326,0.999573
327,1.00158
328,1.00072
329,1.00022
330,0.996622
331,0.993114
332,0.996692
333,0.999516
334,1.00035
335,0.998691
336,1.00342
337,0.993599
338,0.999912
339,0.997928
340,1.0008
341,1.00012
342,1.00247
343,0.988277
344,1.00475
345,0.999212
346,0.998335
347,1.00154
348,1.00351
349,1.00023
350,1.00141
351,0.999629
352,1.00228
353,0.998186
354,0.995866
355,0.99895
356,0.999248
357,0.996982
358,0.995367
359,0.995184
360,0.993327
361,0.997842
362,0.996421
363,1.00464
364,1.0086
365,1.00147
366,1.00736
367,0.996704
368,1.00665
369,0.999591
370,1.00552
371,1.00228
372,1.00562
373,1.00197
374,0.997105
375,1.00458
376,1.00453
377,0.997956
378,0.997521
379,1.0041
380,0.997638
381,0.998724
382,0.997512
383,0.997726
384,1.00696
385,0.995486
386,1.00036
387,1.00123
388,1.00283
389,0.997899
390,1.00135
391,0.998263
392,0.998666
393,0.996377
394,1.00087
395,0.998885
396,1.00206
397,1.00181
398,0.991398
399,0.994939
400,1.00249
401,0.995335
402,1.00201
403,1.00939
404,1.00677
405,1.00457
406,1.00238
407,1.00053
408,1.00102
409,1.00003
410,0.998733
411,1.0038
412,0.999641
413,0.996108
414,0.999813
415,0.996334
416,0.996359
417,0.995394
418,0.999477
419,0.998647
420,1.00502
421,0.992902
422,0.998579
423,1.00117
424,1.00064
425,0.999544
426,0.9918
427,0.996666
428,0.998732
429,1.00016
430,0.997644
431,1.00356
432,1.00584
433,1.00808
434,0.999501
435,1.00325
436,0.997373
437,1.00614
438,0.99548
439,0.997669
440,1.0052
441,1.00274
442,1.00596
443,0.99807
444,0.997631
445,1.00211
446,1.00301
447,0.998109
448,1.00011
449,1.00213
450,1.00193
451,0.997713
452,1.00412
453,0.987941
454,1.00228
455,1.00544
456,0.992803
457,0.998387
458,0.995651
459,0.999898
460,1.00189
461,0.996698
462,0.999786
463,1.00275
464,1.00064
465,0.998965
466,0.99832
467,1.00235
468,1.00487
469,0.99638
470,0.997124
471,0.999617
472,0.99888
473,0.997831
474,0.999119
475,0.999863
476,0.994892
477,0.99483
478,1.00067
479,1.00004
480,1.00843
481,1.00252
482,0.997635
483,1.00634
484,0.9997
485,0.998967
486,0.995794
487,1.00101
488,1.00393
489,0.995683
490,0.997385
491,1.00379
492,0.997372
493,1.00221
494,0.996593
495,0.999251
496,1.00564
497,0.997516
498,1.0004
499,1.00308
500,0.994524
501,0.995993
502,1.00118
503,1.00127
504,1.00541
505,0.998894
506,0.998489
507,1.00094
508,1.00061
509,0.991985
510,0.999967
511,0.998946
512,0.996233
513,0.998809
514,0.999447
515,1.00035
516,0.999195
517,1.00824
518,0.993735
519,0.997486
520,0.999368
