MDTU,|det-1|^2,1-Re(det),Im(det)
1,1,1,-4.97402e-24
2,1,1,-4.059e-24
3,1,1,-9.86045e-24
4,1,1,-9.86045e-24
5,1,1,-7.55974e-24
6,1,1,-7.7473e-24
7,1,1,-1.50875e-23
8,1,1,7.61942e-24
9,1,1,-6.72678e-24
10,1,1,-3.12109e-24
11,1,1,2.38758e-23
12,1,1,-3.72438e-24
13,1,1,-5.90455e-24
14,1,1,4.4252e-24
15,1,1,-1.44889e-23
16,1,1,1.04654e-24
17,1,1,-4.86112e-24
18,1,1,-7.68177e-25
19,1,1,-6.50803e-24
20,1,1,9.26893e-25
21,1,1,1.09685e-24
22,1,1,1.52148e-24
23,1,1,2.56717e-24
24,1,1,-1.76479e-23
25,1,1,6.0072e-24
26,1,1,2.33889e-24
27,1,1,3.01319e-24
28,1,1,1.05453e-23
29,1,1,1.1924e-23
30,1,1,1.03149e-23
31,1,1,-4.67105e-24
32,1,1,-5.27231e-23
33,1,1,1.55407e-23
34,1,1,-7.66441e-24
35,1,1,-2.50787e-23
36,1,1,4.6026e-24
37,1,1,-4.63802e-24
38,1,1,-4.63802e-24
39,1,1,2.4133e-24
40,1,1,-2.47234e-23
41,1,1,-2.8126e-23
42,1,1,-2.28541e-23
43,1,1,1.43099e-23
44,1,1,-3.8651e-24
45,1,1,-2.05187e-23
46,1,1,-1.32453e-23
47,1,1,-1.34746e-23
48,1,1,-1.34746e-23
49,1,1,2.88525e-24
50,1,1,2.88525e-24
51,1,1,-2.4514e-25
52,1,1,-2.4514e-25
53,1,1,-6.08784e-24
54,1,1,-3.74445e-23
55,1,1,-1.60206e-24
56,1,1,5.31181e-23
57,1,1,-9.80832e-24
58,1,1,9.63923e-24
59,1,1,-1.62822e-24
60,1,1,-9.05818e-25
61,1,1,-9.32583e-24
62,1,1,-9.32583e-24
63,1,1,2.04847e-23
64,1,1,7.12465e-24
65,1,1,-4.47087e-24
66,1,1,6.17209e-25
67,1,1,6.17209e-25
68,1,1,5.17088e-24
69,1,1,2.1736e-24
70,1,1,8.75755e-25
71,1,1,-9.67668e-25
72,1,1,1.96328e-23
73,1,1,1.96328e-23
74,1,1,-5.71772e-24
75,1,1,-7.32832e-25
76,1,1,-1.24811e-24
77,1,1,-1.09459e-23
78,1,1,3.88523e-25
79,1,1,3.88523e-25
80,1,1,-1.21048e-24
81,1,1,-3.105e-24
82,1,1,2.11369e-24
83,1,1,2.11369e-24
84,1,1,-2.73184e-24
85,1,1,9.1221e-25
86,1,1,4.37427e-24
87,1,1,7.82863e-24
88,1,1,2.91455e-24
89,1,1,1.12839e-23
90,1,1,1.51917e-24
91,1,1,1.51917e-24
92,1,1,9.18325e-24
93,1,1,-4.88237e-24
94,1,1,-1.76003e-24
95,1,1,-4.99206e-24
96,1,1,6.8059e-24
97,1,1,-8.37226e-24
98,1,1,-3.95261e-24
99,1,1,5.13148e-24
100,1,1,4.03594e-24
101,1,1,-7.79798e-25
102,1,1,-9.25189e-25
103,1,1,-1.32973e-24
104,1,1,-1.32973e-24
