MDTU,0,2,4,6,8,10
10,0.033454,0.0348336,0.0355681,0.0359384,0.0365125,0.0371291
20,0.0332706,0.0347353,0.0349664,0.0365427,0.0370222,0.0374273
30,0.036442,0.0368231,0.0371782,0.0372739,0.0373585,0.0374779
40,0.0371443,0.0376364,0.038729,0.0388937,0.039356,0.0398087
50,0.0333698,0.0370059,0.0373763,0.03767,0.0379396,0.0382054
60,0.035045,0.0350453,0.0359961,0.0368242,0.0387342,0.0394285
70,0.0362335,0.0378646,0.0379074,0.0383242,0.038637,0.0387651
80,0.0349874,0.0354645,0.0359729,0.036438,0.0364762,0.0368506
90,0.0349758,0.0352528,0.0355857,0.0358433,0.035852,0.0362051
100,0.0372473,0.0379393,0.038015,0.0380585,0.0387962,0.0387976
110,0.0361649,0.0362101,0.0375677,0.0376453,0.0380741,0.0381585
120,0.0359884,0.036497,0.0374727,0.0383937,0.0388554,0.0394414
130,0.0364701,0.0369721,0.0390052,0.039999,0.040007,0.0403573
140,0.0332528,0.0337606,0.0348249,0.0351685,0.0353848,0.0361156
150,0.0344766,0.0348495,0.0358547,0.0358553,0.0376406,0.0378993
160,0.0338762,0.0360847,0.0386075,0.0387071,0.0392747,0.0401756
170,0.0345147,0.035281,0.0389911,0.0390957,0.0396863,0.040177
180,0.0372887,0.0376361,0.0387918,0.0388488,0.0388994,0.0390491
190,0.0364649,0.0366242,0.0368732,0.0374045,0.0374221,0.0375882
200,0.0292264,0.0303836,0.0331539,0.0339631,0.0343784,0.035165
210,0.0367366,0.0369808,0.0372687,0.0380698,0.0384864,0.0386665
220,0.0353945,0.0362691,0.0369504,0.0372521,0.0388195,0.0396329
230,0.0376639,0.038117,0.0381286,0.0382324,0.0387608,0.0388278
240,0.0279327,0.0293886,0.0339537,0.0362373,0.0363617,0.0365661
250,0.033467,0.0337625,0.0340122,0.0350718,0.0353209,0.036119
260,0.0375513,0.037663,0.0378336,0.0381682,0.0384525,0.0394868
270,0.0340409,0.0360477,0.0366293,0.0367451,0.0375673,0.0382744
280,0.0356417,0.0370489,0.0378429,0.0383974,0.0386294,0.0388893
290,0.0376248,0.0391425,0.0391844,0.039207,0.0400278,0.040865
300,0.0336311,0.0349744,0.0363077,0.0385962,0.0389342,0.039528
310,0.0308184,0.0311051,0.0331041,0.0333267,0.0335226,0.0338985
320,0.0353329,0.0373115,0.0375809,0.0380612,0.0387217,0.0388991
330,0.0341014,0.0350387,0.0388161,0.0392547,0.039698,0.0397126
340,0.0361435,0.0367384,0.0371547,0.0380318,0.0394778,0.0399332
350,0.0270506,0.0292388,0.0362628,0.0368653,0.0369183,0.0372597
360,0.0335556,0.0335826,0.0377341,0.0379357,0.0382609,0.039102
370,0.0343688,0.0344658,0.0349418,0.0350321,0.0353827,0.0364248
380,0.0331921,0.0333482,0.0338006,0.034537,0.0345785,0.0348718
390,0.0368207,0.0370489,0.0372082,0.0377255,0.0388958,0.03919
400,0.028375,0.0300628,0.0352096,0.0369919,0.037241,0.0380448
410,0.0351794,0.0358701,0.0379113,0.0385854,0.0388041,0.0392663
420,0.0327301,0.0333649,0.0338336,0.0345187,0.0375708,0.0381246
430,0.035203,0.0358648,0.0361219,0.0366026,0.0366093,0.0369634
440,0.0375605,0.0376898,0.0377358,0.0378174,0.0382895,0.0387914
450,0.0371956,0.0378392,0.0382413,0.038363,0.0386249,0.0389959
460,0.03792,0.0382285,0.039007,0.0392809,0.0396518,0.0397337
470,0.0338646,0.034401,0.0365737,0.0370844,0.0372522,0.0372588
480,0.0332166,0.0336111,0.0337423,0.0340243,0.0346585,0.0352545
490,0.0378254,0.0387917,0.0391992,0.040215,0.0406944,0.0414067
500,0.0335929,0.03424,0.0343142,0.0351418,0.0370485,0.0377905
510,0.032228,0.0331032,0.0346216,0.0354674,0.036618,0.0376295
520,0.0306916,0.031599,0.0321125,0.0330312,0.0361711,0.036448
530,0.0314436,0.0324831,0.0341633,0.0349079,0.0352108,0.035551
540,0.0357964,0.0364783,0.0369779,0.03707,0.037599,0.0383107
550,0.0321742,0.0322165,0.0375543,0.0384185,0.0393204,0.0402262
560,0.0333848,0.034984,0.0357565,0.0358853,0.0359141,0.0363966
570,0.034476,0.0356328,0.0389026,0.0392641,0.0394139,0.0397732
580,0.0349763,0.0350884,0.0354292,0.0367438,0.0369101,0.0375562
590,0.0355137,0.0364869,0.0366873,0.0381991,0.0382009,0.0386092
600,0.0344977,0.0349496,0.0351228,0.0357478,0.0364796,0.0366853
610,0.0336903,0.0339425,0.0349357,0.0358383,0.0362963,0.0364295
620,0.0345302,0.0361604,0.0368573,0.0369249,0.0386049,0.0387814
630,0.0321172,0.0321546,0.0332097,0.0337708,0.0362232,0.0367895
640,0.0346757,0.0354504,0.0358558,0.035959,0.036477,0.0367542
650,0.0337438,0.0359743,0.0364345,0.0365933,0.0377873,0.0380358
660,0.0385981,0.0387821,0.0395042,0.0400775,0.0401765,0.0402519
670,0.0382573,0.0385585,0.0386042,0.0390285,0.0399522,0.0401441
680,0.0335861,0.0343432,0.0380957,0.038295,0.038395,0.0385599
690,0.0337602,0.0342872,0.0344336,0.0347151,0.03478,0.034934
700,0.034964,0.0352684,0.0355035,0.0361637,0.0364568,0.0380344
710,0.0356242,0.0366652,0.0366856,0.0367852,0.0375264,0.0383057
720,0.0353294,0.035556,0.0364336,0.0378764,0.0384106,0.0385906
730,0.0349987,0.0359827,0.0384719,0.0390126,0.0395803,0.0396508
740,0.0348066,0.0348798,0.0374575,0.0384255,0.0387417,0.0389959
750,0.036587,0.0366337,0.0373962,0.0374633,0.0382123,0.0384124
760,0.0356061,0.0359153,0.0372652,0.0375705,0.0378222,0.0381708
770,0.0306656,0.0324407,0.0327768,0.032981,0.0384163,0.0388117
780,0.0358728,0.0367728,0.0391727,0.0394002,0.0397342,0.040575
790,0.0395674,0.0400039,0.0402791,0.0405291,0.0409182,0.0409846
800,0.034223,0.0353521,0.0369094,0.0376988,0.0383262,0.0387149
810,0.0317903,0.0335744,0.0346567,0.0347005,0.0359195,0.0364468
820,0.0369713,0.0373014,0.0381592,0.0386417,0.0390455,0.0392609
830,0.037098,0.0374373,0.0376525,0.0388327,0.0390959,0.0392472
840,0.0352429,0.0364608,0.0372571,0.0378002,0.0383529,0.0389788
850,0.0378193,0.0390794,0.0403316,0.0403348,0.0407733,0.0414231
860,0.035017,0.0362047,0.0368512,0.0376449,0.0395506,0.0397508
870,0.0340085,0.0347049,0.0359306,0.0373816,0.0374547,0.037583
880,0.0303415,0.0304208,0.0311365,0.0311743,0.0333564,0.0338078
890,0.0359402,0.0361679,0.0363484,0.0365773,0.0372616,0.0375467
900,0.0323577,0.0324587,0.0361964,0.0374311,0.0378668,0.0381532
910,0.0356208,0.0356426,0.0370284,0.0383354,0.0384819,0.0386266
920,0.0368327,0.0374554,0.0378341,0.0380016,0.0381576,0.0385678
930,0.0344782,0.0346718,0.037404,0.0381512,0.038354,0.0392287
940,0.0295416,0.0302514,0.0324972,0.033249,0.0341671,0.0364275
950,0.0333194,0.033727,0.0361341,0.0369472,0.0372325,0.0374582
960,0.0306488,0.0320348,0.0347594,0.0352241,0.0360439,0.0361943
970,0.0373019,0.0383701,0.0385011,0.0392086,0.0392521,0.0399758
980,0.0360752,0.0363311,0.0367576,0.0368318,0.0370127,0.0372166
