ReTr(Lx),ImTr(Lx)
-3.61445e-21,9.43975e-22
3.58468e-21,2.5304e-21
-1.47611e-21,-8.85733e-21
-1.47611e-21,-8.85733e-21
-3.19874e-22,-7.95626e-22
8.23072e-22,1.23583e-21
-1.35754e-21,3.24668e-21
5.47855e-22,1.73065e-21
3.10027e-21,-1.61157e-21
-7.16103e-21,-1.40399e-21
4.72593e-21,-3.1033e-22
-2.97302e-21,-4.62658e-22
-7.34633e-21,7.06766e-21
9.02208e-23,-7.79525e-22
3.54227e-23,3.95058e-21
3.18357e-21,2.82576e-21
-2.95972e-23,-1.7339e-21
4.6539e-21,-1.90767e-22
3.49111e-21,4.64505e-21
8.637e-21,-8.83875e-23
7.81264e-22,-1.34061e-21
-1.88901e-21,-3.1801e-22
1.20167e-21,-5.44162e-23
5.65508e-22,9.05958e-22
-7.01108e-22,-8.37e-22
-1.98492e-21,2.71395e-21
1.08028e-20,-2.96374e-22
-2.6474e-21,3.96401e-21
1.22295e-20,-5.69257e-21
-4.45113e-22,4.16613e-21
2.25159e-21,4.65742e-21
2.10176e-21,-5.51737e-21
2.11985e-22,4.02112e-21
8.95108e-21,4.09844e-21
-2.86943e-21,-7.89145e-22
1.44527e-21,-8.26973e-22
2.94996e-21,1.58313e-21
2.94996e-21,1.58313e-21
1.78685e-21,-1.77088e-21
8.08514e-21,3.85814e-21
-1.01958e-21,-8.21648e-22
7.37756e-22,1.64258e-21
8.23469e-22,-7.52812e-22
-1.38279e-21,6.5981e-22
2.5179e-22,-4.13261e-22
5.16937e-21,-2.24643e-20
1.56082e-21,3.79981e-22
1.56082e-21,3.79981e-22
1.12321e-22,1.79353e-21
1.12321e-22,1.79353e-21
4.38516e-21,-3.58344e-21
4.38516e-21,-3.58344e-21
7.62737e-21,-4.11165e-21
-1.02295e-21,1.87677e-22
-9.07083e-22,-6.73772e-23
2.01423e-21,1.24282e-21
1.13582e-21,3.89244e-21
3.83563e-21,-7.34468e-21
-4.22755e-21,-1.32105e-20
-9.40883e-22,-4.44653e-22
3.25989e-21,1.35318e-21
3.25989e-21,1.35318e-21
1.44838e-21,1.97597e-21
3.78498e-21,-4.59691e-21
-1.40003e-21,4.17844e-22
-2.29363e-21,4.36417e-21
-2.29363e-21,4.36417e-21
-5.04797e-22,2.77723e-22
-1.24856e-21,1.24784e-21
-3.15908e-21,-3.92623e-21
-3.04563e-21,-5.89764e-21
1.47438e-22,-1.45408e-21
1.47438e-22,-1.45408e-21
-1.75054e-21,-3.41366e-21
4.9454e-22,-1.64296e-21
1.53655e-21,-1.16391e-21
2.60087e-21,5.22968e-21
-9.99225e-22,-4.98588e-22
-9.99225e-22,-4.98588e-22
-4.59421e-21,5.14192e-21
2.5242e-21,-1.56771e-21
1.21818e-20,-1.20479e-20
1.21818e-20,-1.20479e-20
1.06802e-20,6.56469e-21
7.29806e-22,-6.79507e-22
-7.23663e-21,1.15413e-20
5.49123e-22,-7.50303e-22
-6.67344e-21,1.51091e-21
4.41564e-20,1.92662e-21
-5.1911e-21,8.75383e-22
-5.1911e-21,8.75383e-22
-1.11807e-21,2.80171e-21
-1.32221e-20,7.80301e-21
2.57722e-21,5.12014e-22
-6.07353e-21,-8.61525e-22
-2.66063e-21,-5.90099e-21
5.19137e-22,-3.57987e-21
-1.53185e-21,2.85205e-21
3.70908e-21,-1.58223e-21
-5.31452e-22,7.34258e-22
-1.3345e-21,7.17745e-22
-3.25649e-21,3.28463e-21
4.33585e-22,2.77127e-22
4.33585e-22,2.77127e-22
4.33585e-22,2.77127e-22
4.33585e-22,2.77127e-22
-3.43325e-21,1.27996e-20
-5.33343e-22,1.28052e-21
-1.75017e-21,1.95934e-22
3.83623e-21,4.89132e-21
-1.67495e-21,2.54157e-21
2.53889e-21,2.51133e-21
1.3509e-21,-3.83513e-21
-2.54267e-21,-2.48529e-21
-2.54267e-21,-2.48529e-21
-2.54267e-21,-2.48529e-21
-2.54267e-21,-2.48529e-21
