MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,3.4029,-1.94881,2.7896
2,3.42897,-2.24298,2.59362
3,3.38534,-2.27345,2.50838
4,3.38534,-2.27345,2.50838
5,3.33375,-2.09055,2.59682
6,3.41309,-1.79981,2.89998
7,3.41131,-1.44742,3.08902
8,3.42437,-1.32165,3.15905
9,3.44535,-1.02466,3.28945
10,3.49403,-0.964207,3.35836
11,3.35394,-0.659766,3.28841
12,3.40705,-1.02583,3.24895
13,3.35426,-1.12693,3.15928
14,3.38105,-1.38415,3.08474
15,3.40979,-1.46755,3.07782
16,3.34248,-1.2632,3.09459
17,3.40941,-0.951224,3.27402
18,3.37663,-1.16624,3.16884
19,3.45061,-0.733613,3.37172
20,3.51503,-1.06769,3.34895
21,3.37903,-0.866973,3.26592
22,3.40044,-0.713858,3.32466
23,3.42537,-0.309089,3.4114
24,3.43343,-0.556112,3.38809
25,3.3764,-0.635135,3.31612
26,3.46257,-0.664907,3.39813
27,3.43594,-0.83765,3.33227
28,3.39001,-0.687504,3.31957
29,3.43776,-0.492176,3.40234
30,3.51004,-0.690638,3.44142
31,3.50918,-1.04841,3.3489
32,3.42835,-1.08422,3.25239
33,3.42133,-1.34104,3.14756
34,3.39673,-1.47112,3.06164
35,3.36933,-1.38522,3.07141
36,3.37404,-1.00374,3.22128
37,3.43097,-0.851484,3.32364
38,3.43097,-0.851484,3.32364
39,3.47087,-0.42541,3.4447
40,3.3772,-0.160808,3.37337
41,3.39949,0.645212,3.3377
42,3.48411,0.138134,3.48137
43,3.53966,-0.0812432,3.53873
44,3.50424,-0.468727,3.47275
45,3.47854,-0.418969,3.45321
46,3.60106,-0.91703,3.48234
47,3.58657,-0.944116,3.46007
48,3.58657,-0.944116,3.46007
49,3.5436,-0.979855,3.40544
50,3.5436,-0.979855,3.40544
51,3.47703,-1.07896,3.30538
52,3.47703,-1.07896,3.30538
53,3.50817,-1.2637,3.27266
54,3.52827,-1.32572,3.26974
55,3.54975,-1.11558,3.36989
56,3.4388,-1.15948,3.23743
57,3.43345,-0.894489,3.31489
58,3.47939,-1.26341,3.2419
59,3.45861,-1.31284,3.19975
60,3.48698,-1.85151,2.95481
61,3.46085,-1.77607,2.97037
62,3.46085,-1.77607,2.97037
63,3.55585,-1.3836,3.27562
64,3.4835,-1.52288,3.13299
65,3.481,-1.11268,3.29838
66,3.44522,-1.31465,3.18453
67,3.44522,-1.31465,3.18453
68,3.37341,-1.5961,2.97193
69,3.3636,-1.855,2.80585
70,3.39902,-2.11086,2.66413
71,3.41235,-1.77136,2.91658
72,3.5131,-1.54971,3.15282
73,3.5131,-1.54971,3.15282
74,3.46522,-1.61865,3.06394
75,3.46863,-1.9183,2.8899
76,3.50982,-1.9067,2.94675
77,3.50481,-1.71597,3.056
78,3.47938,-1.60753,3.08576
79,3.47938,-1.60753,3.08576
80,3.35566,-1.43587,3.03294
81,3.43448,-1.45067,3.11307
82,3.40667,-1.42114,3.09608
83,3.40667,-1.42114,3.09608
84,3.417,-1.21057,3.19538
85,3.41807,-1.20922,3.19703
86,3.39885,-1.04336,3.23475
87,3.40908,-0.886553,3.29178
88,3.47923,-0.510466,3.44158
89,3.4065,-0.380501,3.38518
90,3.40382,0.0362104,3.40363
91,3.40382,0.0362104,3.40363
92,3.41203,0.34276,3.39477
93,3.38737,0.807298,3.28976
94,3.50897,1.03441,3.35304
95,3.46192,1.06486,3.29408
96,3.55212,1.13738,3.3651
97,3.61898,0.83151,3.52216
98,3.54555,0.983747,3.40634
99,3.46572,0.899434,3.34697
100,3.39694,0.923079,3.26912
101,3.44077,0.939539,3.31001
102,3.41659,0.715488,3.34083
103,3.33589,0.630513,3.27576
104,3.33589,0.630513,3.27576
105,3.33589,0.630513,3.27576
106,3.33589,0.630513,3.27576
107,3.31354,0.919398,3.18344
108,3.36872,0.872146,3.25386
109,3.33784,1.268,3.08761
110,3.41637,1.20925,3.1952
111,3.41851,1.15668,3.21687
112,3.38274,0.82632,3.28026
113,3.34823,0.80467,3.2501
114,3.37552,0.986799,3.22806
115,3.37552,0.986799,3.22806
116,3.37552,0.986799,3.22806
117,3.37552,0.986799,3.22806
118,3.37552,0.986799,3.22806
119,3.42725,0.927603,3.29933
120,3.35374,0.905983,3.22905
121,3.34171,1.1904,3.12249
122,3.34171,1.1904,3.12249
123,3.30774,0.675626,3.23801
124,3.30774,0.675626,3.23801
125,3.25565,0.911837,3.12535
126,3.25565,0.911837,3.12535
127,3.25565,0.911837,3.12535
128,3.25565,0.911837,3.12535
129,3.25565,0.911837,3.12535
130,3.25565,0.911837,3.12535
131,3.23312,1.19358,3.00474
132,3.31473,1.16367,3.10376
133,3.31473,1.16367,3.10376
134,3.36405,1.33675,3.08706
135,3.36405,1.33675,3.08706
136,3.23983,1.32677,2.95571
137,3.3424,0.86422,3.22874
138,3.40408,0.876788,3.28922
139,3.38752,1.05168,3.22013
140,3.30539,0.988963,3.15398
141,3.37956,0.879386,3.26314
142,3.34029,0.551694,3.29442
143,3.33976,0.346589,3.32173
144,3.44134,0.109278,3.4396
145,3.38531,0.332589,3.36893
146,3.42258,0.375766,3.40189
147,3.37862,0.530688,3.33668
148,3.34159,0.397344,3.31788
149,3.34159,0.397344,3.31788
150,3.34159,0.397344,3.31788
151,3.34159,0.397344,3.31788
152,3.34159,0.397344,3.31788
153,3.31115,0.0247903,3.31106
154,3.31115,0.0247903,3.31106
155,3.44096,-0.0644729,3.44036
156,3.44096,-0.0644729,3.44036
