ReTr(L),ImTr(L)
-0.52832,0.761248
-0.612023,0.704904
-0.624819,0.690758
-0.624819,0.690758
-0.586043,0.720006
-0.493209,0.791964
-0.396245,0.845342
-0.358788,0.858742
-0.271379,0.894433
-0.254102,0.897042
-0.177462,0.9178
-0.277543,0.888108
-0.316082,0.876383
-0.379405,0.852617
-0.403253,0.8424
-0.353257,0.863125
-0.255024,0.8959
-0.31686,0.872775
-0.202365,0.907733
-0.281712,0.887133
-0.235309,0.900917
-0.201762,0.910483
-0.0845533,0.927558
-0.15573,0.920525
-0.176375,0.908708
-0.175321,0.908792
-0.226747,0.904975
-0.190547,0.91235
-0.13612,0.924258
-0.182332,0.915667
-0.271404,0.894467
-0.292812,0.883108
-0.361347,0.860408
-0.405544,0.8429
-0.379959,0.849467
-0.276157,0.891617
-0.226673,0.906575
-0.226673,0.906575
-0.118408,0.924375
-0.0504989,0.931333
0.180643,0.915875
0.0332616,0.9296
-0.0210807,0.937842
-0.120141,0.926408
-0.117897,0.9243
-0.232357,0.900242
-0.250335,0.8985
-0.250335,0.8985
-0.259925,0.897717
-0.259925,0.897717
-0.288782,0.885683
-0.288782,0.885683
-0.338343,0.870308
-0.351782,0.867642
-0.287852,0.887408
-0.309452,0.8776
-0.246483,0.902317
-0.34224,0.867592
-0.356622,0.862583
-0.496007,0.793193
-0.480657,0.799097
-0.480657,0.799097
-0.3642,0.86135
-0.409216,0.837742
-0.292696,0.8851
-0.357563,0.860333
-0.357563,0.860333
-0.443458,0.818233
-0.5163,0.775985
-0.579145,0.730817
-0.477333,0.79675
-0.410198,0.836317
-0.410198,0.836317
-0.438469,0.817078
-0.507212,0.78073
-0.50457,0.783336
-0.456997,0.813578
-0.430099,0.831558
-0.430099,0.831558
-0.397958,0.841158
-0.393242,0.845467
-0.391903,0.847633
-0.391903,0.847633
-0.327444,0.869758
-0.335094,0.865017
-0.283126,0.887308
-0.242864,0.900158
-0.139359,0.922092
-0.11002,0.9261
0.00466167,0.93225
0.00466168,0.93225
0.0982275,0.930775
0.222897,0.907758
0.274083,0.894583
0.286457,0.88725
0.293033,0.883925
0.220019,0.908125
0.2533,0.8982
0.23702,0.900817
0.25133,0.900533
0.255517,0.897933
0.195866,0.912217
0.173845,0.915142
0.173845,0.915142
0.173845,0.915142
0.173845,0.915142
0.24938,0.89795
0.241404,0.899492
0.348455,0.865667
0.326871,0.873358
0.315449,0.8717
0.226994,0.904017
0.225331,0.903708
0.269298,0.8919
0.269298,0.8919
0.269298,0.8919
0.269298,0.8919
0.269298,0.8919
0.256957,0.897508
0.245618,0.898658
0.335762,0.875233
0.335762,0.875233
0.193292,0.914942
0.193292,0.914942
0.252867,0.897933
0.252867,0.897933
0.252867,0.897933
0.252867,0.897933
0.252867,0.897933
0.252867,0.897933
0.344397,0.8634
0.33227,0.873025
0.33227,0.873025
0.368858,0.859783
0.368858,0.859783
0.380834,0.852558
0.24108,0.902608
0.244446,0.902333
0.288091,0.887967
0.279641,0.889917
0.242897,0.900792
0.154492,0.92045
0.09668,0.929308
0.0309366,0.932092
0.091715,0.932375
0.0974267,0.932492
0.141077,0.922925
0.109333,0.926383
0.109333,0.926383
0.109333,0.926383
0.109333,0.926383
0.109333,0.926383
0.0071856,0.934308
0.0071856,0.934308
-0.0147017,0.932583
-0.0147017,0.932583
0.0104989,0.9353
0.188625,0.91725
0.259044,0.897208
0.251713,0.903167
0.10853,0.92745
0.149635,0.921225
0.0916358,0.928692
0.0916358,0.928692
-0.0254407,0.934017
0.0191298,0.93665
0.0191298,0.93665
0.0243785,0.934967
0.0243785,0.934967
0.011553,0.9374
0.0717859,0.929342
0.0954583,0.927158
0.0954583,0.927158
0.00272849,0.931142
-0.00964558,0.93215
0.036412,0.931458
-0.115562,0.927417
-0.081745,0.923525
-0.0167479,0.932217
0.0193948,0.934008
0.0193948,0.934008
0.00346882,0.9386
-0.00150379,0.929833
-0.00150379,0.929833
0.0967025,0.926958
0.039846,0.931758
-0.0398371,0.929467
-0.0398371,0.929467
-0.0674358,0.929258
-0.0674358,0.929258
-0.101933,0.927108
-0.130708,0.922533
-0.130708,0.922533
-0.16347,0.921583
-0.174529,0.921192
-0.137543,0.920142
-0.164417,0.918958
-0.275657,0.894692
-0.275657,0.894692
-0.27018,0.888125
-0.229988,0.903292
-0.229988,0.903292
-0.229988,0.903292
-0.2616,0.896775
-0.2616,0.896775
-0.345026,0.868483
-0.345026,0.868483
-0.345026,0.868483
-0.283226,0.887683
-0.246547,0.903125
-0.231225,0.901567
-0.282045,0.891425
-0.311623,0.875583
-0.285454,0.885308
-0.360162,0.8609
-0.316835,0.877367
-0.316835,0.877367
-0.316835,0.877367
-0.316835,0.877367
-0.316835,0.877367
-0.316835,0.877367
-0.286098,0.887708
-0.286098,0.887708
-0.286098,0.887708
-0.260896,0.891767
-0.260896,0.891767
-0.12724,0.923292
-0.19667,0.91355
-0.231842,0.897692
-0.198334,0.9126
-0.198334,0.9126
-0.206171,0.91505
-0.300099,0.88435
-0.226838,0.903042
-0.156098,0.919642
-0.133793,0.924575
-0.216252,0.910658
-0.20846,0.911192
-0.177006,0.914617
-0.170485,0.915433
-0.155712,0.9173
0.0602452,0.931658
-0.017875,0.931792
-0.0336271,0.930642
0.0452247,0.929225
0.0452247,0.929225
0.0971192,0.928258
0.0971192,0.928258
0.152701,0.918125
0.137243,0.91925
0.16844,0.917167
0.16844,0.917167
0.16844,0.917167
0.16844,0.917167
0.223692,0.907525
0.188901,0.9163
0.207492,0.906708
0.0446313,0.929733
0.123164,0.926033
0.0920192,0.933008
0.0253235,0.931358
0.0253235,0.931358
0.0857642,0.927908
0.0857642,0.927908
0.0857642,0.927908
0.0857642,0.927908
0.166762,0.914917
0.166762,0.914917
0.187156,0.9111
0.187156,0.9111
0.147794,0.916883
0.0978625,0.926092
0.0978625,0.926092
0.0978625,0.926092
0.0748939,0.928283
0.0748939,0.928283
-0.00870792,0.933783
0.116158,0.926108
0.0132524,0.932917
0.0132524,0.932917
0.00680472,0.935217
0.00680472,0.935217
0.00680472,0.935217
-0.0346731,0.933458
-0.0346731,0.933458
-0.00616273,0.931683
0.0791246,0.930017
0.131202,0.925892
0.131202,0.925892
0.246495,0.903733
0.262389,0.89745
0.375367,0.852408
0.375367,0.852408
0.375367,0.852408
0.325942,0.87305
0.325942,0.87305
0.325942,0.87305
0.325942,0.87305
0.325942,0.87305
0.276967,0.8912
0.27286,0.888208
0.365106,0.857833
0.302573,0.881892
0.310935,0.878775
0.310935,0.878775
0.315339,0.879667
0.326569,0.874225
0.195427,0.915017
0.195427,0.915017
0.255974,0.891267
0.283018,0.88875
0.231322,0.903608
0.231322,0.903608
0.20083,0.91425
0.20083,0.91425
0.297961,0.883225
0.254559,0.894917
