t,N_f,N_g
10,120,2400
20,120,2400
30,120,2400
40,120,2400
50,120,2400
60,120,2400
70,120,2400
80,120,2400
90,120,2400
100,120,2400
110,90,1800
120,90,1800
130,90,1800
140,90,1800
150,90,1800
160,90,1800
170,90,1800
180,90,1800
190,90,1800
200,90,1800
210,90,1800
220,90,1800
230,90,1800
240,90,1800
250,90,1800
260,90,1800
270,90,1800
280,90,1800
290,90,1800
300,90,1800
310,90,1800
320,90,1800
330,90,1800
340,90,1800
350,90,1800
360,90,1800
370,90,1800
380,90,1800
390,90,1800
400,90,1800
410,90,1800
420,90,1800
430,90,1800
440,90,1800
450,90,1800
460,90,1800
470,90,1800
480,90,1800
490,90,1800
500,90,1800
510,90,1800
520,90,1800
530,90,1800
540,90,1800
550,90,1800
560,90,1800
570,90,1800
580,90,1800
590,90,1800
600,90,1800
610,90,1800
620,90,1800
630,90,1800
640,90,1800
650,90,1800
660,90,1800
670,90,1800
680,90,1800
690,90,1800
700,90,1800
710,90,1800
720,90,1800
730,90,1800
740,90,1800
750,90,1800
760,90,1800
770,90,1800
780,90,1800
790,90,1800
800,90,1800
810,90,1800
820,90,1800
830,90,1800
840,90,1800
850,90,1800
860,90,1800
870,90,1800
880,90,1800
890,90,1800
900,90,1800
910,90,1800
920,90,1800
930,90,1800
940,90,1800
950,90,1800
960,90,1800
970,90,1800
980,90,1800
990,90,1800
1000,90,1800
1010,90,1800
1020,90,1800
1030,90,1800
1040,90,1800
1050,90,1800
1060,90,1800
1070,90,1800
1080,90,1800
1090,90,1800
1100,90,1800
1110,90,1800
1120,90,1800
1130,90,1800
1140,90,1800
1150,90,1800
1160,90,1800
1170,90,1800
1180,90,1800
1190,90,1800
1200,90,1800
1210,90,1800
1220,90,1800
1230,90,1800
1240,90,1800
1250,90,1800
1260,90,1800
1270,90,1800
1280,90,1800
1290,90,1800
1300,90,1800
1310,90,1800
1320,90,1800
1330,90,1800
1340,90,1800
1350,90,1800
1360,90,1800
1370,90,1800
1380,90,1800
1390,90,1800
1400,90,1800
1410,90,1800
1420,90,1800
1430,90,1800
1440,90,1800
1450,90,1800
1460,90,1800
1470,90,1800
1480,90,1800
1490,90,1800
1500,90,1800
1510,90,1800
1520,90,1800
1530,90,1800
1540,90,1800
1550,90,1800
1560,90,1800
1570,90,1800
1580,90,1800
1590,90,1800
1600,90,1800
1610,90,1800
1620,90,1800
1630,90,1800
1640,90,1800
1650,90,1800
1660,90,1800
1670,90,1800
1680,90,1800
1690,90,1800
1700,90,1800
1710,90,1800
1720,90,1800
1730,90,1800
1740,90,1800
1750,90,1800
1760,90,1800
1770,90,1800
1780,90,1800
1790,90,1800
1800,90,1800
1810,90,1800
1820,90,1800
1830,90,1800
1840,90,1800
1850,90,1800
1860,90,1800
1870,90,1800
1880,90,1800
1890,90,1800
1900,90,1800
1910,90,1800
1920,90,1800
1930,90,1800
1940,90,1800
1950,90,1800
1960,90,1800
1970,90,1800
1980,90,1800
1990,90,1800
2000,90,1800
2010,90,1800
2020,90,1800
2030,90,1800
2040,90,1800
2050,90,1800
2060,90,1800
2070,90,1800
2080,90,1800
2090,90,1800
2100,90,1800
2110,90,1800
2120,90,1800
2130,90,1800
2140,90,1800
2150,90,1800
2160,90,1800
2170,90,1800
2180,90,1800
2190,90,1800
2200,90,1800
2210,90,1800
2220,90,1800
2230,90,1800
2240,90,1800
2250,90,1800
2260,90,1800
2270,90,1800
2280,90,1800
2290,90,1800
2300,90,1800
2310,90,1800
2320,90,1800
2330,90,1800
2340,90,1800
2350,90,1800
2360,90,1800
2370,90,1800
2380,90,1800
2390,90,1800
2400,90,1800
2410,90,1800
2420,90,1800
2430,90,1800
2440,90,1800
2450,90,1800
2460,90,1800
2470,90,1800
2480,90,1800
2490,90,1800
2500,90,1800
2510,90,1800
2520,90,1800
2530,90,1800
2540,90,1800
2550,90,1800
2560,90,1800
2570,90,1800
2580,90,1800
2590,90,1800
2600,90,1800
2610,90,1800
2620,90,1800
2630,90,1800
2640,90,1800
2650,90,1800
2660,90,1800
2670,90,1800
2680,90,1800
2690,90,1800
2700,90,1800
2710,90,1800
2720,90,1800
2730,90,1800
2740,90,1800
2750,90,1800
2760,90,1800
2770,90,1800
2780,90,1800
2790,90,1800
2800,90,1800
2810,90,1800
2820,90,1800
2830,90,1800
2840,90,1800
2850,90,1800
2860,90,1800
2870,90,1800
2880,90,1800
2890,90,1800
2900,90,1800
2910,90,1800
2920,90,1800
2930,90,1800
2940,90,1800
2950,90,1800
2960,90,1800
2970,90,1800
2980,90,1800
2990,90,1800
3000,90,1800
3010,90,1800
3020,90,1800
3030,90,1800
3040,90,1800
3050,90,1800
3060,90,1800
3070,90,1800
3080,90,1800
3090,90,1800
3100,90,1800
3110,90,1800
3120,90,1800
3130,90,1800
3140,90,1800
3150,90,1800
3160,90,1800
3170,90,1800
3180,90,1800
3190,90,1800
3200,90,1800
3210,90,1800
3220,90,1800
3230,90,1800
3240,90,1800
3250,90,1800
3260,90,1800
3270,90,1800
3280,90,1800
3290,90,1800
3300,90,1800
3310,90,1800
3320,90,1800
3330,90,1800
3340,90,1800
3350,90,1800
3360,90,1800
3370,90,1800
3380,90,1800
3390,90,1800
3400,90,1800
3410,90,1800
3420,90,1800
3430,90,1800
3440,90,1800
3450,90,1800
3460,90,1800
3470,90,1800
3480,90,1800
3490,90,1800
3500,90,1800
