t,cg_iters
1,11925
2,12055
3,12616
4,12919
5,13118
6,13089
7,13165
8,13206
9,13275
10,13533
11,13772
12,13531
13,13649
14,13771
15,13605
16,13793
17,13588
18,13586
19,13619
20,13761
21,13802
22,13749
23,13725
24,13648
25,13592
26,13677
27,13734
28,13843
29,13874
30,13778
31,13599
32,13598
33,13685
34,13595
35,13556
36,13711
37,13728
38,13664
39,13671
40,13523
41,13597
42,13764
43,13809
44,13615
45,13779
46,13987
47,13735
48,13728
49,13599
50,13824
51,13599
52,13728
53,13602
54,13702
55,13864
56,13609
57,13591
58,13647
59,13928
60,13806
61,13610
62,13722
63,13531
64,13785
65,13818
66,13615
67,13736
68,13773
69,13705
70,13652
71,13587
72,13663
73,13698
74,13663
75,13805
76,13713
77,13722
78,13615
79,13716
80,13740
81,13735
82,13851
83,13839
84,13866
85,13743
86,13864
87,13703
88,13600
89,13812
90,13719
91,13724
92,13764
93,13705
94,13789
95,13693
96,13960
97,13673
98,13638
99,13685
100,13843
101,10502
102,10318
103,10313
104,10367
105,10351
106,10277
107,10457
108,10296
109,10289
110,10456
111,10498
112,10328
113,10296
114,10424
115,10178
116,10352
117,10302
118,10412
119,10415
120,10392
121,10410
122,10342
123,10354
124,10514
125,10302
126,10347
127,10352
128,10397
129,10419
130,10203
131,10410
132,10332
133,10307
134,10418
135,10452
136,10516
137,10370
138,10469
139,10364
140,10531
141,10460
142,10409
143,10444
144,10267
145,10350
146,10258
147,10268
148,10377
149,10218
150,10360
151,10379
152,10407
153,10253
154,10153
155,10362
156,10283
157,10220
158,10368
159,10529
160,10148
161,10392
162,10531
163,10447
164,10273
165,10326
166,10269
167,10223
168,10539
169,10240
170,10353
171,10324
172,10202
173,10457
174,10282
175,10273
176,10201
177,10378
178,10270
179,10310
180,10224
181,10219
182,10269
183,10454
184,10460
185,10245
186,10142
187,10412
188,10343
189,10395
190,10668
191,10401
192,10166
193,10353
194,10373
195,10513
196,10351
197,10284
198,10269
199,10350
200,10353
201,10395
202,10451
203,10331
204,10333
205,10202
206,10292
207,10254
208,10408
209,10316
210,10180
211,10364
212,10274
213,10293
214,10368
215,10323
216,10254
217,10356
218,10212
219,10142
220,10275
221,10325
222,10368
223,10420
224,10388
225,10365
226,10276
227,10280
228,10158
229,10446
230,10405
231,10364
232,10269
233,10380
234,10363
235,10369
236,10375
237,10497
238,10308
239,10449
240,10295
241,10277
242,10261
243,10204
244,10372
245,10414
246,10297
247,10390
248,10337
249,10347
250,10332
251,10524
252,10531
253,10314
254,10278
255,10418
256,10399
257,10260
258,10147
259,10324
260,10259
261,10314
262,10324
263,10272
264,10210
265,10303
266,10302
267,10343
268,10268
269,10298
270,10352
271,10334
272,10431
273,10249
274,10332
275,10335
276,10329
277,10380
278,10590
279,10349
280,10404
281,10532
282,10406
283,10244
284,10449
285,10419
286,10170
287,10274
288,10298
289,10393
290,10310
291,10295
292,10403
293,10382
294,10426
295,10207
296,10353
297,10264
298,10407
299,10260
300,10278
301,10557
302,10504
303,10361
304,10296
305,10475
306,10198
307,10529
308,10284
309,10346
310,10323
311,10245
312,10285
313,10272
314,10408
315,10507
316,10531
317,10310
318,10301
319,10360
320,10216
321,10477
322,10271
323,10370
324,10236
325,10377
326,10252
327,10497
328,10395
329,10356
330,10441
331,10382
332,10383
333,10352
334,10437
335,10263
336,10383
337,10435
338,10343
339,10254
340,10405
341,10263
342,10237
343,10375
344,10313
345,10483
346,10467
347,10354
348,10206
349,10313
350,10380
351,10201
352,10343
353,10304
354,10225
355,10250
356,10201
357,10321
358,10296
359,10284
360,10204
361,10261
362,10285
363,10305
364,10289
365,10350
366,10254
367,10358
368,10419
369,10726
370,10260
371,10227
372,10205
373,10351
374,10178
375,10216
376,10342
377,10297
378,10377
379,10369
380,10402
381,10338
382,10401
383,10431
384,10242
385,10384
386,10218
387,10418
388,10200
389,10327
390,10470
391,10299
392,10328
393,10249
394,10292
395,10347
396,10295
397,10402
398,10363
399,10384
400,10294
401,10402
402,10347
403,10289
404,10278
405,10264
406,10287
407,10363
408,10333
409,10212
410,10365
411,10284
412,10383
413,10303
414,10323
415,10400
416,10214
417,10188
418,10254
419,10226
420,10306
421,10341
422,10371
423,10258
424,10253
425,10256
426,10217
427,10426
428,10217
429,10333
430,10245
431,10365
432,10385
433,10233
434,10267
435,10204
436,10233
437,10406
438,10507
439,10401
440,10278
441,10225
442,10357
443,10316
444,10250
445,10357
446,10404
447,10231
448,10272
449,10398
450,10264
451,10413
452,10378
453,10468
454,10354
455,10411
456,10290
457,10224
458,10268
459,10313
460,10252
461,10308
462,10238
463,10185
464,10362
465,10304
466,10293
467,10455
468,10322
469,10209
470,10414
471,10146
472,10167
473,10426
474,10337
475,10260
476,10237
477,10156
478,10257
479,10230
480,10246
481,10396
482,10202
483,10271
484,10226
485,10209
486,10369
487,10252
488,10326
489,10189
490,10380
491,10515
492,10317
493,10499
494,10513
495,10375
496,10326
497,10272
498,10277
499,10361
500,10314
501,10337
502,10302
503,10450
504,10360
505,10329
506,10291
507,10261
508,10313
509,10403
510,10312
511,10220
512,10343
513,10284
514,10538
515,10421
516,10331
517,10402
518,10279
519,10359
520,10482
521,10361
522,10313
523,10422
524,10399
525,10283
526,10251
527,10406
528,10357
529,10306
530,10258
531,10347
532,10364
533,10320
534,10315
535,10316
536,10366
537,10278
538,10248
539,10267
540,10407
541,10310
542,10285
543,10293
544,10227
545,10308
546,10220
547,10253
548,10451
549,10249
550,10232
