t,deltaS
1,-2.376
2,1.462
3,0.3173
4,0.3943
5,0.225
6,0.2033
7,0.1911
8,0.1534
9,0.1458
10,-0.0278
11,0.1693
12,0.08426
13,0.03402
14,0.06089
15,-0.03465
16,-0.05354
17,-0.03195
18,0.1434
19,0.01842
20,0.04175
21,0.07354
22,0.03006
23,0.009242
24,-0.1212
25,0.0516
26,-0.002515
27,0.0976
28,-0.0627
29,-0.02929
30,-0.04748
31,-0.04456
32,0.03865
33,-0.06673
34,0.02424
35,-0.05315
36,0.01639
37,-0.004301
38,-0.03943
39,0.0579
40,-0.06446
41,0.1146
42,-0.09318
43,0.009019
44,-0.004701
45,0.06868
46,0.0008909
47,-0.001947
48,-0.08742
49,0.08432
50,-0.03082
51,-0.05936
52,0.09088
53,-0.09293
54,0.09551
55,-0.04972
56,0.06112
57,-0.02738
58,0.07598
59,-0.0137
60,0.004385
61,-0.01314
62,0.01142
63,0.01709
64,0.08083
65,0.09277
66,0.03144
67,-0.119
68,0.02234
69,0.001957
70,-0.008987
71,-0.09232
72,-0.03391
73,0.0319
74,-0.008547
75,0.01777
76,-0.03007
77,0.009758
78,-0.02652
79,-0.0472
80,-0.03785
81,0.1669
82,0.04826
83,-0.06364
84,-0.1017
85,-0.09307
86,-0.1383
87,0.1782
88,0.09482
89,0.06834
90,-0.0335
91,-0.01026
92,0.113
93,0.03845
94,-0.01771
95,0.02746
96,0.05485
97,-0.0278
98,0.02002
99,-0.06379
100,-0.1237
101,0.07904
102,-0.04969
103,0.05818
104,0.126
105,-0.00985
106,0.0212
107,-0.05109
108,0.01753
109,-0.07695
110,-0.0615
111,0.1609
112,0.05058
113,-0.08746
114,-0.007149
115,0.1427
116,-0.008722
117,-0.04102
118,0.08552
119,-0.1172
120,0.1577
121,0.01278
122,0.02229
123,0.2189
124,-0.1627
125,-0.05897
126,-0.03029
127,-0.08381
128,0.004606
129,0.001811
130,-0.001638
131,0.05066
132,-0.07224
133,-0.009256
134,-0.04613
135,0.04635
136,0.1651
137,-0.06222
138,-0.04757
139,0.1659
140,0.01553
141,0.03754
142,0.04343
143,-0.04936
144,-0.1232
145,-0.04405
146,0.03226
147,-0.02042
148,0.00844
149,0.1298
150,-0.1063
151,0.04612
152,-0.02227
153,0.008273
154,-0.0465
155,-0.1639
156,0.01333
157,0.001329
158,-0.1132
159,0.06559
160,0.007574
161,-0.03172
162,-0.01173
163,0.02401
164,-0.04322
165,-0.06789
166,0.1133
167,0.05154
168,0.1367
169,-0.08833
170,0.1059
171,-0.1271
172,0.1487
173,0.02563
174,0.2266
175,-0.1698
176,0.1427
177,-0.1274
178,-0.04645
179,-0.2097
180,0.09445
181,-0.04221
182,0.1402
183,0.06786
184,0.07271
185,-0.09479
186,-0.1348
187,0.08801
188,-0.06164
189,0.1679
190,0.01387
191,-0.2798
192,-0.05293
193,-0.04475
194,0.06369
195,0.01015
196,-0.2906
197,0.331
198,-0.09527
199,0.0727
200,0.1529
201,0.01926
202,-0.06822
203,0.02293
204,-0.01557
205,-0.0319
206,0.01262
207,0.03384
208,-0.1191
209,0.05661
210,0.009571
211,0.1418
212,-0.06365
213,0.005831
214,0.1374
215,-0.1084
216,0.2023
217,-0.1017
218,-0.161
219,0.02021
220,0.1202
221,0.04785
222,0.04391
223,0.1116
224,-0.03543
225,-0.09379
226,-0.1364
227,0.01651
228,0.002941
229,0.1493
230,0.07013
231,0.04298
232,0.1452
233,-0.1187
234,0.1057
235,-0.04275
236,-0.1698
237,0.0323
238,0.03209
239,0.05214
240,-0.02427
241,0.0682
242,-0.2218
243,-0.01352
244,0.06247
245,0.06992
246,-0.1437
247,0.06583
248,-0.06063
249,0.04861
250,-0.1041
251,0.158
252,-0.09682
253,-0.0247
254,0.01921
255,-0.1627
256,-0.01457
257,-0.2435
258,0.1864
259,-0.06191
260,0.08786
261,-0.2763
262,0.0178
263,-0.2353
264,0.06713
265,0.00494
266,0.008311
267,0.01954
268,-0.2159
