ReTr(Lx),ImTr(Lx)
2.31199e-23,-1.38947e-23
5.90697e-23,-4.7839e-22
-2.58193e-22,-6.56443e-22
-6.65868e-23,-5.01126e-22
-6.65868e-23,-5.01126e-22
8.50508e-22,-1.34303e-21
3.96142e-22,5.02948e-22
-3.54916e-22,-6.94782e-23
-1.9329e-21,1.06048e-21
-6.26944e-22,2.91264e-22
-6.26944e-22,2.91264e-22
-4.36878e-22,-2.82108e-22
-1.96788e-22,9.81183e-22
4.27971e-23,1.53587e-22
-1.15563e-22,2.62618e-23
1.04209e-23,-3.31032e-22
-7.47645e-22,1.11262e-22
3.60629e-22,-1.6226e-22
2.36271e-22,-2.68451e-22
9.16125e-22,8.95383e-22
-1.94829e-21,-1.33622e-22
-3.0186e-22,-8.54367e-24
7.46883e-22,3.86379e-22
-5.31964e-22,-1.68014e-21
-6.64642e-22,5.31401e-22
-2.20903e-22,-1.08419e-21
6.62279e-22,-2.51336e-22
-3.07575e-22,-3.02419e-23
6.18323e-24,-2.12305e-22
-2.28833e-22,-1.72196e-21
3.68176e-22,2.16053e-21
4.31943e-22,-1.14302e-21
-5.9527e-24,4.6654e-22
-7.22206e-24,4.70932e-22
-4.41013e-22,-6.50228e-22
7.49157e-22,1.2283e-21
-4.91708e-22,1.94222e-21
-4.99246e-22,-4.55867e-22
1.15787e-21,-1.42142e-24
2.67131e-22,4.67933e-22
8.35058e-23,-8.43e-22
-3.87059e-22,6.11943e-22
-1.0306e-22,-2.64005e-22
-8.13489e-23,3.45549e-22
9.3505e-22,-4.40956e-22
8.58883e-23,-6.41749e-23
4.49491e-22,4.96172e-22
4.49574e-22,1.13871e-22
2.8665e-23,-2.58155e-23
-4.77552e-23,6.62916e-22
-9.45533e-22,4.96885e-22
7.2581e-22,1.22809e-21
-5.94717e-22,-6.7485e-22
-5.76189e-23,4.91219e-22
-3.82131e-22,-6.46308e-22
-5.97661e-22,-2.84537e-22
9.666e-22,4.58676e-22
-1.46004e-21,2.69572e-21
-9.46258e-23,8.63775e-22
-2.77606e-22,7.14323e-22
-1.09973e-22,-1.91873e-22
-1.10551e-25,5.40742e-22
1.60274e-21,8.70433e-22
-3.39056e-22,-3.41464e-22
6.25596e-22,-1.13082e-21
-1.55661e-22,3.58713e-22
5.88622e-22,-1.8247e-22
5.82044e-22,-1.17246e-21
-5.55612e-23,7.8486e-23
1.36633e-21,-8.14205e-22
-2.54244e-22,7.89376e-23
-3.01204e-22,8.77158e-24
-1.11482e-22,1.3821e-22
-3.1205e-22,3.79644e-22
-3.08724e-22,-4.29873e-22
-2.99394e-22,-7.83097e-22
-4.18622e-22,1.98438e-22
-1.92747e-21,-6.95465e-22
8.49792e-23,6.43322e-22
-5.02729e-23,-8.11965e-22
2.4648e-23,-6.75665e-23
6.26207e-22,5.0372e-22
1.79151e-23,-2.63457e-22
-1.14418e-21,1.48658e-21
1.38458e-21,3.61109e-22
1.19655e-21,-5.06961e-22
5.17198e-23,4.41274e-22
1.71973e-21,-3.82957e-22
-7.04279e-22,-1.04875e-21
5.66104e-22,2.86556e-22
-1.48775e-22,1.99347e-22
-2.52621e-22,1.24057e-21
8.39192e-22,7.30185e-22
1.01276e-21,4.31358e-21
1.37832e-22,6.14113e-22
-1.19695e-22,-1.02808e-24
1.11472e-21,1.51265e-21
-3.21871e-22,-2.13578e-22
-1.20143e-22,-1.52216e-22
-2.53547e-22,4.77123e-23
-2.78293e-21,-1.348e-21
-2.17759e-21,1.97674e-21
7.46827e-22,-3.60226e-22
1.04526e-22,-1.99164e-22
-2.37083e-21,1.19779e-21
2.46677e-22,-1.5702e-23
-6.92582e-22,-4.42027e-22
1.18527e-21,-1.08683e-22
