MDTU,|Tr(Lx)|
1,2.69739e-23
2,4.82023e-22
3,7.05395e-22
4,5.0553e-22
5,5.0553e-22
6,1.58969e-21
7,6.40223e-22
8,3.61652e-22
9,2.2047e-21
10,6.91299e-22
11,6.91299e-22
12,5.20045e-22
13,1.00072e-21
14,1.59438e-22
15,1.18509e-22
16,3.31196e-22
17,7.55878e-22
18,3.95451e-22
19,3.57617e-22
20,1.28101e-21
21,1.95287e-21
22,3.01981e-22
23,8.40906e-22
24,1.76235e-21
25,8.50961e-22
26,1.10647e-21
27,7.08367e-22
28,3.09058e-22
29,2.12395e-22
30,1.7371e-21
31,2.19167e-21
32,1.22191e-21
33,4.66578e-22
34,4.70988e-22
35,7.85678e-22
36,1.43873e-21
37,2.00349e-21
38,6.76063e-22
39,1.15787e-21
40,5.38814e-22
41,8.47126e-22
42,7.24078e-22
43,2.83408e-22
44,3.54996e-22
45,1.03381e-21
46,1.07216e-22
47,6.69499e-22
48,4.63771e-22
49,3.85762e-23
50,6.64634e-22
51,1.06814e-21
52,1.42654e-21
53,8.99506e-22
54,4.94587e-22
55,7.50825e-22
56,6.61937e-22
57,1.06991e-21
58,3.06572e-21
59,8.68943e-22
60,7.6637e-22
61,2.21155e-22
62,5.40742e-22
63,1.82385e-21
64,4.81203e-22
65,1.29233e-21
66,3.91031e-22
67,6.16256e-22
68,1.30898e-21
69,9.61618e-23
70,1.59053e-21
71,2.66217e-22
72,3.01332e-22
73,1.77567e-22
74,4.91431e-22
75,5.29246e-22
76,8.38379e-22
77,4.63273e-22
78,2.0491e-21
79,6.4891e-22
80,8.1352e-22
81,7.19219e-23
82,8.0366e-22
83,2.64065e-22
84,1.87592e-21
85,1.43089e-21
86,1.29952e-21
87,4.44295e-22
88,1.76186e-21
89,1.26328e-21
90,6.34498e-22
91,2.48743e-22
92,1.26603e-21
93,1.11239e-21
94,4.43088e-21
95,6.29391e-22
96,1.19699e-22
97,1.87902e-21
98,3.86285e-22
99,1.93918e-22
100,2.57998e-22
101,3.09222e-21
102,2.94099e-21
103,8.29164e-22
104,2.24927e-22
105,2.65622e-21
106,2.47177e-22
107,8.21618e-22
108,1.19024e-21
109,1.21956e-21
110,2.05521e-22
111,1.66313e-22
112,9.45473e-22
113,3.2327e-22
114,1.03123e-21
115,2.76302e-23
116,1.20768e-21
117,2.49779e-22
118,4.3819e-21
119,1.16215e-21
120,1.15499e-21
121,1.09716e-21
122,1.27703e-21
123,5.02373e-22
124,6.10285e-22
125,1.82957e-21
126,1.25328e-21
127,7.53726e-22
128,9.81163e-22
129,7.29535e-22
130,7.36751e-22
131,1.29283e-21
132,2.91768e-22
133,1.02878e-21
134,5.02717e-22
135,1.03782e-21
136,2.38298e-22
137,4.52828e-22
138,6.05829e-22
139,2.52037e-21
140,1.82775e-22
141,4.877e-22
142,3.49069e-22
143,1.01764e-21
144,2.11341e-22
145,8.28343e-22
146,6.61713e-22
147,9.01591e-22
148,1.6507e-21
149,6.23121e-22
150,7.56116e-22
151,3.5517e-21
152,1.29202e-22
153,4.14543e-21
154,5.91159e-22
155,1.69753e-22
156,2.30556e-21
157,2.5761e-22
158,4.56983e-22
159,7.03931e-22
160,1.22788e-21
161,8.53747e-22
162,1.60036e-22
163,1.42444e-22
164,1.16781e-21
165,3.82694e-22
166,1.19558e-21
167,1.48651e-22
168,9.31796e-22
169,6.96036e-22
170,1.8315e-21
171,6.49501e-22
172,3.73125e-21
173,1.11566e-21
174,9.68011e-22
175,8.86199e-22
176,7.0844e-22
177,1.08224e-21
178,1.03497e-21
179,8.56869e-22
180,1.49942e-21
181,4.50448e-22
182,8.42194e-22
183,9.43632e-22
184,1.24939e-21
185,4.33838e-22
186,7.60769e-22
187,5.3549e-22
188,1.63009e-21
189,5.12307e-23
190,1.41641e-21
191,1.08696e-21
192,5.92156e-22
193,2.94169e-22
194,2.01017e-21
195,8.81501e-22
196,3.81977e-22
197,4.72417e-22
198,5.89307e-22
199,1.14784e-22
200,1.15007e-21
201,3.75665e-22
202,1.80706e-22
203,1.47406e-21
204,3.61156e-22
205,4.94593e-22
206,2.31621e-21
207,7.69398e-22
208,3.6557e-21
209,4.40605e-22
210,1.35161e-22
211,5.48553e-22
212,1.31816e-21
213,3.33815e-22
214,3.33815e-22
215,5.15539e-22
216,3.2428e-22
217,2.18594e-21
218,1.55428e-21
219,2.15965e-22
220,1.43773e-21
221,1.16501e-21
222,1.34523e-21
223,3.37831e-22
224,1.10522e-21
225,2.06596e-21
226,3.4826e-22
227,5.32269e-22
228,9.28446e-22
229,6.14661e-22
230,7.25546e-22
231,6.11634e-22
232,4.85695e-22
233,2.90939e-22
234,9.0488e-23
235,4.54745e-22
236,2.87478e-22
237,3.25405e-22
238,1.06667e-21
239,5.1317e-22
240,9.75949e-22
241,1.09985e-21
242,6.94943e-22
243,8.90254e-22
244,2.32724e-22
245,4.53128e-22
246,6.33147e-22
247,6.36948e-22
248,1.81977e-22
249,2.85357e-22
250,3.9034e-22
251,3.16602e-23
252,4.3551e-22
253,5.92279e-21
254,2.52077e-22
255,5.38696e-22
256,1.07404e-21
257,5.2216e-22
258,1.41644e-21
259,1.40429e-21
260,1.65646e-21
261,1.74772e-21
262,7.08215e-22
263,1.40782e-21
264,3.0003e-21
265,3.82744e-22
266,1.11797e-21
267,2.46289e-22
268,1.49173e-21
269,1.12406e-21
270,7.41717e-22
271,5.86669e-22
272,6.13063e-22
273,9.45033e-22
274,1.0553e-21
275,9.64653e-22
276,4.17079e-22
277,4.03375e-22
278,8.38013e-22
279,1.03035e-21
280,3.23744e-22
281,1.65642e-21
282,1.50781e-21
283,9.26578e-22
284,5.44708e-22
285,2.02401e-21
286,4.35125e-22
287,5.92923e-22
288,1.15844e-21
289,5.75503e-22
290,7.51777e-22
291,6.64674e-23
292,7.60191e-22
293,5.00974e-21
294,4.29798e-22
295,1.34359e-21
296,3.44708e-22
297,2.85824e-22
298,8.10469e-22
299,8.10469e-22
300,6.11714e-22
301,4.02095e-22
302,4.70541e-22
303,4.84461e-22
304,7.43184e-22
305,6.44513e-23
306,1.35309e-21
307,1.20873e-22
308,1.87e-22
309,5.01854e-22
310,3.72983e-22
311,1.75917e-21
312,2.29833e-22
313,2.56396e-22
314,8.42592e-22
315,8.42592e-22
316,2.28096e-21
317,3.29718e-22
318,4.39557e-22
319,1.36211e-21
320,6.2969e-22
321,4.52535e-23
322,1.29702e-21
323,4.04435e-21
324,7.35224e-22
325,3.16083e-21
326,8.98459e-22
327,1.1474e-21
328,7.88605e-22
329,2.45915e-22
330,3.06413e-22
