ReTr(Lx),ImTr(Lx)
0.0175486,0.0107262
0.048345,-0.0193742
-0.0116506,-0.000131207
0.00587137,-0.026008
0.00587137,-0.026008
0.00178014,0.00127763
-0.0175558,-0.0473463
0.00332902,0.00565239
0.0633153,-0.073335
0.033116,-0.0346926
0.033116,-0.0346926
0.034119,-0.0235656
0.0124266,-0.0404152
0.0387135,-0.0256143
-0.0357298,0.0360691
-0.0245421,0.031797
-0.00420617,-0.00498199
0.0366378,0.0277918
-0.0278049,0.0181944
0.0272382,0.0263906
-0.0243179,0.00925075
-0.0393966,-0.0104575
-0.0525806,-0.0137433
0.0623302,0.00529199
-0.0110367,-0.0201511
-0.0190982,0.0520239
-0.0605298,0.0111247
-0.00297842,0.00689878
-0.0349228,0.0138292
-0.0139584,0.00589653
-0.0465242,-0.0203339
-0.0166018,-0.0260935
-0.0452305,0.0267203
0.00674849,-0.017634
-0.0294228,0.0117037
-0.0031542,0.00711794
-0.0324318,-0.00383162
0.00565972,0.0110321
0.0218803,0.0240315
0.0176335,-0.0563852
-0.0389717,-0.0524271
-0.0772601,0.0110693
-0.0308289,-0.0313354
-0.0186869,-0.0502658
0.0389334,0.0530523
0.0406146,0.0277845
-0.00346238,0.0100077
-0.021204,-0.0195768
0.0371691,0.00232638
0.0258061,0.0454869
0.00032081,-0.0104058
0.0326481,-0.013549
-0.0104996,-0.000840942
-0.0466085,0.0154681
0.0895208,0.0205918
0.0149497,-0.0334117
0.00361776,0.00628632
0.0398892,0.00917733
-0.0540183,-0.0625924
-0.0432524,-0.0241241
-0.0476049,0.103083
0.00150492,-0.0640654
0.0596322,-0.0229073
0.00975742,0.021795
-0.0394382,-0.0283274
0.0143866,0.00846525
0.0122993,0.0499482
0.018473,-0.0217121
-0.00711663,0.0400869
0.00158144,-0.00646145
0.0214089,-0.0532573
-0.0474758,-0.00365225
-0.0419116,0.0185552
0.0106385,0.00927017
-0.0742474,-0.0352617
-0.00377238,0.0381388
0.0349676,-0.00503548
-0.0150695,-0.0174746
0.0369736,0.054805
0.014184,0.0120948
0.022998,0.0048328
-0.0201711,0.00923325
-0.0269777,0.0132958
-0.0390513,0.0318742
-0.0268807,-0.0310289
0.0244573,0.0136984
0.00489894,0.0663528
-0.0269156,-0.036753
0.0206837,0.0209474
-0.00486214,-0.0275165
0.0185069,0.0213804
0.0184034,0.0132301
-0.00384077,0.0216929
0.0133546,0.000915175
-0.0291473,0.00112944
-0.0465656,0.00799387
0.0114678,0.0306651
-0.00818533,0.00348978
-0.0365373,-0.011999
-0.0435428,-0.00515529
-0.0125129,-0.0212975
-0.00339092,-0.0560944
-0.0211008,-0.0163682
-0.00738582,-0.0347395
0.00479395,0.0422844
0.00850783,-0.00198159
-0.00279985,0.0439965
0.0814213,0.00525292
-0.0390983,-0.01126
0.0143426,0.0120749
-0.00754135,-0.00610879
0.00277262,0.0212421
0.0254451,0.00393355
-0.0219696,0.0352424
0.030918,0.010774
0.0185468,-0.0185844
0.0309305,0.0164912
-0.0336897,-0.0178201
-0.0398553,-0.00593172
-0.0389806,0.0462791
-0.047162,0.0158209
0.0050048,-0.0030166
-0.00792036,-0.0477113
-0.00367515,-0.0203658
0.08679,0.0247837
-0.0366338,-0.0213868
0.0570274,0.028805
0.0181244,0.0517993
0.0587166,-0.0155864
-0.0130339,0.0412297
-0.0107604,-0.0475112
0.0237659,-0.0219566
-0.0216987,-0.0121535
0.000625904,0.0332242
0.0263338,-0.00127242
-0.0120296,-0.0258177
-0.00471815,0.0162605
-0.0212132,0.0323851
0.0230783,-0.0312095
-0.0379098,-0.0424406
0.0578119,0.00481601
-0.0936342,-0.0208445
0.00425765,0.0133695
0.0240853,-0.0470159
-0.0457701,-0.0297203
-0.046254,0.0289408
-0.0160581,-0.00946525
0.0138414,-0.0209917
-0.0365276,0.0220494
0.0134403,0.0781466
0.0103198,-0.0181332
-0.010156,-0.0326987
-0.07394,-0.00435116
0.0514091,-0.0285182
0.0495372,0.00928058
0.0231109,0.014399
0.0160233,0.0113073
0.00796162,0.0158597
0.0174373,-0.0450691
0.009134,-0.0384992
-0.0223775,0.0175462
-0.0253207,0.00504572
0.00311908,-0.0355856
-0.0539629,0.000593677
0.0137917,-0.009199
0.0263762,-0.03868
-0.0243201,0.00414171
0.0355585,-0.0142513
0.0119186,-0.046136
-0.0512621,0.0113437
0.0500021,0.0410644
0.0318872,-0.0219122
0.098435,0.055863
0.00309394,0.020653
-0.0335628,0.037585
0.0235994,0.0179838
0.0259421,0.000302446
0.0137631,0.069963
-0.0147108,-0.0347672
-0.0448197,0.0223372
0.0242802,-0.00973767
-0.00258861,-0.09615
-0.0204164,0.0214371
0.0851492,-0.0726516
0.0501864,0.011138
0.0127927,-0.0239093
-0.0814616,0.0404357
-0.0600271,0.0602797
0.0479097,0.00214913
-0.0360509,0.0171179
-0.00494096,-0.021985
-0.00527272,-0.0288585
-0.0203997,0.000304554
0.00623415,0.0666133
0.0288552,0.0306252
0.0127553,-0.0609453
-0.0353631,0.0343201
-0.0448437,0.0299887
-0.0302878,-0.01068
0.036178,-0.02735
-0.0102584,0.0527377
-0.0408174,-0.0250511
-0.0426243,-0.0383202
0.0216772,0.017574
-0.0184992,-0.010473
0.0453538,-0.0319124
-0.0107677,-0.00608539
-0.0919117,-0.0780518
-0.0129458,0.0780041
0.00405114,-0.00299024
-0.0751499,-0.0506469
0.00029687,0.0240546
-0.00480846,0.0150646
-0.00480846,0.0150646
0.0231863,-0.0116078
-0.0323262,-0.0388408
0.026651,-0.0234233
-0.0357941,-0.0299347
-0.0176928,-0.0116759
0.0261947,-0.0361843
0.00449758,0.0384487
-0.0295911,0.0249102
-0.000675588,-0.053216
0.029996,-0.0242416
0.0279656,-0.00894817
0.020081,-0.0369192
-0.0321805,-0.0341222
0.00142819,0.00678981
-0.00709251,-0.0136703
-0.0157392,0.0383723
0.0454257,-0.0700687
0.00239798,-0.0074392
0.0215913,0.0114087
-0.0337509,-0.0120122
0.0149333,0.00458055
0.0304967,0.0748824
-0.0227187,0.00507987
0.0250175,0.0105736
-0.019613,0.0218873
0.037775,0.0363748
-0.00985075,0.0830061
0.0152838,-0.0312827
0.0460808,-0.0630964
-0.017374,0.000395605
0.0241735,0.0655958
-0.0197183,-0.0322145
0.0367817,0.0319763
-0.0334581,0.0066971
-0.0394625,0.00454113
0.0330619,-0.0554265
0.0377547,-0.0149002
0.075294,-0.0564979
-0.0213334,-0.0187738
-0.0528308,0.0282268
0.0109891,0.00280218
-0.0280162,-0.0365028
-0.0349992,-0.0051195
0.0523589,-0.0441765
0.0403695,0.0475705
-0.020158,-0.0904617
0.0203994,0.0177007
-0.0112657,0.024186
-0.0148654,0.0273425
-0.004126,-0.0839575
-0.0325437,0.0331362
0.0405754,-0.0153562
0.0408792,0.00912583
0.0206303,-0.00492732
0.0883208,-0.0130339
-0.0454344,-0.0540688
-0.0114706,-0.0269056
0.0482272,0.0171724
0.0188442,-0.0150757
0.00374634,0.00511417
0.0217973,0.036891
-0.0298237,-0.0331424
-0.0180412,0.044102
-0.00580824,0.0261305
0.0252612,-0.0221025
0.0196872,-0.0501653
0.0200319,0.0101989
-0.0101163,0.00444734
-0.00291732,0.0537334
0.0528496,0.0317281
0.0305425,0.00520662
-0.0124314,-0.00939492
0.0138173,0.0567969
0.0161631,-0.0193082
-0.0172019,-0.0246044
-0.0356919,0.00691983
0.0140864,-0.0251628
0.0107086,0.0434178
-0.00984825,-0.00303517
-0.00638641,0.00854975
0.0274525,-0.0183033
-0.0119676,-0.00957167
0.00227633,-0.041757
-0.0149722,-0.00223657
-0.0149722,-0.00223657
0.0167443,0.0532915
0.0255539,0.00760042
0.0179053,-0.0135182
-0.0471854,-0.00687731
0.0508054,0.021492
-0.00868167,-0.00731217
-0.00377362,0.00912242
-0.0312653,-0.0191827
-0.0541978,-0.0404691
0.0371378,0.00749131
0.0122206,-0.0523002
0.070666,0.0350762
0.01903,0.0102096
0.0383948,0.00867417
-0.0286462,-0.0241624
-0.0286462,-0.0241624
0.0158178,-0.0210353
-0.0386892,0.0196138
0.0454101,0.0316652
-0.0688562,0.029568
-0.0444982,0.0137062
0.0284261,0.0189396
0.00667478,0.0388473
-0.0500829,-0.0538772
-0.0494421,-0.00305035
-0.009528,-0.0161386
-0.0320871,0.0189663
-0.0143728,-0.0192779
-0.00436502,0.00885975
0.108142,0.0104001
0.0284217,0.0182161
0.000522444,-0.0360854
0.0379871,-0.0551929
-0.0803961,0.0538501
0.0225404,-0.0202145
0.0562011,-0.0196533
-0.0509318,0.00235173
-0.060157,-0.0619137
-0.00141256,-0.0604606
-0.0372463,0.0129143
0.0414882,0.0120533
-0.00568319,-0.0107977
-0.00467299,-0.0626628
-0.00467299,-0.0626628
0.0270981,-0.0173137
0.00323367,0.0524909
0.00880475,-0.00782518
-0.0612288,-0.0449765
-0.0106752,-0.017133
-0.009869,0.0453476
-0.0233303,-0.0311625
-0.0272902,0.0371351
-0.0199483,-0.0109129
-0.0199483,-0.0109129
-0.0372473,-0.0719502
-0.0474553,-0.0448115
-0.0147992,-0.0252558
-0.0324938,0.0879275
0.00866383,0.0214675
-0.0391306,-0.00467945
-0.0443404,-0.00555643
-0.0562829,0.00582836
0.0538119,-0.00657815
0.0346954,0.0351088
-0.00233782,0.000336547
