MDTU,plaq
1,0.057767
2,0.0547693
3,0.0492713
4,0.0495447
5,0.0495447
6,0.0472263
7,0.0454074
8,0.044641
9,0.044183
10,0.0432952
11,0.0432952
12,0.0427365
13,0.0413612
14,0.0404339
15,0.0408099
16,0.0408026
17,0.0414128
18,0.0404854
19,0.0417799
20,0.0406254
21,0.0406167
22,0.0395037
23,0.0412075
24,0.0411263
25,0.0397133
26,0.0403242
27,0.0395786
28,0.0405844
29,0.039976
30,0.0399627
31,0.0409028
32,0.0408285
33,0.0401214
34,0.0402605
35,0.0404036
36,0.0407719
37,0.0399764
38,0.0409721
39,0.0405387
40,0.0418721
41,0.0414432
42,0.0410169
43,0.0392003
44,0.0403571
45,0.0416633
46,0.0410363
47,0.0412756
48,0.0420048
49,0.0405442
50,0.0416997
51,0.0419452
52,0.0393112
53,0.0399702
54,0.0408262
55,0.041466
56,0.0419742
57,0.0396457
58,0.0409489
59,0.0407564
60,0.042102
61,0.0420401
62,0.0410114
63,0.0407568
64,0.0402725
65,0.0412509
66,0.0389005
67,0.0393657
68,0.0399226
69,0.0398092
70,0.0401437
71,0.0393636
72,0.0416292
73,0.0414021
74,0.040037
75,0.0407446
76,0.0413442
77,0.0409259
78,0.0419317
79,0.0405122
80,0.0415573
81,0.0393921
82,0.040564
83,0.0387344
84,0.0409032
85,0.0416601
86,0.0410448
87,0.0402304
88,0.0406147
89,0.0399609
90,0.0406553
91,0.0397837
92,0.0405424
93,0.0408148
94,0.0406964
95,0.0373498
96,0.0389478
97,0.0407059
98,0.0400491
99,0.0391137
100,0.039588
101,0.0401209
102,0.0419745
103,0.0403175
104,0.0417717
105,0.0403812
106,0.0394818
107,0.0402664
108,0.0409222
109,0.0406917
110,0.03853
111,0.0396516
112,0.0383915
113,0.0395718
114,0.0409444
115,0.037594
116,0.039346
117,0.0396435
118,0.0405404
119,0.0418679
120,0.0407888
121,0.0400871
122,0.0399319
123,0.0397494
124,0.040112
125,0.0398397
126,0.0410406
127,0.0403868
128,0.0420816
129,0.0413643
130,0.0415747
131,0.0418707
132,0.0413806
133,0.0404362
134,0.0398407
135,0.0405376
136,0.0393959
137,0.0387136
138,0.0395008
139,0.0387647
140,0.0374013
141,0.0394636
142,0.0393752
143,0.0396507
144,0.0404754
145,0.0403709
146,0.0401581
147,0.0413993
148,0.0414248
149,0.0414744
150,0.0414426
151,0.040247
152,0.0395169
153,0.0398693
154,0.04033
155,0.0408378
156,0.0421952
157,0.0404775
158,0.0401286
159,0.0395914
160,0.040964
161,0.0397484
162,0.0398494
163,0.0404228
164,0.041227
165,0.041424
166,0.0414168
167,0.0397827
168,0.0400552
169,0.0419427
170,0.0411719
171,0.0425272
172,0.0427289
173,0.0412575
174,0.0401614
175,0.0418443
176,0.0396062
177,0.0410236
178,0.0409268
179,0.041157
180,0.0403306
181,0.039767
182,0.0398333
183,0.0401138
