ReTr(L),ImTr(L)
16.8372,-66.5915
10.0733,-32.7836
7.6886,-28.2387
4.41232,-24.4202
4.41232,-24.4202
1.75966,-21.5611
2.48146,-19.3056
1.21059,-18.0637
-0.947545,-16.9951
1.5104,-16.3385
1.5104,-16.3385
1.63,-15.4156
3.30658,-14.8095
2.32276,-14.5898
3.23285,-14.7946
3.98081,-14.6346
3.80666,-14.5376
2.61062,-14.0463
2.15362,-14.2706
2.41231,-14.2779
1.90484,-13.6785
2.06798,-13.6738
1.19796,-13.7706
0.435941,-14.2808
0.767337,-13.4259
1.17174,-13.4079
0.265643,-13.0684
0.451869,-13.0882
0.108128,-13.364
0.196122,-13.2054
0.461829,-13.1866
-0.0320116,-13.4869
-1.0236,-13.5379
-0.847314,-13.3944
-0.46665,-13.7436
-0.856749,-13.5298
0.526839,-13.4764
0.957319,-13.895
-1.04495,-13.5131
-0.151712,-14.3
0.882723,-13.492
0.397134,-13.9937
2.15203,-13.8147
2.38398,-13.7624
1.96514,-13.8764
2.38458,-13.5556
2.89327,-13.6728
2.08671,-14.6829
1.05903,-14.0055
0.712713,-14.5022
0.0980752,-14.6089
-0.90308,-14.0119
-1.67786,-14.1454
-1.72353,-13.4287
-2.7882,-14.0835
-3.57009,-14.1585
-3.70988,-13.6621
-4.69381,-13.3944
-6.96172,-12.5741
-7.54621,-11.8225
-7.33336,-12.19
-6.77344,-12.1843
-4.82454,-13.1998
-6.22792,-12.6376
-6.21466,-12.1832
-5.07673,-12.5068
-4.79108,-13.0874
-4.72959,-13.45
-6.24292,-12.4968
-4.85152,-12.558
-5.94255,-12.9842
-6.47318,-13.105
-7.35771,-11.7673
-6.74804,-12.5835
-5.90891,-12.6698
-7.02279,-12.557
-6.95334,-12.5112
-6.86259,-12.5609
-6.25918,-13.5717
-4.61322,-14.121
-3.3107,-13.0931
-2.81953,-12.6589
-2.18482,-13.2171
-0.0850613,-13.7555
0.371019,-14.0224
0.389536,-14.5171
-0.0459437,-13.6141
0.0808519,-13.3463
-2.12451,-13.0237
-2.52002,-13.2548
-1.90551,-13.9187
-1.18078,-13.5934
-1.55132,-13.1746
-0.514665,-13.3874
1.175,-13.2322
0.615823,-13.1125
-1.40967,-13.2073
-2.39028,-12.2469
-2.08679,-12.6
-2.61489,-13.2132
-2.15504,-13.0125
-1.91551,-13.264
-1.4715,-12.9976
-1.4827,-12.8815
-2.18949,-12.9168
-0.976965,-12.9526
-0.784999,-13.5879
0.0152336,-13.2638
-0.00592544,-13.3519
-1.25986,-13.7449
-0.448333,-13.5013
-0.351498,-13.4578
0.132367,-13.7572
0.401701,-13.6307
-0.449556,-13.6307
-0.75378,-13.7575
0.00912233,-13.9162
0.814582,-13.28
-0.762778,-13.9047
-0.999879,-13.5651
-3.02757,-13.5215
-2.50466,-13.6911
-1.16599,-13.1321
-3.55178,-13.2031
-3.23415,-13.5422
-3.53433,-12.9045
-3.5982,-13.5267
-3.33331,-13.7317
-1.38129,-14.4517
-1.7781,-14.1171
-1.72877,-13.9431
-1.04692,-14.0541
-0.379404,-14.256
-1.97639,-13.8504
-2.9379,-13.4842
-1.86984,-12.8197
-0.956861,-13.4855
-0.993258,-13.194
-0.786239,-12.9301
-2.14048,-12.6626
-1.65758,-12.5937
-1.93471,-12.8278
-0.212457,-13.5144
0.501404,-14.2075
1.76978,-14.2838
1.39545,-13.8973
1.22949,-13.9667
0.921034,-13.9761
1.36879,-13.3692
2.17782,-13.5793
2.58739,-12.8051
3.06849,-13.12
1.99413,-12.8429
1.98446,-13.0379
2.12876,-14.0674
2.2711,-13.5378
2.08329,-13.786
3.10085,-13.8579
2.24363,-14.0704
2.34485,-13.7263
4.35493,-13.3025
4.33227,-13.8952
6.09614,-12.6671
4.54214,-13.4084
5.45696,-13.8295
5.52964,-13.1079
5.16299,-13.3227
4.99942,-13.3759
3.65129,-14.1249
5.40037,-13.3306
6.27092,-13.4638
5.41182,-13.6419
5.48317,-12.8937
5.65678,-12.3061
6.06746,-12.8418
5.76315,-11.8683
6.38448,-12.3498
7.41289,-11.6141
8.81617,-11.7436
8.35719,-11.4823
9.25521,-10.8907
9.27849,-10.6766
8.84159,-10.2278
9.54535,-9.75267
9.30651,-10.7712
9.4631,-10.2459
8.76893,-10.3406
8.78938,-10.7328
8.22796,-10.051
7.06943,-10.591
7.97855,-10.8182
7.29606,-11.351
6.61499,-11.6557
6.31508,-11.738
6.9453,-11.7288
9.28134,-11.5295
8.67431,-10.6658
9.46195,-10.5618
8.84096,-10.9533
8.90433,-10.5326
8.685,-10.3751
9.41334,-9.78494
9.1215,-10.139
8.36625,-11.1851
8.89239,-10.386
9.56593,-9.82113
8.42057,-11.1219
10.0144,-9.83084
8.32393,-10.6587
8.12308,-11.1776
7.09491,-10.8171
6.56302,-11.5524
6.15529,-12.1051
6.15529,-12.1051
