MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,68.6871,16.8372,-66.5915
2,34.2963,10.0733,-32.7836
3,29.2666,7.6886,-28.2387
4,24.8157,4.41232,-24.4202
5,24.8157,4.41232,-24.4202
6,21.6328,1.75966,-21.5611
7,19.4644,2.48146,-19.3056
8,18.1042,1.21059,-18.0637
9,17.0215,-0.947545,-16.9951
10,16.4082,1.5104,-16.3385
11,16.4082,1.5104,-16.3385
12,15.5015,1.63,-15.4156
13,15.1741,3.30658,-14.8095
14,14.7735,2.32276,-14.5898
15,15.1437,3.23285,-14.7946
16,15.1663,3.98081,-14.6346
17,15.0277,3.80666,-14.5376
18,14.2869,2.61062,-14.0463
19,14.4322,2.15362,-14.2706
20,14.4802,2.41231,-14.2779
21,13.8105,1.90484,-13.6785
22,13.8292,2.06798,-13.6738
23,13.8226,1.19796,-13.7706
24,14.2874,0.435941,-14.2808
25,13.4478,0.767337,-13.4259
26,13.459,1.17174,-13.4079
27,13.0711,0.265643,-13.0684
28,13.096,0.451869,-13.0882
29,13.3644,0.108128,-13.364
30,13.2068,0.196122,-13.2054
31,13.1946,0.461829,-13.1866
32,13.487,-0.0320116,-13.4869
33,13.5766,-1.0236,-13.5379
34,13.4212,-0.847314,-13.3944
35,13.7515,-0.46665,-13.7436
36,13.5569,-0.856749,-13.5298
37,13.4867,0.526839,-13.4764
38,13.9279,0.957319,-13.895
39,13.5534,-1.04495,-13.5131
40,14.3008,-0.151712,-14.3
41,13.5208,0.882723,-13.492
42,13.9994,0.397134,-13.9937
43,13.9813,2.15203,-13.8147
44,13.9673,2.38398,-13.7624
45,14.0148,1.96514,-13.8764
46,13.7637,2.38458,-13.5556
47,13.9756,2.89327,-13.6728
48,14.8304,2.08671,-14.6829
49,14.0454,1.05903,-14.0055
50,14.5197,0.712713,-14.5022
51,14.6092,0.0980752,-14.6089
52,14.041,-0.90308,-14.0119
53,14.2446,-1.67786,-14.1454
54,13.5388,-1.72353,-13.4287
55,14.3568,-2.7882,-14.0835
56,14.6016,-3.57009,-14.1585
57,14.1568,-3.70988,-13.6621
58,14.193,-4.69381,-13.3944
59,14.3726,-6.96172,-12.5741
60,14.0255,-7.54621,-11.8225
61,14.2258,-7.33336,-12.19
62,13.9405,-6.77344,-12.1843
63,14.0539,-4.82454,-13.1998
64,14.0889,-6.22792,-12.6376
65,13.6767,-6.21466,-12.1832
66,13.4979,-5.07673,-12.5068
67,13.9368,-4.79108,-13.0874
68,14.2574,-4.72959,-13.45
69,13.9694,-6.24292,-12.4968
70,13.4625,-4.85152,-12.558
71,14.2795,-5.94255,-12.9842
72,14.6165,-6.47318,-13.105
73,13.8782,-7.35771,-11.7673
74,14.2786,-6.74804,-12.5835
75,13.9799,-5.90891,-12.6698
76,14.3874,-7.02279,-12.557
77,14.3136,-6.95334,-12.5112
78,14.3133,-6.86259,-12.5609
79,14.9455,-6.25918,-13.5717
80,14.8555,-4.61322,-14.121
81,13.5052,-3.3107,-13.0931
82,12.9691,-2.81953,-12.6589
83,13.3965,-2.18482,-13.2171
84,13.7558,-0.0850613,-13.7555
85,14.0273,0.371019,-14.0224
86,14.5223,0.389536,-14.5171
87,13.6142,-0.0459437,-13.6141
88,13.3465,0.0808519,-13.3463
89,13.1958,-2.12451,-13.0237
90,13.4923,-2.52002,-13.2548
91,14.0485,-1.90551,-13.9187
92,13.6446,-1.18078,-13.5934
93,13.2656,-1.55132,-13.1746
94,13.3973,-0.514665,-13.3874
95,13.2843,1.175,-13.2322
96,13.1269,0.615823,-13.1125
97,13.2824,-1.40967,-13.2073
98,12.478,-2.39028,-12.2469
99,12.7716,-2.08679,-12.6
100,13.4694,-2.61489,-13.2132
101,13.1897,-2.15504,-13.0125
102,13.4016,-1.91551,-13.264
103,13.0806,-1.4715,-12.9976
104,12.9665,-1.4827,-12.8815
105,13.1011,-2.18949,-12.9168
106,12.9894,-0.976965,-12.9526
107,13.6105,-0.784999,-13.5879
108,13.2638,0.0152336,-13.2638
