MDTU,min_width,max_width
1,2.77269,1.1949
2,2.65273,1.10576
3,2.66753,1.10095
4,2.5036,1.07631
5,2.5036,1.07631
6,2.66839,1.06175
7,2.55219,1.04612
8,2.39743,1.04754
9,2.44736,1.03196
10,2.57558,1.0362
11,2.57558,1.0362
12,2.44102,1.02472
13,2.56692,1.03538
14,2.48068,1.0374
15,2.52125,1.04421
16,2.61193,1.03992
17,2.51168,1.03161
18,2.4871,1.03698
19,2.4465,1.02485
20,2.51571,1.03109
21,2.51542,1.02566
22,2.43697,1.03562
23,2.55158,1.02268
24,2.55643,1.02889
25,2.45827,1.02762
26,2.51266,1.0266
27,2.55255,1.02474
28,2.49544,1.02089
29,2.50166,1.02153
30,2.54014,1.02504
31,2.41907,1.0201
32,2.58656,1.02072
33,2.47687,1.0307
34,2.4496,1.02873
35,2.54173,1.02749
36,2.5426,1.02589
37,2.50851,1.02609
38,2.50438,1.02596
39,2.45697,1.02309
40,2.57266,1.02606
41,2.45793,1.02264
42,2.4886,1.02957
43,2.53115,1.03854
44,2.52517,1.02772
45,2.42776,1.0284
46,2.50873,1.02123
47,2.51811,1.02393
48,2.57594,1.03055
49,2.57719,1.03145
50,2.3832,1.03206
51,2.48441,1.02318
52,2.45621,1.0338
53,2.58212,1.03606
54,2.44777,1.02728
55,2.52709,1.01886
56,2.57137,1.03004
57,2.50971,1.03807
58,2.38234,1.03678
59,2.49912,1.03142
60,2.45361,1.02322
61,2.41236,1.03005
62,2.5145,1.0251
63,2.52976,1.03649
64,2.48238,1.02842
65,2.59119,1.02719
66,2.57336,1.03215
67,2.54906,1.03121
68,2.54054,1.03647
69,2.44575,1.03784
70,2.5554,1.03452
71,2.51271,1.04341
72,2.43764,1.03438
73,2.52317,1.02662
74,2.45222,1.03977
75,2.45945,1.0283
76,2.49392,1.02479
77,2.50058,1.0349
78,2.48149,1.02244
79,2.58857,1.03625
80,2.55276,1.03464
81,2.44857,1.0283
82,2.55364,1.0142
83,2.50895,1.03927
84,2.5063,1.02912
85,2.4628,1.02899
86,2.53151,1.03366
87,2.47824,1.03363
88,2.51951,1.02235
89,2.46474,1.02151
90,2.43711,1.02306
91,2.46831,1.03339
92,2.43929,1.02572
93,2.55302,1.01872
94,2.48472,1.02906
95,2.45321,1.03891
96,2.59678,1.03061
97,2.57631,1.01975
98,2.52114,1.01338
99,2.50162,1.02139
100,2.58231,1.03185
101,2.40854,1.01905
102,2.48253,1.01453
103,2.50672,1.01504
104,2.4635,1.01318
105,2.4062,1.02689
106,2.48618,1.02428
107,2.41589,1.02228
108,2.58056,1.02438
109,2.55298,1.01918
110,2.49405,1.04473
111,2.41547,1.03552
112,2.60045,1.03685
113,2.53249,1.03279
114,2.45546,1.02819
115,2.52001,1.04586
116,2.48241,1.03025
117,2.49857,1.03378
118,2.57276,1.02651
119,2.53548,1.02468
120,2.5172,1.02463
121,2.56671,1.02467
122,2.56518,1.03174
123,2.53973,1.02716
124,2.50941,1.03015
125,2.4648,1.03315
126,2.50488,1.02325
127,2.53146,1.02799
128,2.44565,1.02622
129,2.52077,1.03012
130,2.51584,1.02216
131,2.54952,1.02685
132,2.5043,1.03333
133,2.51427,1.03531
134,2.61207,1.04144
135,2.53863,1.03514
136,2.41608,1.0239
137,2.57221,1.04131
138,2.44761,1.02267
139,2.57302,1.02415
140,2.52283,1.031
141,2.45925,1.02032
142,2.55808,1.02492
143,2.42782,1.02481
144,2.49062,1.0331
145,2.46166,1.04042
146,2.59706,1.02841
147,2.49459,1.02457
148,2.51552,1.03011
149,2.44558,1.01675
150,2.54807,1.02403
151,2.53228,1.01764
152,2.4894,1.03883
153,2.55034,1.02263
154,2.50736,1.02083
155,2.46193,1.0354
156,2.63058,1.01518
157,2.54064,1.0275
158,2.47455,1.03764
159,2.48983,1.03547
160,2.46154,1.03051
161,2.52772,1.03267
162,2.48012,1.03506
163,2.53316,1.02887
164,2.49189,1.02591
165,2.52524,1.02721
166,2.52281,1.0291
167,2.56829,1.02976
168,2.67086,1.03332
169,2.57273,1.02708
170,2.51223,1.03155
171,2.52785,1.0275
172,2.6092,1.02775
173,2.5354,1.03496
174,2.5001,1.03639
175,2.48141,1.02203
176,2.45491,1.02005
177,2.56701,1.02514
178,2.51773,1.02399
179,2.59523,1.03443
180,2.52172,1.03039
181,2.56502,1.0328
182,2.52338,1.03277
183,2.43396,1.02281
184,2.54298,1.0281
185,2.46684,1.03348
186,2.5709,1.03106
187,2.56641,1.03725
188,2.57646,1.02793
189,2.55673,1.03208
190,2.46331,1.02946
191,2.57731,1.03444
192,2.50583,1.03239
193,2.43469,1.01819
194,2.58784,1.01862
195,2.48314,1.02072
196,2.51381,1.03765
197,2.57361,1.02101
198,2.53594,1.03082
199,2.53458,1.03134
200,2.47124,1.02278
201,2.55123,1.02881
202,2.39854,1.03579
203,2.47877,1.01423
204,2.42138,1.02747
205,2.65853,1.02732
206,2.48857,1.02038
207,2.53437,1.02077
208,2.55431,1.03145
209,2.40677,1.01971
210,2.49195,1.03073
211,2.5922,1.0133
212,2.46227,1.03074
213,2.45174,1.02993
214,2.45174,1.02993
215,2.46516,1.02875
216,2.57354,1.02187
217,2.46458,1.02023
218,2.49705,1.03254
219,2.4544,1.02836
220,2.4699,1.03155
221,2.51684,1.02658
222,2.44956,1.03006
223,2.47823,1.02499
224,2.43697,1.02032
225,2.45942,1.02952
226,2.4896,1.03739
227,2.48166,1.03363
228,2.50036,1.04139
229,2.52058,1.04399
230,2.5759,1.02486
231,2.49786,1.03502
232,2.52795,1.02471
233,2.53143,1.02317
234,2.5269,1.02246
235,2.57272,1.02924
236,2.62115,1.03117
237,2.44799,1.02865
238,2.58338,1.0269
239,2.50038,1.03579
240,2.5088,1.02044
241,2.42796,1.0188
242,2.49611,1.02678
243,2.40822,1.02263
244,2.5183,1.03863
245,2.45508,1.02247
246,2.45743,1.01715
247,2.50851,1.02291
248,2.41769,1.02109
249,2.54829,1.03514
250,2.50286,1.03321
251,2.47172,1.03471
252,2.38439,1.03261
253,2.44368,1.02628
254,2.48878,1.02002
255,2.65725,1.02903
256,2.55518,1.02775
257,2.59256,1.03581
258,2.39697,1.02587
259,2.49675,1.02746
260,2.46792,1.01431
261,2.45387,1.02402
262,2.59189,1.03593
263,2.56934,1.03169
264,2.4925,1.01904
265,2.52294,1.0339
266,2.52059,1.02379
267,2.55517,1.03549
268,2.40281,1.02446
269,2.57015,1.01986
270,2.52856,1.03553
271,2.41779,1.02918
272,2.49537,1.02518
273,2.55178,1.03478
274,2.57245,1.02545
275,2.60134,1.02736
276,2.56255,1.03051
277,2.51353,1.03509
278,2.49039,1.02616
279,2.4648,1.02215
280,2.47841,1.0224
281,2.47005,1.02943
282,2.53046,1.02091
283,2.42354,1.03748
284,2.4434,1.03518
285,2.45306,1.02703
286,2.55902,1.02948
287,2.40437,1.02778
288,2.46951,1.031
289,2.57062,1.02366
290,2.46897,1.02544
291,2.38835,1.03187
292,2.47571,1.0417
293,2.53472,1.01852
294,2.48279,1.027
295,2.57835,1.02676
296,2.50578,1.02931
297,2.48858,1.03077
298,2.50244,1.02868
299,2.50244,1.02868
300,2.39981,1.04086
301,2.5005,1.031
302,2.44706,1.0299
303,2.50305,1.03682
304,2.57119,1.02263
305,2.51375,1.04485
306,2.5519,1.02696
307,2.60338,1.03239
308,2.47641,1.03401
309,2.4596,1.04602
310,2.42461,1.03279
311,2.56297,1.01865
312,2.50562,1.03436
313,2.44364,1.03344
314,2.60002,1.03003
315,2.60002,1.03003
316,2.49454,1.01496
317,2.51661,1.02521
