t,cost
10,10.062
20,10.482
30,10.512
40,10.458
50,10.506
60,10.494
70,10.476
80,10.482
90,10.524
100,10.524
110,7.914
120,7.92
130,7.92
140,7.944
150,7.902
160,7.878
170,7.914
180,7.872
190,7.908
200,7.89
210,7.884
220,7.866
230,7.908
240,7.908
250,7.896
260,7.914
270,7.878
280,7.926
290,7.914
300,7.896
310,7.926
320,7.896
330,7.92
340,7.92
350,7.914
360,7.866
370,7.92
380,7.878
390,7.896
400,7.908
410,7.89
420,7.878
430,7.872
440,7.908
450,7.896
460,7.908
470,7.896
480,7.854
490,7.878
500,7.92
510,7.902
520,7.92
530,7.908
540,7.896
550,7.878
560,7.908
570,7.884
580,7.89
590,7.926
600,7.92
610,7.884
620,7.92
630,7.896
640,7.908
650,7.908
660,7.92
670,7.914
680,7.896
690,7.926
700,7.902
710,7.902
720,7.896
730,7.902
740,7.932
750,7.872
760,7.914
770,7.926
780,7.926
790,7.92
800,7.89
810,7.908
820,7.938
830,7.896
840,7.938
850,7.908
860,7.89
870,7.932
880,7.908
890,7.908
900,7.902
910,7.896
920,7.908
930,7.944
940,7.932
950,7.956
960,7.998
970,7.95
980,7.926
990,7.968
1000,7.926
1010,7.95
1020,7.902
1030,7.92
1040,7.902
1050,7.932
1060,7.932
1070,7.902
1080,7.956
1090,7.932
1100,7.944
1110,7.908
1120,7.932
1130,7.914
1140,7.914
1150,7.914
1160,7.908
1170,7.932
1180,7.932
1190,7.95
1200,7.908
1210,7.932
1220,7.92
1230,7.968
1240,7.902
1250,7.902
1260,7.932
1270,7.944
1280,7.95
1290,7.938
1300,7.932
1310,7.926
1320,7.914
1330,7.974
1340,7.956
1350,7.932
1360,7.956
1370,7.974
1380,7.986
1390,7.98
1400,7.95
1410,7.932
1420,7.956
1430,7.968
1440,7.944
1450,7.95
1460,7.968
1470,7.962
1480,7.962
1490,7.944
1500,7.956
1510,7.92
1520,7.962
1530,7.926
1540,7.926
1550,7.992
1560,7.974
1570,7.974
1580,7.92
1590,7.95
1600,7.956
1610,7.992
1620,7.974
1630,7.956
1640,7.926
1650,7.974
1660,7.956
1670,7.974
1680,8.01
1690,7.986
1700,7.986
1710,7.956
1720,7.974
1730,7.962
1740,7.956
1750,7.962
1760,7.956
1770,7.944
1780,7.968
1790,7.998
1800,8.034
1810,8.016
1820,7.974
1830,8.022
1840,8.022
1850,7.992
1860,7.998
1870,8.016
1880,7.98
1890,7.956
1900,8.016
1910,8.01
1920,8.022
1930,7.98
1940,8.034
1950,8.01
1960,8.064
1970,8.01
1980,8.046
1990,8.004
2000,8.064
2010,8.004
2020,8.082
2030,8.034
2040,8.058
2050,8.034
2060,8.064
2070,8.052
2080,8.112
2090,8.034
2100,8.118
2110,8.01
2120,8.124
2130,8.082
2140,8.07
2150,8.064
2160,8.082
2170,8.07
2180,8.106
2190,8.064
2200,8.106
2210,8.07
2220,8.112
2230,8.088
2240,8.13
2250,8.094
2260,8.13
2270,8.076
2280,8.148
2290,8.136
2300,8.16
2310,8.166
2320,8.124
2330,8.178
2340,8.112
2350,8.19
2360,8.13
2370,8.178
2380,8.13
2390,8.172
2400,8.16
2410,8.196
2420,8.202
2430,8.172
2440,8.262
2450,8.16
2460,8.256
2470,8.166
2480,8.238
2490,8.238
2500,8.184
2510,8.256
2520,8.22
2530,8.304
2540,8.28
2550,8.184
2560,8.274
2570,8.214
2580,8.298
2590,8.292
2600,8.232
2610,8.292
2620,8.232
2630,8.31
2640,8.262
2650,8.19
2660,8.304
2670,8.352
2680,8.25
2690,8.304
2700,8.214
2710,8.346
2720,8.334
2730,8.25
2740,8.334
2750,8.352
2760,8.292
2770,8.364
2780,8.412
2790,8.292
2800,8.394
2810,8.406
2820,8.328
2830,8.442
2840,8.454
2850,8.322
2860,8.478
2870,8.436
2880,8.376
2890,8.4
2900,8.406
2910,8.316
2920,8.484
2930,8.508
2940,8.49
2950,8.316
2960,8.466
2970,8.508
2980,8.388
2990,8.514
3000,8.526
3010,8.526
3020,8.394
3030,8.556
3040,8.526
3050,8.472
3060,8.436
3070,8.502
3080,8.556
3090,8.478
3100,8.436
3110,8.562
3120,8.568
3130,8.436
3140,8.454
3150,8.592
3160,8.556
3170,8.634
3180,8.418
3190,8.61
3200,8.592
3210,8.628
3220,8.484
3230,8.616
3240,8.628
3250,8.664
3260,8.646
3270,8.55
3280,8.562
3290,8.622
3300,8.64
3310,8.64
3320,8.52
3330,8.61
3340,8.694
3350,8.664
3360,8.67
3370,8.712
3380,8.526
3390,8.67
3400,8.73
3410,8.706
3420,8.736
3430,8.706
3440,8.526
3450,8.772
3460,8.754
3470,8.748
3480,8.73
3490,8.754
3500,8.778
