t,e^(-dS)
1,0.710917
2,0.994439
3,1.05968
4,0.758282
5,0.851803
6,0.60423
7,0.810341
8,0.83644
9,0.503335
10,0.81026
11,0.820124
12,0.967751
13,0.744681
14,0.781688
15,1.31377
16,0.535958
17,1.16207
18,1.28069
19,0.579842
20,1.19017
21,1.09616
22,1.17515
23,0.599476
24,1.26251
25,1.43304
26,1.08999
27,0.614406
28,1.32803
29,1.0896
30,1.02221
31,1.25307
32,1.14671
33,0.963137
34,1.00776
35,0.549141
36,0.853508
37,1.21313
38,0.701244
39,1.66996
40,0.661927
41,0.568019
42,0.786943
43,0.849676
44,0.720867
45,1.04235
46,0.891901
47,1.21701
48,0.798037
49,0.897448
50,0.746545
51,0.961703
52,0.677463
53,1.59377
54,1.07933
55,1.14477
56,0.960424
57,1.06878
58,0.996036
59,0.889052
60,1.08895
61,0.765979
62,0.748862
63,0.730592
64,0.993085
65,0.934148
66,0.815055
67,0.76529
68,0.516851
69,1.1587
70,0.781297
71,1.0709
72,1.35608
73,0.647459
74,1.20129
75,1.56018
76,1.03766
77,1.09536
78,0.832352
79,0.603807
80,0.923116
81,1.83547
82,1.07372
83,0.76575
84,0.668112
85,0.62519
86,0.815381
87,0.932403
88,1.34407
89,0.979865
90,1.69706
91,0.753595
92,0.938512
93,1.15154
94,1.76844
95,1.06924
96,1.08135
97,0.990859
98,1.12199
99,0.767129
100,1.27647
101,1.69147
102,1.82631
103,1.28672
104,0.68619
105,0.247091
106,0.391371
107,0.850271
108,0.865628
109,0.924521
110,0.653116
111,1.51604
112,1.22667
113,0.952676
114,0.768973
115,0.300592
116,0.136014
117,0.523771
118,0.237877
119,0.564396
120,1.47846
121,1.7484
122,0.16646
123,0.505807
124,0.332538
125,1.02554
126,0.163001
127,0.475304
128,0.385043
129,0.367879
130,0.359515
131,5.03795
132,1.58867
133,0.529353
134,1.2527
135,0.306052
136,1.302
137,0.580712
138,1.499
139,0.745053
140,1.64444
141,1.29382
142,1.51892
143,1.04836
144,0.381555
145,0.397365
146,1.83786
147,0.970319
148,0.630779
149,0.390237
150,0.252082
151,0.154741
152,0.33454
153,0.857358
154,0.160093
155,1.47035
156,0.309747
157,0.480321
158,0.737713
159,0.653312
160,0.389146
161,1.05976
162,0.569897
163,1.58947
164,0.364219
165,1.84984
166,0.739486
167,0.171701
168,0.612688
169,0.455345
170,0.237402
171,0.834185
172,0.82078
173,0.729643
174,0.394633
175,0.59274
176,1.15998
177,1.5633
178,1.31983
179,0.464126
180,0.725641
181,0.225373
182,0.293758
183,3.07099
184,0.463291
185,2.92122
186,0.796921
187,1.29758
188,0.383353
189,2.5406
190,0.58409
191,1.08229
192,0.545092
193,0.113722
194,0.481764
195,0.273624
196,0.47147
197,3.12052
198,1.31206
199,0.19052
200,1.1065
201,0.520534
202,0.13055
203,0.270631
204,0.795408
205,0.290254
206,1.12243
207,0.29523
208,0.441313
209,1.19459
210,0.424816
211,10.2369
212,0.357364
213,4.82109
214,1.61156
215,3.5219
216,1.69944
217,0.577816
218,0.284506
219,0.373551
220,0.464265
221,0.345418
222,1.48142
223,0.340275
224,0.180324
225,0.77391
226,0.624128
227,0.83644
228,1.33402
229,0.587664
230,2.18256
231,0.284791
232,1.29537
233,0.292293
234,0.425113
235,1.07236
236,0.756011
237,0.714194
238,0.500924
239,0.977966
240,0.659285
241,0.537461
242,1.00499
243,0.279431
244,0.642043
245,3.84203
246,0.127327
247,1.86918
248,0.568133
249,5.52344
250,0.919018
251,2.83205
252,0.445882
253,0.149868
254,0.630022
255,0.873017
256,1.32287
257,1.42775
258,0.765979
259,0.600436
260,0.916723
261,1.48305
262,0.230156
263,3.26415
264,0.0556875
265,0.328243
266,0.461672
267,0.846115
268,0.672603
269,0.484228
270,0.271715
271,4.02289
272,0.928105
273,0.499774
274,0.142416
275,0.915669
276,0.273351
277,0.351692
278,0.88692
279,4.03094
280,0.547879
281,0.906123
282,0.495791
283,0.318542
284,0.568076
285,0.431624
286,0.829942
287,1.04835
288,0.561356
289,0.384774
290,0.490662
291,0.48384
292,0.729351
293,0.392429
294,0.174995
295,1.24185
296,0.48297
297,0.697746
298,0.224698
299,0.256661
300,0.827869
301,0.58996
302,0.741115
303,1.28082
304,0.744755
305,0.394278
306,0.373178
307,1.02998
308,0.367879
309,0.344728
310,0.459094
311,1.68253
312,6.30914
313,0.139457
314,0.423204
315,0.581351
316,3.09875
317,0.574015
318,0.432272
319,0.315058
320,0.273077
321,0.231772
322,1.27532
323,0.390745
324,0.137656
325,1.18246
326,0.80501
327,0.584324
328,1.30031
329,0.946921
330,1.69046
331,0.115672
332,0.660142
333,0.281113
334,0.849591
335,0.482198
336,0.856415
337,1.41581
338,1.30291
339,1.37727
340,1.15847
341,2.30735
342,0.161864
343,2.59867
344,0.634511
345,2.61902
346,4.12473
347,0.828698
348,1.15096
349,0.701314
350,1.39473
351,0.955806
352,0.397922
353,1.56127
354,0.819878
355,0.297899
356,0.414866
357,0.319819
358,1.76827
359,2.79547
360,0.224698
361,0.661265
362,0.831354
363,0.238831
364,0.279431
365,0.527714
366,2.13294
367,0.308202
368,2.43537
369,0.129769
370,0.16431
371,1.04525
372,1.4832
373,1.63755
374,0.430977
375,0.413706
376,1.34286
377,0.19052
378,0.288517
379,0.886388
380,0.417905
381,0.233634
382,0.56513
383,0.528718
384,0.683178
385,1.68186
386,0.328901
387,0.297304
388,1.49168
389,0.241714
390,0.64012
391,2.33637
392,0.881879
393,0.471564
394,2.80948
395,0.311299
396,0.229237
397,1.67247
398,0.523562
399,1.00733
400,1.86713
401,6.65255
402,0.390003
403,0.366777
404,0.133454
405,0.482632
406,0.724988
407,0.766899
408,1.32406
409,0.672805
410,0.684683
411,1.33736
412,0.132126
413,0.258981
414,1.568
415,1.60914
416,0.647265
417,1.03302
418,5.5678
419,0.264742
420,0.949965
421,0.111359
422,0.358438
423,0.612626
424,0.586079
425,0.973517
426,0.392821
427,2.61196
428,1.82778
429,1.16381
430,0.319819
431,0.522046
432,0.466919
433,1.17928
434,1.50486
435,0.428571
436,0.691011
437,0.598577
438,1.31653
439,2.25016
440,0.480369
441,1.34259
442,0.772595
443,0.891544
444,1.88495
445,0.278594
446,0.971883
447,0.17552
448,0.463847
449,1.04338
450,0.194952
451,1.61753
452,0.369428
453,0.26982
454,0.812451
455,1.3222
456,0.373327
457,0.614774
458,0.788203
459,1.11004
460,1.02041
461,1.02518
462,0.298496
463,0.773368
464,1.13906
465,2.23782
466,0.101672
467,1.85577
468,0.718564
469,0.85916
470,0.681063
471,1.52014
472,0.473407
473,2.03603
474,1.39598
475,0.364219
476,0.951191
477,0.871186
478,1.44383
479,0.187871
480,2.17472
481,1.38044
482,0.989733
483,0.966736
484,0.350638
485,0.293171
486,0.116717
487,1.74316
488,0.224249
489,0.414949
490,1.42604
491,3.96696
492,0.571723
493,0.637947
494,0.540803
495,0.743044
496,0.353808
497,0.749537
498,1.14717
499,0.778178
500,0.688321
501,0.384466
502,1.80002
503,0.17552
504,0.422993
505,0.364948
506,1.43276
507,0.689492
508,0.482005
509,0.150318
510,0.524663
511,0.341981
512,0.946097
513,0.878359
514,0.411643
515,0.139317
516,0.970096
517,0.637564
518,2.15718
519,0.883557
520,0.562986
521,2.99217
522,1.79373
523,1.23084
524,0.0939493
525,0.337564
526,1.14374
527,1.1386
528,1.73898
529,0.470528
530,0.113949
531,0.472178
532,0.424518
533,0.533178
534,0.930224
535,1.89857
536,0.475162
537,0.763532
538,0.483405
539,0.228779
540,2.07612
541,0.990697
