MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,0.926618,-0.52832,0.761248
2,0.933521,-0.612023,0.704904
3,0.931422,-0.624819,0.690758
4,0.931422,-0.624819,0.690758
5,0.928361,-0.586043,0.720006
6,0.932986,-0.493209,0.791964
7,0.933602,-0.396245,0.845342
8,0.930681,-0.358788,0.858742
9,0.934697,-0.271379,0.894433
10,0.932337,-0.254102,0.897042
11,0.934799,-0.177462,0.9178
12,0.930466,-0.277543,0.888108
13,0.931642,-0.316082,0.876383
14,0.933222,-0.379405,0.852617
15,0.933943,-0.403253,0.8424
16,0.932617,-0.353257,0.863125
17,0.93149,-0.255024,0.8959
18,0.928513,-0.31686,0.872775
19,0.930017,-0.202365,0.907733
20,0.930788,-0.281712,0.887133
21,0.93114,-0.235309,0.900917
22,0.93257,-0.201762,0.910483
23,0.931404,-0.0845533,0.927558
24,0.933605,-0.15573,0.920525
25,0.925667,-0.176375,0.908708
26,0.925548,-0.175321,0.908792
27,0.932949,-0.226747,0.904975
28,0.932036,-0.190547,0.91235
29,0.934228,-0.13612,0.924258
30,0.933644,-0.182332,0.915667
31,0.934736,-0.271404,0.894467
32,0.930386,-0.292812,0.883108
33,0.933206,-0.361347,0.860408
34,0.935386,-0.405544,0.8429
35,0.930571,-0.379959,0.849467
36,0.933404,-0.276157,0.891617
37,0.934483,-0.226673,0.906575
38,0.934483,-0.226673,0.906575
39,0.931928,-0.118408,0.924375
40,0.932701,-0.0504989,0.931333
41,0.93352,0.180643,0.915875
42,0.930195,0.0332616,0.9296
43,0.938079,-0.0210807,0.937842
44,0.934166,-0.120141,0.926408
45,0.931789,-0.117897,0.9243
46,0.929745,-0.232357,0.900242
47,0.932722,-0.250335,0.8985
48,0.932722,-0.250335,0.8985
49,0.934589,-0.259925,0.897717
50,0.934589,-0.259925,0.897717
51,0.931574,-0.288782,0.885683
52,0.931574,-0.288782,0.885683
53,0.933763,-0.338343,0.870308
54,0.936244,-0.351782,0.867642
55,0.932927,-0.287852,0.887408
56,0.93056,-0.309452,0.8776
57,0.935377,-0.246483,0.902317
58,0.932654,-0.34224,0.867592
59,0.933396,-0.356622,0.862583
60,0.93551,-0.496007,0.793193
61,0.932516,-0.480657,0.799097
62,0.932516,-0.480657,0.799097
63,0.935182,-0.3642,0.86135
64,0.932346,-0.409216,0.837742
65,0.932241,-0.292696,0.8851
66,0.931679,-0.357563,0.860333
67,0.931679,-0.357563,0.860333
68,0.930678,-0.443458,0.818233
69,0.932051,-0.5163,0.775985
70,0.932471,-0.579145,0.730817
71,0.928794,-0.477333,0.79675
72,0.931498,-0.410198,0.836317
73,0.931498,-0.410198,0.836317
74,0.927293,-0.438469,0.817078
75,0.931023,-0.507212,0.78073
76,0.931776,-0.50457,0.783336
77,0.933142,-0.456997,0.813578
78,0.936202,-0.430099,0.831558
79,0.936202,-0.430099,0.831558
80,0.930547,-0.397958,0.841158
