MDTU,susyTrans,Im(bilin)
10,0.0321947,-1.07554e-05
20,0.00164715,-3.20081e-06
30,0.0188319,-1.21157e-05
40,0.0022915,4.5986e-06
50,-0.0273921,-5.44348e-07
60,-0.00543832,-6.94569e-06
70,-0.00747591,3.87008e-06
80,-0.032839,-1.13576e-06
90,-0.00893757,-8.31523e-06
100,-0.0119989,2.08689e-06
110,-0.0153024,2.9638e-06
120,-0.018128,5.46455e-06
130,-0.0325989,6.13064e-06
140,0.00635793,2.52253e-06
150,0.0149864,-3.95433e-06
160,-0.021106,2.66515e-06
170,-0.0137751,5.80753e-06
180,0.0108321,-5.13865e-08
190,-0.0142643,-4.00997e-06
200,0.0176282,5.58458e-07
210,-0.000897352,3.97956e-06
220,0.00334489,3.1903e-06
230,-0.0227063,1.77704e-06
240,0.00619605,-2.56172e-06
250,-0.000237693,1.74224e-06
260,0.0063891,1.53598e-06
270,0.000692145,-9.87017e-06
280,0.00550592,5.46667e-06
290,-0.0161176,-2.19214e-07
300,-0.0298496,-5.37243e-06
310,-0.00586989,4.84789e-07
320,-0.0256246,9.3256e-06
330,0.00571114,-7.62809e-06
340,0.0247541,-4.76605e-07
350,0.00628376,-1.23387e-05
360,-0.00347259,-1.74059e-06
370,-0.00808773,1.25389e-06
380,0.0238903,4.03931e-06
390,0.0106121,-3.95365e-06
400,-0.0155941,-1.75091e-06
410,-0.0152231,-1.78797e-07
420,-0.00488364,1.76131e-06
430,-0.00165664,-1.04692e-05
440,-0.0124108,3.43773e-06
450,-0.0139003,-5.43471e-06
460,-0.0183176,4.7167e-06
470,0.0342534,-6.01586e-07
480,0.0113974,9.42844e-06
490,-0.00279723,-4.52598e-06
500,-0.02041,9.07168e-06
510,0.009385,4.30512e-06
520,0.00956056,8.47415e-06
530,0.0057171,3.5064e-06
540,0.000652734,9.47258e-07
550,0.0219824,-5.85003e-06
560,-0.0032779,4.90052e-06
570,-0.00297058,-4.65325e-06
580,0.0207961,4.85321e-06
590,-0.0356714,2.39826e-06
600,-0.0254556,-2.82819e-06
610,0.0118858,3.54348e-06
620,-0.00778721,1.39239e-06
630,0.0339392,-2.62447e-06
640,-0.014727,-6.89129e-07
650,0.0174332,-8.37305e-06
660,0.00878549,-1.09416e-05
670,0.014678,-4.5384e-06
680,-0.00644306,-1.213e-05
690,0.0234629,-1.0607e-06
700,-0.00388578,4.0363e-06
710,0.0122691,-7.6514e-06
720,-0.0122631,-6.27773e-06
730,0.00809191,-1.34294e-06
740,-0.00576606,5.02084e-07
750,-0.0156848,-4.36679e-06
760,-0.0337913,4.89435e-07
770,0.000319098,-3.72967e-06
780,-0.0242249,-6.98166e-06
790,-0.0137484,4.49683e-06
800,0.0156794,3.15015e-06
810,-0.0156006,-6.03708e-06
820,0.0260849,1.2387e-05
830,-0.0297897,-1.25164e-06
840,0.00651057,9.37335e-06
850,0.0121424,3.8797e-06
860,-0.0235255,-7.71935e-06
870,-0.0077899,4.22898e-06
880,-0.00551446,-1.39414e-05
890,-0.00968643,-7.09335e-07
900,-0.0029573,-1.58955e-05
910,0.0302197,-1.13594e-05
920,-0.00210622,2.89301e-06
930,-0.00210821,-5.62013e-06
940,0.0100083,3.806e-06
950,-0.0190783,5.24719e-06
960,-0.0215772,-1.53921e-05
970,-0.018135,4.72774e-06
980,-0.00513832,-3.79301e-07
990,0.0418632,-2.56666e-06
1000,0.00693072,-7.71423e-06
1010,0.0189956,-6.06819e-06
1020,0.000206836,-2.96127e-06
1030,-0.00255801,-6.63301e-06
1040,-0.0216034,-4.79669e-06
1050,-0.00166284,-8.2264e-07
1060,0.0195319,6.64422e-06
1070,-0.00193628,-4.10916e-06
1080,0.00384426,1.32885e-06
1090,0.00031631,3.10835e-06
1100,-0.00262934,-1.33355e-05
1110,0.0155631,-7.5038e-06
1120,-0.00942906,5.93213e-06
1130,-0.000318571,-8.48198e-07
1140,0.0263945,5.79475e-06
1150,0.00739911,5.13061e-06
1160,-0.00547722,2.55996e-06
1170,-0.012227,-6.31402e-06
1180,0.0118884,-3.89811e-06
1190,-0.00119962,1.04453e-06
1200,-0.0638224,2.19311e-06
1210,0.00531038,3.66045e-06
1220,-0.0215889,-4.805e-07
