MDTU,|Tr(Lx)|
1,43.5421
2,18.0452
3,9.46959
4,9.46959
5,9.46959
6,5.73519
7,3.92347
8,3.92347
9,3.92347
10,3.92347
11,3.92347
12,2.73732
13,1.85462
14,1.36503
15,1.36503
16,1.19261
17,1.19261
18,0.87491
19,0.660474
20,0.601391
21,0.522643
22,0.522643
23,0.405664
24,0.452385
25,0.513874
26,0.513874
27,0.45389
28,0.45389
29,0.45389
30,0.417264
31,0.306242
32,0.180902
33,0.177776
34,0.10788
35,0.107281
36,0.107281
37,0.152588
38,0.159859
39,0.188883
40,0.158143
41,0.160409
42,0.15539
43,0.140755
44,0.114133
45,0.150364
46,0.150364
47,0.148357
48,0.148357
49,0.115282
50,0.11058
51,0.104134
52,0.110249
53,0.135792
54,0.115683
55,0.181123
56,0.238606
57,0.191486
58,0.216792
59,0.186616
60,0.19601
61,0.179451
62,0.157078
63,0.180826
64,0.141586
65,0.141773
66,0.150694
67,0.177528
68,0.1644
69,0.222252
70,0.155752
71,0.246582
72,0.251927
73,0.266093
74,0.316606
75,0.273847
76,0.379673
77,0.379673
78,0.22719
79,0.240336
80,0.240336
81,0.303137
82,0.303137
83,0.189079
84,0.358373
85,0.229339
86,0.321292
87,0.210361
88,0.210361
89,0.191028
90,0.19211
91,0.159779
92,0.168849
93,0.225238
94,0.206473
95,0.269013
96,0.250152
97,0.32533
98,0.253958
99,0.331029
100,0.154034
101,0.254731
102,0.291324
103,0.205218
104,0.185022
105,0.174136
106,0.145872
107,0.118187
108,0.153256
109,0.169239
110,0.13141
111,0.12985
112,0.12985
113,0.0954399
114,0.161198
115,0.101065
116,0.128913
117,0.121907
118,0.144729
119,0.151567
120,0.122145
121,0.115177
122,0.115967
123,0.145902
124,0.133679
125,0.191327
126,0.191327
127,0.160499
128,0.0926524
129,0.221065
130,0.231543
131,0.137526
132,0.187207
133,0.151209
134,0.151209
135,0.192253
136,0.192253
137,0.169262
138,0.240539
139,0.212715
140,0.14649
141,0.151776
142,0.151776
143,0.147258
144,0.196541
145,0.129789
146,0.176808
147,0.148166
148,0.148203
149,0.165256
150,0.103705
151,0.161148
152,0.14971
153,0.210184
154,0.148695
155,0.182556
156,0.186279
157,0.179019
158,0.203847
159,0.12762
160,0.144664
161,0.159916
162,0.178131
163,0.178131
164,0.114896
165,0.179759
166,0.148202
