t,N_f,N_g
10,75,1500
20,75,1500
30,75,1500
40,75,1500
50,75,1500
60,75,1500
70,75,1500
80,75,1500
90,75,1500
100,75,1500
110,75,1500
120,75,1500
130,75,1500
140,75,1500
150,75,1500
160,75,1500
170,75,1500
180,75,1500
190,75,1500
200,75,1500
210,75,1500
220,75,1500
230,75,1500
240,75,1500
250,75,1500
260,75,1500
270,75,1500
280,75,1500
290,75,1500
300,75,1500
310,75,1500
320,75,1500
330,75,1500
340,75,1500
350,75,1500
360,75,1500
370,75,1500
380,75,1500
390,75,1500
400,75,1500
410,75,1500
420,75,1500
430,75,1500
440,75,1500
450,75,1500
460,75,1500
470,75,1500
480,75,1500
490,75,1500
500,75,1500
510,75,1500
520,75,1500
530,75,1500
540,75,1500
550,75,1500
560,75,1500
570,75,1500
580,75,1500
590,75,1500
600,75,1500
610,75,1500
620,75,1500
630,75,1500
640,75,1500
650,75,1500
660,75,1500
670,75,1500
680,75,1500
690,75,1500
700,75,1500
710,75,1500
720,75,1500
730,75,1500
740,75,1500
750,75,1500
760,75,1500
770,75,1500
780,75,1500
790,75,1500
800,75,1500
810,75,1500
820,75,1500
830,75,1500
840,75,1500
850,75,1500
860,75,1500
870,75,1500
880,75,1500
890,75,1500
900,75,1500
910,75,1500
920,75,1500
930,75,1500
940,75,1500
950,75,1500
960,75,1500
970,75,1500
980,75,1500
990,75,1500
1000,75,1500
1010,75,1500
1020,75,1500
1030,75,1500
1040,75,1500
1050,75,1500
1060,75,1500
1070,75,1500
1080,75,1500
1090,75,1500
1100,75,1500
1110,75,1500
1120,75,1500
1130,75,1500
1140,75,1500
1150,75,1500
1160,75,1500
1170,75,1500
1180,75,1500
1190,75,1500
1200,75,1500
1210,75,1500
1220,75,1500
1230,75,1500
1240,75,1500
1250,75,1500
1260,75,1500
1270,75,1500
1280,75,1500
1290,75,1500
1300,75,1500
1310,75,1500
1320,75,1500
1330,75,1500
1340,75,1500
1350,75,1500
1360,75,1500
1370,75,1500
1380,75,1500
1390,75,1500
1400,75,1500
1410,75,1500
1420,75,1500
1430,75,1500
1440,75,1500
1450,75,1500
1460,75,1500
1470,75,1500
1480,75,1500
1490,75,1500
1500,75,1500
1510,75,1500
1520,75,1500
1530,75,1500
1540,75,1500
1550,75,1500
1560,75,1500
1570,75,1500
1580,75,1500
1590,75,1500
1600,75,1500
1610,75,1500
1620,75,1500
1630,75,1500
1640,75,1500
1650,75,1500
1660,75,1500
1670,75,1500
1680,75,1500
1690,75,1500
1700,75,1500
1710,75,1500
1720,75,1500
1730,75,1500
1740,75,1500
1750,75,1500
1760,75,1500
1770,75,1500
1780,75,1500
1790,75,1500
1800,75,1500
1810,75,1500
1820,75,1500
1830,75,1500
1840,75,1500
1850,75,1500
1860,75,1500
1870,75,1500
1880,75,1500
1890,75,1500
1900,75,1500
1910,75,1500
1920,75,1500
1930,75,1500
1940,75,1500
1950,75,1500
1960,75,1500
1970,75,1500
1980,75,1500
1990,75,1500
2000,75,1500
2010,75,1500
2020,75,1500
2030,75,1500
2040,75,1500
2050,75,1500
2060,75,1500
2070,75,1500
2080,75,1500
2090,75,1500
2100,75,1500
2110,75,1500
2120,75,1500
2130,75,1500
2140,75,1500
2150,75,1500
2160,75,1500
2170,75,1500
2180,75,1500
2190,75,1500
2200,75,1500
2210,75,1500
2220,75,1500
2230,75,1500
2240,75,1500
2250,75,1500
2260,75,1500
2270,75,1500
2280,75,1500
2290,75,1500
2300,75,1500
2310,75,1500
2320,75,1500
2330,75,1500
2340,75,1500
2350,75,1500
2360,75,1500
2370,75,1500
2380,75,1500
2390,75,1500
2400,75,1500
2410,75,1500
2420,75,1500
2430,75,1500
2440,75,1500
2450,75,1500
2460,75,1500
2470,75,1500
2480,75,1500
2490,75,1500
2500,75,1500
2510,75,1500
2520,75,1500
2530,75,1500
2540,75,1500
2550,75,1500
2560,75,1500
2570,75,1500
2580,75,1500
2590,75,1500
2600,75,1500
2610,75,1500
2620,75,1500
2630,75,1500
2640,75,1500
2650,75,1500
2660,75,1500
2670,75,1500
2680,75,1500
2690,75,1500
2700,75,1500
2710,75,1500
2720,75,1500
2730,75,1500
2740,75,1500
2750,75,1500
2760,75,1500
2770,75,1500
2780,75,1500
2790,75,1500
2800,75,1500
2810,75,1500
2820,75,1500
2830,75,1500
2840,75,1500
2850,75,1500
2860,75,1500
2870,75,1500
2880,75,1500
2890,75,1500
2900,75,1500
2910,75,1500
2920,75,1500
2930,75,1500
2940,75,1500
2950,75,1500
2960,75,1500
2970,75,1500
2980,75,1500
2990,75,1500
3000,75,1500
3010,75,1500
3020,75,1500
3030,75,1500
3040,75,1500
3050,75,1500
3060,75,1500
3070,75,1500
3080,75,1500
3090,75,1500
3100,75,1500
3110,75,1500
3120,75,1500
3130,75,1500
3140,75,1500
3150,75,1500
3160,75,1500
3170,75,1500
3180,75,1500
3190,75,1500
3200,75,1500
3210,75,1500
3220,75,1500
3230,75,1500
3240,75,1500
3250,75,1500
3260,75,1500
3270,75,1500
3280,75,1500
3290,75,1500
3300,75,1500
3310,75,1500
3320,75,1500
3330,75,1500
3340,75,1500
3350,75,1500
3360,75,1500
3370,75,1500
3380,75,1500
3390,75,1500
3400,75,1500
3410,75,1500
3420,75,1500
3430,75,1500
3440,75,1500
3450,75,1500
3460,75,1500
3470,75,1500
3480,75,1500
3490,75,1500
3500,75,1500
