t,e^(-dS)
1,155.4
2,0.269281
3,0.654555
4,0.337902
5,0.2334
6,0.613301
7,0.491153
8,0.267403
9,0.757903
10,0.524925
11,0.824977
12,0.504897
13,0.526818
14,0.701875
15,0.443614
16,0.932096
17,0.716627
18,0.731396
19,0.472603
20,0.634511
21,1.31903
22,0.756237
23,0.856586
24,1.46903
25,0.970378
26,1.49451
27,0.800675
28,0.629078
29,0.880293
30,0.586666
31,0.655931
32,0.65777
33,1.21957
34,0.946088
35,0.738673
36,0.661795
37,1.81612
38,0.821437
39,0.900054
40,0.917356
41,0.565299
42,0.810827
43,0.747142
44,1.29732
45,1.50893
46,0.440211
47,0.912625
48,2.27618
49,1.29343
50,1.12491
51,0.740744
52,1.4202
53,0.633687
54,0.724481
55,1.52044
56,1.6974
57,0.803643
58,0.661728
59,2.05546
60,0.478787
61,1.07002
62,0.953353
63,1.73742
64,0.743936
65,0.652986
66,0.572067
67,0.67611
68,3.23167
69,0.429386
70,0.565865
71,0.848063
72,0.999999
73,0.46459
74,1.44889
75,0.769049
76,2.12357
77,0.48355
78,0.336553
79,0.969776
80,0.93121
81,0.699423
82,1.13564
83,1.22397
84,1.89061
85,1.29395
86,0.571838
87,0.749612
88,0.508038
89,1.30761
90,0.980267
91,0.996587
92,0.864158
93,0.686053
94,0.418198
95,1.61172
96,0.571952
97,1.42675
98,0.718349
99,1.15535
100,0.834352
101,0.672267
102,1.60625
103,0.622507
104,1.22018
105,0.848827
106,0.907883
107,1.23232
108,0.754575
109,0.653247
110,0.674826
111,0.885945
112,1.12964
113,0.660142
114,2.12995
115,1.34864
116,0.711201
117,0.912278
118,0.845016
119,1.03168
120,0.647006
121,0.735871
122,0.692256
123,0.808884
124,1.03245
125,0.940071
126,0.732348
127,1.11952
128,1.77873
129,0.835855
130,1.48825
131,0.883998
132,1.45092
133,0.851377
134,1.16439
135,0.694405
136,0.887009
137,0.835688
138,1.54049
139,1.31561
140,0.737787
141,0.520899
142,1.16149
143,1.25496
144,2.41235
145,1.02786
146,0.78075
147,0.763532
148,0.606773
149,0.587605
150,0.749387
151,1.10215
152,1.44875
153,1.00026
154,1.53849
155,1.33362
156,1.22067
157,1.59345
158,1.26858
159,0.940362
160,0.754425
161,0.67726
162,1.29927
163,1.72979
164,1.29706
165,1.33282
166,0.702086
167,0.918329
168,0.798516
