t,cost
10,6.378
20,6.414
30,6.33
40,6.336
50,6.288
60,6.288
70,6.312
80,6.258
90,6.288
100,6.3
110,6.3
120,6.24
130,6.3
140,6.288
150,6.306
160,6.306
170,6.318
180,6.3
190,6.318
200,6.258
210,6.318
220,6.276
230,6.306
240,6.294
250,6.294
260,6.294
270,6.318
280,6.3
290,6.3
300,6.33
310,6.282
320,6.294
330,6.294
340,6.312
350,6.312
360,6.264
370,6.306
380,6.276
390,6.294
400,6.306
410,6.306
420,6.264
430,6.282
440,6.276
450,6.3
460,6.3
470,6.306
480,6.288
490,6.294
500,6.294
510,6.288
520,6.294
530,6.306
540,6.3
550,6.288
560,6.312
570,6.324
580,6.3
590,6.312
600,6.3
610,6.36
620,6.3
630,6.27
640,6.288
650,6.306
660,6.33
670,6.282
680,6.312
690,6.342
700,6.282
710,6.312
720,6.324
730,6.336
740,6.288
750,6.312
760,6.318
770,6.33
780,6.342
790,6.282
800,6.306
810,6.3
820,6.306
830,6.33
840,6.324
850,6.318
860,6.342
870,6.312
880,6.306
890,6.372
900,6.33
910,6.312
920,6.324
930,6.282
940,6.27
950,6.342
960,6.324
970,6.324
980,6.312
990,6.282
1000,6.342
1010,6.336
1020,6.306
1030,6.348
1040,6.288
1050,6.312
1060,6.318
1070,6.348
1080,6.342
1090,6.318
1100,6.3
1110,6.33
1120,6.33
1130,6.336
1140,6.33
1150,6.348
1160,6.318
1170,6.336
1180,6.3
1190,6.294
1200,6.306
1210,6.318
1220,6.324
1230,6.318
1240,6.348
1250,6.294
1260,6.342
1270,6.33
1280,6.318
1290,6.366
1300,6.348
1310,6.342
1320,6.348
1330,6.36
1340,6.342
1350,6.336
1360,6.306
1370,6.3
1380,6.336
1390,6.354
1400,6.33
1410,6.33
1420,6.354
1430,6.342
1440,6.312
1450,6.288
1460,6.336
1470,6.36
1480,6.372
1490,6.366
1500,6.36
1510,6.318
1520,6.342
1530,6.318
1540,6.342
1550,6.36
1560,6.348
1570,6.402
1580,6.342
1590,6.39
1600,6.372
1610,6.36
1620,6.33
1630,6.372
1640,6.36
1650,6.384
1660,6.39
1670,6.354
1680,6.366
1690,6.348
1700,6.36
1710,6.354
1720,6.402
1730,6.336
1740,6.348
1750,6.378
1760,6.336
1770,6.372
1780,6.378
1790,6.372
1800,6.39
1810,6.36
1820,6.378
1830,6.396
1840,6.39
1850,6.402
1860,6.438
1870,6.372
1880,6.432
1890,6.408
1900,6.402
1910,6.438
1920,6.378
1930,6.414
1940,6.402
1950,6.438
1960,6.384
1970,6.456
1980,6.492
1990,6.402
2000,6.432
2010,6.39
2020,6.462
2030,6.474
2040,6.396
2050,6.486
2060,6.444
2070,6.444
2080,6.48
2090,6.438
2100,6.498
2110,6.462
2120,6.528
2130,6.588
2140,6.45
2150,6.516
2160,6.528
2170,6.48
2180,6.522
2190,6.498
2200,6.474
2210,6.54
2220,6.486
2230,6.534
2240,6.588
2250,6.48
2260,6.57
2270,6.558
2280,6.474
2290,6.57
2300,6.528
2310,6.474
2320,6.57
2330,6.612
2340,6.522
2350,6.6
2360,6.498
2370,6.582
2380,6.582
2390,6.522
2400,6.624
2410,6.618
2420,6.522
2430,6.606
2440,6.612
2450,6.606
2460,6.498
2470,6.624
2480,6.612
2490,6.54
2500,6.654
2510,6.618
2520,6.57
2530,6.666
2540,6.63
2550,6.552
2560,6.6
2570,6.666
2580,6.558
2590,6.666
2600,6.726
2610,6.696
2620,6.588
2630,6.714
2640,6.684
2650,6.66
2660,6.66
2670,6.732
2680,6.726
2690,6.6
2700,6.702
2710,6.726
2720,6.714
2730,6.66
2740,6.702
2750,6.708
2760,6.696
2770,6.63
2780,6.726
2790,6.762
2800,6.642
2810,6.744
2820,6.738
2830,6.756
2840,6.606
2850,6.798
2860,6.816
2870,6.81
2880,6.78
2890,6.696
2900,6.834
2910,6.816
2920,6.834
2930,6.756
2940,6.72
2950,6.822
2960,6.792
2970,6.864
2980,6.69
2990,6.828
3000,6.852
3010,6.804
3020,6.876
3030,6.732
3040,6.822
3050,6.834
3060,6.846
3070,6.894
3080,6.858
3090,6.774
3100,6.888
3110,6.876
3120,6.9
3130,6.918
3140,6.852
3150,6.78
3160,6.942
3170,6.906
3180,6.93
3190,6.93
3200,6.918
3210,6.756
3220,6.918
3230,6.942
3240,6.948
3250,6.912
3260,6.93
3270,6.918
3280,6.774
3290,6.918
3300,6.924
3310,7.008
3320,6.99
3330,6.948
3340,6.966
3350,6.804
3360,6.96
3370,6.972
3380,6.972
3390,7.008
3400,7.02
3410,7.05
3420,7.026
3430,7.032
3440,6.984
3450,6.852
3460,7.002
3470,7.05
3480,7.062
3490,7.062
3500,7.062
