MDTU,link
1,0.989803
2,0.990882
3,1.0015
4,1.00433
5,1.00433
6,1.00753
7,1.01609
8,1.01888
9,1.01888
10,1.01888
11,1.02068
12,1.01798
13,1.00361
14,1.00824
15,1.01867
16,1.01327
17,1.01327
18,1.00599
19,1.00752
20,1.0008
21,1.0008
22,1.0008
23,1.00733
24,0.998073
25,1.00297
26,1.00297
27,1.00024
28,1.00766
29,1.00766
30,1.01088
31,1.00166
32,1.00152
33,1.00151
34,1.00151
35,1.00715
36,1.01163
37,1.00733
38,1.00733
39,1.00328
40,1.00265
41,1.00265
42,1.00232
43,0.997975
44,1.0069
45,1.00542
46,1.00275
47,1.00976
48,1.00976
49,0.997949
50,1.00455
51,1.00455
52,1.01271
53,1.00978
54,1.0101
55,1.00932
56,1.00163
57,0.996984
58,0.998623
59,1.00044
60,0.998261
61,0.998179
62,1.00243
63,1.00806
64,1.00269
65,1.00103
66,1.00223
67,0.999239
68,1.00313
69,0.995953
70,0.994518
71,0.985517
72,0.999594
73,1.00636
74,0.99362
75,0.999797
76,1.00485
77,1.00755
78,1.01557
79,1.01217
80,1.00723
81,1.00441
82,1.00441
83,0.992242
84,0.998535
85,1.00474
86,1.0098
87,1.00027
88,0.999266
89,0.999266
90,0.996641
91,1.00609
92,1.00286
93,0.992407
94,0.995688
95,0.984461
96,0.981225
97,0.990893
98,0.990538
99,0.998321
100,0.99537
101,0.99868
102,0.994349
103,1.00105
104,0.9933
105,1.00829
106,0.998561
107,0.996648
108,1.00697
109,1.00697
110,1.00004
111,1.00694
112,1.00694
113,1.00615
114,1.00155
115,1.00348
116,0.99881
117,0.99881
118,1.00163
119,1.00304
120,0.99414
121,0.991931
122,0.991931
123,0.998616
124,0.998739
125,0.998636
126,0.998636
127,1.00692
128,1.01046
129,1.01096
130,1.02031
131,1.00475
132,1.00714
133,1.00714
134,1.00714
135,1.00714
136,1.00714
137,1.01971
138,1.01115
139,1.01255
140,1.01255
141,1.00532
142,1.01016
143,1.01959
144,1.0323
145,1.02872
146,1.01869
147,1.01658
148,1.00788
149,1.00788
150,1.00883
151,1.00883
152,1.00838
153,1.01253
154,1.01253
155,1.01525
156,1.02343
157,1.0203
158,1.01476
159,1.03187
160,1.03412
161,1.02091
162,1.02154
163,1.02561
164,1.02561
165,1.02863
166,1.02153
167,1.02153
168,1.02852
169,1.02852
170,1.01144
171,0.999135
172,1.00668
173,1.00668
174,1.00118
175,1.00857
176,1.00284
177,1.00639
178,1.00829
179,1.00608
180,1.00596
181,1.01191
182,1.00428
183,0.998281
184,0.999089
185,1.00593
186,0.998169
187,1.00807
188,1.01849
189,1.00619
190,1.0062
191,1.00964
192,1.00331
193,1.00252
194,0.998762
195,1.00193
196,0.994967
197,0.996346
198,0.998976
199,0.997587
200,1.00466
201,1.01027
202,1.00729
203,1.00258
204,0.997409
205,0.997409
206,0.992963
207,0.996802
208,0.993336
209,0.996652
210,1.00706
211,1.00318
212,1.00275
213,1.0035
214,0.999351
215,0.999351
216,0.995878
217,1.00655
218,1.00655
219,1.0037
220,1.0037
221,1.01306
222,1.00845
223,1.00845
224,0.998194
225,0.993121
226,1.00812
227,1.01251
228,0.998092
229,1.00717
230,1.00299
231,1.00299
232,1.01141
233,1.01024
234,1.00567
235,1.01802
236,1.01846
237,1.01864
238,1.02715
239,1.02141
240,1.02492
241,1.02077
242,1.02077
243,1.02214
244,1.01628
245,1.00903
246,1.00433
247,1.00433
248,1.00852
249,1.00869
250,1.00941
251,1.01668
252,1.01668
253,1.00469
254,1.01344
255,1.0072
256,1.00652
257,0.992457
258,0.995451
259,1.00771
260,1.00371
261,1.00371
262,1.01077
263,1.0058
264,1.00822
265,1.00822
266,1.00822
267,1.00822
268,1.00782
269,1.00245
270,1.00245
271,0.992057
272,1.00926
273,1.01482
274,1.00969
275,1.00969
276,1.01915
277,1.00681
278,1.00885
279,0.993991
280,0.989914
281,0.991191
282,0.99913
283,1.00009
284,1.00628
285,1.00305
286,1.00305
287,0.995404
288,1.00338
289,1.01009
290,1.00613
291,1.00583
292,1.00944
293,1.00065
294,1.01585
295,1.01262
296,1.01262
297,1.01262
298,1.01379
299,1.01379
300,1.00597
301,1.00771
302,1.0075
303,1.00413
304,1.00728
305,1.00728
306,1.01013
307,1.01971
308,1.01078
309,1.00978
310,1.00353
311,1.00264
312,1.00264
313,1.00264
314,0.997606
315,1.00062
316,1.00686
317,1.00537
318,1.00173
319,1.00173
320,0.995568
321,1.00473
322,0.999174
323,0.996903
324,0.99434
325,0.994238
326,0.990043
327,0.990043
328,0.990043
329,0.999524
330,0.994838
331,1.0044
332,0.994299
333,1.00333
334,1.00245
335,1.0031
336,0.998455
337,0.995571
338,0.992056
339,0.9922
340,0.991969
341,0.995636
342,1.00325
343,0.993886
344,1.00398
345,1.016
346,1.01743
347,1.01743
348,1.02099
349,1.01556
350,1.01701
351,1.0134
352,1.0144
353,1.0144
354,1.01296
355,1.01115
356,1.00205
357,0.990077
358,0.990077
359,0.990077
360,0.985951
361,1.00173
362,1.00173
363,1.00173
364,1.01125
365,1.0057
366,1.01023
367,1.00925
368,1.01509
369,1.01673
370,1.02017
371,1.00494
372,1.00655
373,1.01135
374,1.01135
375,1.01534
376,1.0108
377,1.00004
378,1.00187
379,0.991118
380,0.989581
381,0.990267
382,0.990106
383,1.00141
384,1.01119
385,1.00646
386,1.01048
387,1.00483
388,0.994638
389,1.00914
390,1.00886
391,1.0077
392,1.0132
393,1.0132
394,1.0132
395,1.01216
396,1.01216
397,1.0053
398,1.00077
399,1.00077
400,1.00485
401,1.00492
402,1.0097
403,1.00816
404,1.01102
405,0.998957
406,1.00115
407,0.992853
408,1.00138
409,1.00935
410,1.00935
411,1.00304
412,1.0023
413,1.00934
414,1.00792
415,1.00112
416,0.993945
417,0.992731
418,0.984458
419,0.996629
420,0.996629
421,0.985769
422,0.988586
423,0.988586
424,0.988586
425,0.99383
426,0.997041
427,0.997041
428,0.997991
429,0.989953
430,0.990782
431,0.986133
432,0.992374
433,0.996127
434,0.995062
435,0.998837
436,0.992073
437,0.9948
438,0.99596
439,0.999319
440,1.00306
441,1.00126
442,1.00055
443,1.00445
444,1.00829
445,1.00158
446,0.992079
447,0.992079
448,0.992079
449,0.999169
450,1.00301
451,0.996124
452,0.992796
453,0.98947
454,0.989555
455,1.00401
456,0.997696
457,0.996697
458,0.99624
459,1.00855
460,1.00044
461,0.98973
462,0.988497
463,0.997865
464,1.00585
465,0.999238
466,0.994381
467,0.994381
468,0.999576
469,0.993676
470,0.995597
471,0.996522
472,1.0023
473,0.99511
474,0.992971
475,1.00119
476,1.00119
477,1.00482
478,1.00559
479,1.02011
480,1.02884
481,1.031
482,1.0212
483,1.01959
484,1.00938
485,1.00938
486,1.00043
487,1.00228
488,1.00837
489,1.00837
490,1.00837
491,1.00837
492,1.01302
493,1.00519
494,1.00136
495,1.00485
496,1.00496
497,1.00319
498,1.00319
499,1.00652
500,1.00511
501,1.00218
502,1.00839
503,1.00696
504,1.0078
505,0.995098
506,1.00354
507,0.998797
508,1.00491
509,0.9934
510,0.993318
511,0.993441
512,0.997362
513,0.997362
514,0.998734
515,0.994437
516,1.00058
517,1.0052
518,0.99452
519,0.998329
520,0.995852
521,1.00152
522,0.996745
523,1.00083
524,0.998796
525,1.00169
526,1.00884
527,0.99244
528,0.996544
529,1.00025
530,1.00298
531,1.00897
532,1.01067
533,1.00486
534,0.997498
535,0.985709
536,0.988286
537,0.986476
538,0.995377
539,0.998511
540,1.00102
541,1.00415
542,1.00255
543,0.999388
544,0.999388
545,0.987045
546,0.984869
547,0.996746
548,0.993521
549,0.996821
550,1.00002
551,0.994237
552,0.987212
553,0.987764
554,0.97767
555,0.976932
556,0.980058
557,0.97864
558,0.981289
559,0.990752
560,0.992251
561,0.996362
562,0.994479
563,0.986628
564,0.997171
565,1.00662
566,1.00662
567,1.00997
568,1.01418
569,1.01763
570,1.00975
571,1.01575
572,1.0169
573,1.01059
574,1.0087
575,1.00369
576,1.00369
577,1.00339
578,1.00982
579,1.00926
580,1.00151
581,1.00481
582,1.01197
583,1.00796
584,1.00328
585,1.00328
586,1.00855
587,0.997587
588,1.00527
589,1.00639
590,1.01348
591,1.00589
592,1.00589
593,1.00542
594,1.00958
595,1.01427
596,1.01378
597,1.01908
598,1.0143
599,1.01478
600,1.01672
601,1.01672
602,1.01672
603,1.00814
604,1.0069
605,1.00964
606,1.01528
607,1.01761
608,1.0115
609,1.0119
610,1.00002
611,0.996289
612,1.00375
613,1.01197
614,1.0158
615,1.0158
616,1.00821
617,1.00957
618,1.01029
619,0.997894
620,0.999209
621,0.994463
622,0.99841
623,0.99841
624,0.990268
625,0.989583
626,0.998674
627,1.00203
628,1.00974
629,1.00217
630,0.993132
631,1.00613
632,1.00418
633,1.00418
634,0.997246
635,0.999057
636,1.01568
637,1.01568
638,1.01568
639,1.01183
640,1.00233
641,0.999291
642,0.996421
643,0.99194
644,1.00346
645,1.00169
646,1.01249
647,1.01334
648,1.02588
649,1.02588
650,1.031
651,1.02464
652,1.02464
653,1.01831
654,1.01561
655,1.00788
656,1.00541
657,1.01219
658,1.00269
659,0.997843
660,0.99842
661,1.00973
662,1.00251
663,1.01867
664,1.01313
665,1.00475
666,1.00744
667,1.00676
668,1.00986
669,1.01605
670,1.01075
671,1.01075
672,1.00689
673,1.0043
674,1.00268
675,1.00177
676,0.986755
677,0.986755
678,0.99465
679,0.983519
680,0.980879
681,0.974229
682,0.986796
683,0.986224
684,0.986966
685,0.993827
686,0.992062
687,0.99578
688,0.99578
689,0.995823
690,0.991572
691,1.00053
692,0.998475
693,0.998475
694,1.00075
695,1.00224
696,1.00224
697,1.00543
698,1.01448
699,1.01448
700,1.01121
701,1.01121
702,1.01507
703,1.02834
704,1.03223
705,1.03287
706,1.02201
707,1.01806
708,1.01472
709,1.01846
710,1.0194
711,1.02615
712,1.02615
713,1.01988
714,1.02876
715,1.02876
716,1.0143
717,1.0235
718,1.02907
719,1.02907
720,1.02907
721,1.03216
722,1.02099
723,1.01824
724,1.01227
725,1.01
726,1.02117
727,1.01293
728,1.0013
729,1.00777
730,1.00738
731,1.00738
732,1.01238
733,1.01325
734,1.01187
735,1.01187
736,1.00634
737,1.00514
738,1.00593
739,1.01611
740,1.02089
741,1.01306
742,1.02796
743,1.02796
744,1.03699
745,1.03703
746,1.03463
747,1.02932
748,1.03102
749,1.02056
750,1.02122
751,1.02122
752,1.01679
753,1.01798
754,1.01497
755,1.00639
756,1.00492
757,1.00492
758,1.01146
759,1.01355
760,1.00806
761,1.01699
762,1.02248
763,1.02111
764,1.02111
765,1.02605
766,1.02121
767,1.02121
768,1.02298
769,1.02543
770,1.02196
771,1.01422
772,1.01584
773,1.0074
774,0.990849
775,0.994177
776,0.98944
777,0.991985
778,1.00296
779,1.01006
780,1.00245
781,1.01077
782,1.0032
783,1.00163
784,1.01143
785,1.00134
786,1.00039
787,1.00542
788,1.00052
789,1.00785
790,1.01679
791,1.01898
792,1.01898
793,1.01519
794,1.01006
795,1.00832
796,1.01505
797,1.01155
798,1.00885
799,1.00948
800,1.00948
801,1.02008
802,1.02503
803,1.02137
804,1.01813
805,1.01306
806,1.00996
807,1.01566
808,1.0089
809,1.00593
810,1.01907
811,1.01907
812,1.02101
813,1.02197
814,1.02197
815,1.01867
816,1.01178
817,1.01598
818,1.00911
819,1.01308
820,1.01701
821,1.00891
822,1.00725
823,1.009
824,1.00994
825,1.00994
826,1.00635
827,1.00828
828,1
829,0.996866
830,1.00846
831,1.00846
832,0.991929
833,1.00233
834,1.00233
835,1.00644
836,0.995611
837,1.00208
838,1.00109
839,1.00338
840,1.0013
841,1.0089
842,1.00403
843,0.998834
844,1.00681
845,1.01099
846,1.00686
847,1.00686
848,1.00013
849,0.996102
850,0.996102
851,1.00092
852,1.00799
853,1.00573
854,1.00345
855,1.00068
856,0.992615
857,0.991487
858,1.00158
859,0.996502
860,1.01447
861,1.00927
862,1.00712
863,1.00712
864,0.997742
865,0.996055
866,0.998169
867,1.00128
868,1.00128
869,0.997874
870,0.990484
871,0.993875
872,1.00425
873,1.0019
874,1.0117
875,1.0167
876,1.02435
877,1.02471
878,1.01936
879,1.01426
880,1.01844
881,1.01326
882,1.01915
883,1.02313
884,1.01478
885,1.01496
886,1.00638
887,1.01253
888,1.01276
889,1.01276
890,1.00344
891,1.00682
892,1.01283
893,1.01179
894,1.00089
895,1.00089
896,1.005
897,1.01229
898,1.01166
899,0.996299
900,0.996126
901,1.00203
902,1.0021
903,0.999338
904,1.00172
905,1.00677
906,1.01283
907,1.01283
908,1.02108
909,1.02108
910,1.01903
911,1.01903
912,1.01903
913,1.0197
914,1.0197
915,1.01559
