MDTU,|det-1|^2,1-Re(det),Im(det)
1,0.0990885,0.313524,-9.69284e-05
2,0.0916745,0.298937,1.80035e-05
3,0.00775163,0.079281,4.36831e-06
4,0.00147884,0.024012,5.61602e-05
5,0.00147884,0.024012,5.61602e-05
6,0.00537886,-0.0467,5.95738e-05
7,0.0786432,-0.27338,-3.53745e-05
8,0.146939,-0.38022,-8.9181e-05
9,0.146939,-0.38022,-8.9181e-05
10,0.146939,-0.38022,-8.9181e-05
11,0.215525,-0.46087,-0.000183105
12,0.136101,-0.36564,-3.30659e-05
13,0.00166452,-0.00621,4.04707e-06
14,0.0101689,-0.08965,8.8351e-05
15,0.113272,-0.33268,-5.23221e-06
16,0.0521334,-0.22028,6.36024e-06
17,0.0521334,-0.22028,6.36024e-06
18,0.00252107,-0.0042,3.23929e-05
19,0.00285111,0.025523,5.57662e-05
20,0.00892411,0.089552,-4.40979e-05
21,0.00892412,0.089552,-4.4098e-05
22,0.00892412,0.089552,-4.4098e-05
23,0.00383581,-0.03908,-0.000104628
24,0.0263926,0.159306,-6.04851e-05
25,0.00663216,0.062867,4.92248e-05
26,0.00663216,0.062867,4.92248e-05
27,0.00971747,0.08744,4.14204e-06
28,0.00681749,-0.0709,5.09207e-05
29,0.00681749,-0.0709,5.09207e-05
30,0.027339,-0.15228,-5.2725e-05
31,0.0105869,0.09609,6.81625e-06
32,0.00864257,0.077426,-7.92116e-06
33,0.0147065,0.110727,-2.37479e-05
34,0.0147065,0.110727,-2.37479e-05
35,0.00253776,-0.01714,-0.000116896
36,0.0403162,-0.19104,-4.04397e-06
37,0.00563059,-0.04234,-0.000142198
38,0.00563059,-0.04234,-0.000142198
39,0.00181368,0.022452,3.66357e-05
40,0.00867739,0.080216,-1.23943e-05
41,0.00867739,0.080216,-1.23942e-05
42,0.00404332,0.046849,-1.80867e-05
43,0.027188,0.157704,9.55544e-05
44,0.00244135,-0.01714,-0.000100208
45,0.00233858,-0.00381,-0.000106265
46,0.00485782,0.058407,-8.37383e-05
47,0.0215573,-0.13993,-7.29603e-05
48,0.0215573,-0.13993,-7.29603e-05
49,0.0219448,0.14316,7.5962e-05
50,0.00305177,0.012002,-3.65332e-05
51,0.00305177,0.012002,-3.65332e-05
52,0.0547329,-0.22536,-7.84916e-05
53,0.01084,-0.09159,0.000176449
54,0.024807,-0.15127,-3.62471e-05
55,0.0126594,-0.10442,-6.94359e-05
56,0.00340499,0.042153,-4.29268e-05
57,0.0332901,0.176905,-9.709e-05
58,0.0193821,0.131396,6.52035e-05
59,0.0116395,0.102697,2.21878e-05
60,0.0221545,0.141365,4.71825e-05
61,0.0310804,0.173232,4.08547e-05
62,0.00953398,0.08884,-3.68578e-05
63,0.00663974,-0.06993,-9.043e-06
64,0.00741524,0.077852,-0.000116146
65,0.0074835,0.07973,6.50968e-05
66,0.0066326,0.07118,4.06773e-05
67,0.0249015,0.151208,4.85006e-05
68,0.00305419,0.042169,-0.000109982
69,0.0452554,0.210979,-1.38769e-05
70,0.0378288,0.189921,-6.31399e-05
71,0.16468,0.405144,-3.92464e-05
72,0.0146802,0.115782,1.46877e-05
73,0.00301884,-0.02091,9.12957e-05
74,0.0662412,0.254051,-5.68012e-05
75,0.0200046,0.131665,9.15516e-05
76,0.00177054,0.00872,9.1482e-05
77,0.00596895,-0.04259,4.05488e-05
78,0.0819998,-0.27982,8.9717e-05
79,0.0288545,-0.15946,-4.71029e-05
80,0.00546663,-0.06206,-2.55974e-05
81,0.00272539,0.017435,-7.17211e-05
82,0.00272539,0.017435,-7.17211e-05
83,0.0868469,0.29229,-4.66994e-05
84,0.0212227,0.138332,-2.22438e-05
85,0.00425359,0.01477,8.43077e-05
86,0.0125867,-0.0978,-0.000116436
87,0.0134155,0.106868,1.71035e-05
88,0.0208164,0.139115,-0.000111266
89,0.0208164,0.139115,-0.000111266
90,0.0392591,0.194909,-6.31954e-05
91,0.00264083,0.015519,-2.19997e-06
92,0.00588119,0.065707,-4.18582e-05
93,0.075853,0.273925,8.87357e-06
94,0.0430216,0.205433,2.69343e-05
95,0.169677,0.411343,-1.45903e-05
96,0.203448,0.450609,-6.51727e-06
97,0.0797449,0.279763,7.35483e-06
98,0.0888832,0.297014,-5.19577e-05
99,0.0275255,0.162406,6.42768e-05
100,0.0596334,0.24036,8.34396e-05
101,0.0234852,0.148506,-6.8734e-06
102,0.0544254,0.230725,-3.35583e-05
103,0.0195649,0.136059,2.94594e-05
104,0.052391,0.227035,7.98427e-06
105,0.00971528,-0.07476,-2.48253e-05
106,0.0238107,0.146436,9.08873e-05
107,0.0588288,0.240987,2.14262e-05
108,0.00449766,-0.04929,5.54209e-05
109,0.00449766,-0.04929,5.54209e-05
110,0.0304397,0.171223,2.69688e-05
111,0.00393849,-0.04318,6.30243e-05
112,0.00393849,-0.04318,6.30243e-05
113,0.00155698,0.005657,-4.21288e-06
114,0.00693439,0.073492,-6.07555e-05
115,0.00428179,0.035758,-0.000171547
116,0.0257699,0.157616,-2.86543e-05
117,0.0257699,0.157616,-2.86543e-05
118,0.00456526,0.057106,2.82787e-05
119,0.00489668,0.057842,-5.37734e-05
120,0.061602,0.24552,4.09395e-05
121,0.0769699,0.276085,6.77198e-05
122,0.0769699,0.276085,6.77198e-05
123,0.0318637,0.175114,5.35379e-06
124,0.018866,0.133593,3.59658e-05
125,0.0191231,0.132926,-8.47822e-07
126,0.0191231,0.132926,-8.47822e-07
127,0.00343793,-0.03881,-6.1778e-05
128,0.0182804,-0.11863,5.83999e-05
129,0.032851,-0.17489,0.000125964
130,0.22085,-0.46654,5.07503e-05
131,0.00245797,0.001447,-0.000131038
132,0.00557242,-0.05803,-1.8854e-05
133,0.00557242,-0.05803,-1.8854e-05
134,0.00557242,-0.05803,-1.8854e-05
135,0.00557242,-0.05803,-1.8854e-05
136,0.00557242,-0.05803,-1.8854e-05
137,0.182704,-0.4245,9.79681e-05
138,0.016466,-0.1165,6.41615e-05
139,0.0294803,-0.16434,8.8538e-05
140,0.0294803,-0.16434,8.8538e-05
141,0.00229697,-0.01637,7.88765e-05
142,0.0240541,-0.13489,-7.80067e-05
143,0.168615,-0.40388,0.000129165
144,0.851216,-0.91887,-5.40234e-05
145,0.660585,-0.80876,4.12364e-05
146,0.149932,-0.3831,-3.84752e-05
147,0.114347,-0.32632,0.000130831
148,0.0139814,-0.11152,-9.98733e-05
149,0.0139814,-0.11152,-9.98733e-05
150,0.00626771,-0.06942,7.25622e-05
151,0.00626771,-0.06942,7.25622e-05
152,0.0163726,-0.12018,3.17628e-05
153,0.0471858,-0.21099,-0.000125335
154,0.0471858,-0.21099,-0.000125335
155,0.0778628,-0.27382,6.04502e-05
156,0.381534,-0.61293,-9.24744e-05
157,0.160819,-0.3975,-7.2703e-05
158,0.083492,-0.28001,0.000107814
159,0.721829,-0.84533,-0.000137608
160,0.983401,-0.98494,-0.000374478
161,0.20156,-0.44328,7.052e-05
162,0.276036,-0.52056,-5.525e-05
163,0.373553,-0.60241,-9.46824e-05
164,0.373553,-0.60241,-9.46824e-05
165,0.556505,-0.74332,-0.00010611
166,0.256162,-0.50306,-0.000148505
167,0.256162,-0.50306,-0.000148505
168,0.522237,-0.71901,-3.3417e-05
169,0.522237,-0.71901,-3.3417e-05
170,0.0281873,-0.15766,0.000182273
171,0.0185467,0.131942,-7.86672e-05
172,0.00260877,0.010228,7.26437e-06
173,0.00260877,0.010228,7.26437e-06
174,0.00969541,0.090893,-2.2037e-05
175,0.0115989,-0.09217,-2.93645e-06
176,0.00579158,0.061075,6.5062e-06
177,0.0014509,-0.01237,6.44008e-05
178,0.00548657,-0.05771,8.56253e-05
179,0.00313961,-0.01915,3.80517e-06
180,0.00314807,-0.03716,-9.80737e-05
181,0.0192938,-0.13362,8.89781e-05
182,0.00361932,0.008253,4.67267e-05
183,0.0335062,0.179693,-6.17739e-05
184,0.0196155,0.134401,1.40709e-05
185,0.00218156,0.014886,-0.000122853
186,0.0279918,0.163032,8.78352e-06
187,0.00767414,-0.06961,6.66275e-05
188,0.181123,-0.42236,-1.89323e-05
189,0.00492647,-0.05656,-8.69799e-05
190,0.00637949,-0.06548,-7.25917e-05
191,0.0109412,-0.09575,-2.15002e-05
192,0.00430225,0.049301,4.47423e-05
193,0.00471231,0.057848,2.57999e-06
194,0.0409085,0.199849,-3.33721e-05
195,0.013385,0.106937,8.58525e-05
196,0.0676383,0.256718,1.34621e-05
197,0.0395679,0.19637,-1.47217e-05
198,0.0238211,0.146749,-5.90943e-05
199,0.0388645,0.188686,-3.69178e-05
200,0.0019073,0.013343,7.097e-05
201,0.0181806,-0.12656,-7.81931e-05
202,0.00320062,-0.03932,9.53994e-06
203,0.0102487,0.092931,-6.08342e-05
204,0.0301257,0.167864,5.69194e-05
205,0.0301257,0.167864,5.69194e-05
206,0.0741822,0.270646,-7.32219e-06
207,0.0310345,0.170605,2.34454e-05
208,0.0728842,0.268004,-1.50824e-05
209,0.0271807,0.161024,-1.55901e-07
210,0.00195026,-0.02382,-3.4081e-05
211,0.00563487,0.066137,4.15753e-05
212,0.00554666,0.062177,6.78549e-05
213,0.0038737,0.051976,-3.77587e-06
214,0.0130402,0.104756,-6.25639e-05
215,0.0130402,0.104756,-6.25639e-05
216,0.0324943,0.176515,8.34397e-05
217,0.00502168,-0.0516,1.07084e-05
218,0.00502168,-0.0516,1.07084e-05
219,0.00248973,0.037063,9.01295e-06
220,0.00248973,0.037063,9.01295e-06
221,0.0579079,-0.22996,9.05291e-05
222,0.0148009,-0.11271,-9.43618e-05
223,0.0148009,-0.11271,-9.43618e-05
224,0.0190878,0.13443,7.15591e-05
225,0.0732985,0.2695,4.26158e-05
226,0.020388,-0.1335,0.000145409
227,0.043772,-0.20452,5.14326e-06
228,0.0201731,0.13164,-7.62649e-05
229,0.0050554,-0.04814,2.02362e-05
230,0.00218725,0.027695,-8.4039e-05
231,0.00218725,0.027695,-8.4039e-05
232,0.0236253,-0.14814,1.92316e-05
233,0.0133362,-0.09853,9.22659e-06
234,0.00173692,-0.02422,3.58032e-06
235,0.122107,-0.34428,-2.24785e-05
236,0.167333,-0.40413,9.00947e-05
237,0.1711,-0.41058,-8.56588e-05
238,0.457452,-0.67124,8.49568e-05
239,0.246931,-0.48942,0.000146287
240,0.326012,-0.56821,5.35273e-05
241,0.212777,-0.45829,6.41656e-05
242,0.212777,-0.45829,6.41656e-05
243,0.244623,-0.49239,3.31092e-05
244,0.10206,-0.31197,-9.58311e-05
245,0.0150446,-0.11367,-3.74039e-05
246,0.00141988,-0.00829,-6.51613e-05
247,0.00141988,-0.00829,-6.51613e-05
248,0.00786652,-0.07397,-0.000110542
249,0.0108193,-0.09118,7.58917e-05
250,0.016609,-0.11606,-0.000203827
251,0.0816053,-0.27666,3.66635e-05
252,0.0816053,-0.27666,3.66635e-05
253,0.00500612,0.025509,0.000116104
254,0.0495695,-0.2122,-2.53462e-05
255,0.00709025,-0.0476,-3.52087e-05
256,0.00114604,0.002101,-3.38298e-05
257,0.0681052,0.258127,-2.7323e-05
258,0.0459012,0.212306,2.27936e-06
259,0.00644372,-0.04778,-0.000127991
260,0.00328447,0.036965,-5.8624e-05
261,0.00328447,0.036965,-5.86239e-05
262,0.0190725,-0.13101,-0.000145748
263,0.00363017,-0.04426,2.92706e-05
264,0.00814294,-0.07892,2.31035e-05
265,0.00814294,-0.07892,2.31035e-05
266,0.00814294,-0.07892,2.31035e-05
267,0.00814294,-0.07892,2.31035e-05
268,0.0135175,-0.103,-5.35088e-05
269,0.00725452,0.078096,-1.99687e-05
