t,cond_num
10,4.86836
20,4.83638
30,4.77365
40,4.75775
50,5.0469
60,5.16658
70,5.05591
80,5.03514
90,5.0153
100,5.03504
110,5.05011
120,5.09436
130,5.02978
140,5.14634
150,5.12423
160,5.10358
170,5.0211
180,5.14126
190,5.17557
200,5.11755
210,5.06676
220,5.14426
230,5.1151
240,5.05003
250,5.07908
260,5.08638
270,5.07739
280,5.10263
290,5.14413
300,5.14469
310,5.05665
320,5.11653
330,5.06972
340,5.07727
350,5.14511
360,5.06977
370,5.1063
380,5.04032
390,5.15571
400,5.08119
410,5.03997
420,5.08019
430,5.10318
440,5.06372
450,5.09041
460,5.15181
470,5.10845
480,5.0278
490,5.16135
500,5.18275
510,5.07246
520,5.0148
530,5.10857
540,4.98887
550,4.9999
560,5.0046
570,5.02145
580,5.03319
590,5.11044
600,5.04329
610,5.09039
620,5.10161
630,5.16517
640,5.03714
650,5.12906
660,5.10255
670,5.09451
680,5.05376
690,5.0911
700,5.09326
710,5.13635
720,5.17005
730,5.1269
740,5.03952
750,5.14692
760,5.0623
770,4.97293
780,5.19314
790,5.12181
800,5.00615
810,5.09809
820,5.05134
830,5.11656
840,5.03994
850,5.1561
860,5.08707
870,5.06545
880,5.08521
890,5.14394
900,5.07267
910,5.07036
920,5.10418
930,5.19642
940,5.14466
950,5.08495
960,5.05787
970,5.17044
980,5.1219
990,5.17784
1000,5.0855
1010,5.0788
1020,5.13026
1030,5.07435
1040,5.03137
1050,5.03046
1060,5.09919
1070,5.13347
1080,5.04943
1090,5.11055
1100,5.02832
1110,5.03861
1120,5.09559
1130,4.99332
1140,5.08542
1150,4.99446
1160,5.15711
1170,5.09328
1180,5.11262
1190,5.0333
1200,5.01636
1210,5.07716
1220,5.01283
1230,5.20158
1240,5.26381
1250,5.10765
1260,5.05532
1270,5.06562
1280,5.01489
1290,5.17966
1300,5.12539
1310,5.19409
1320,5.06135
1330,5.03821
1340,5.15226
1350,5.09248
1360,4.99217
1370,5.09344
1380,5.05668
1390,5.06642
1400,5.09108
1410,5.08788
1420,5.07628
1430,5.04423
1440,5.04681
1450,5.20896
1460,5.01519
1470,5.14972
1480,5.22617
1490,5.02242
1500,5.04753
1510,5.06869
1520,5.15867
1530,5.14516
1540,4.99055
1550,5.05314
1560,5.12323
1570,5.06629
1580,5.10702
1590,5.09912
1600,5.01209
1610,5.03689
1620,5.12029
1630,5.03787
1640,5.16067
1650,5.14703
1660,5.09686
1670,5.17849
1680,5.09115
1690,5.19372
1700,5.20114
1710,5.07365
1720,5.07674
1730,5.06892
1740,5.08064
1750,5.07502
1760,5.08602
1770,5.07874
1780,5.17054
1790,5.14012
1800,5.21649
1810,5.06388
1820,5.08551
1830,5.02337
1840,5.1347
1850,5.16983
1860,5.08734
1870,5.20632
1880,5.05191
1890,5.07268
1900,5.13093
1910,5.26336
1920,5.0783
1930,5.02478
1940,5.00664
1950,5.02567
1960,5.0897
1970,5.01037
1980,5.02829
1990,5.07395
2000,5.0626
2010,5.0603
2020,5.14835
2030,5.11653
2040,5.16207
2050,5.14186
2060,5.10827
2070,5.13086
2080,5.17183
2090,5.15179
2100,5.07515
2110,5.05803
2120,5.07457
2130,5.13453
2140,5.0799
2150,5.23252
2160,5.12008
2170,5.12551
2180,5.12653
2190,5.11693
2200,5.04825
2210,5.04665
2220,5.07149
2230,5.02695
2240,5.20421
2250,5.10602
2260,4.99591
2270,5.08154
2280,5.06667
2290,5.08084
2300,5.08813
2310,5.04484
2320,5.04635
2330,5.06398
2340,5.06943
2350,5.15233
2360,5.10463
2370,5.17918
2380,5.02923
2390,5.13623
2400,5.05513
2410,5.05945
2420,5.12943
2430,5.17867
2440,5.06585
2450,5.06837
2460,5.00656
2470,5.12397
2480,5.05192
2490,5.19246
2500,5.05697
2510,5.12012
2520,5.07214
2530,5.0548
2540,5.06799
2550,5.08045
2560,5.10567
2570,5.19
2580,5.09183
2590,5.12158
2600,5.04304
2610,5.15208
2620,5.12507
2630,5.09698
2640,5.12299
2650,5.03466
2660,5.08231
2670,5.14201
2680,5.07994
2690,5.1378
2700,5.09856
2710,5.16792
2720,5.08539
2730,5.12286
2740,5.10784
2750,5.02894
2760,5.03485
2770,5.10867
2780,5.07545
2790,5.06596
2800,5.09833
2810,5.12079
2820,5.12261
2830,5.00281
2840,5.08646
2850,5.11994
2860,5.18228
2870,5.18646
2880,5.06913
2890,5.04321
2900,5.05865
2910,5.11431
2920,5.08176
2930,5.1305
2940,5.05455
2950,5.17282
2960,5.1879
2970,5.05648
2980,5.10469
2990,5.02967
3000,5.0987
3010,5.05497
3020,5.10539
3030,5.07005
3040,4.99952
3050,5.09154
3060,5.03844
3070,5.04597
3080,5.11679
3090,5.06364
3100,5.03915
3110,5.05562
3120,5.12161
3130,5.07236
3140,5.04112
3150,5.09842
3160,5.09734
3170,5.16543
3180,5.15396
3190,4.97156
3200,5.20847
3210,5.14124
3220,5.06704
3230,5.14473
3240,5.10434
3250,5.03563
3260,5.0461
3270,5.03631
3280,5.09844
3290,5.0169
3300,5.05666
3310,5.08637
3320,5.05103
3330,4.9809
3340,5.0658
3350,5.14133
3360,5.1348
3370,5.18804
3380,4.99926
3390,5.05132
3400,5.2504
3410,5.11755
3420,5.11917
3430,5.06747
3440,5.07277
3450,5.03034
3460,5.02998
3470,5.09037
3480,5.05283
3490,5.05001
3500,5.06375
