MDTU,min_width,max_width
1,0.108795,0.0949739
2,0.114389,0.0988851
3,0.122763,0.105857
4,0.129762,0.11364
5,0.129762,0.11364
6,0.144958,0.119657
7,0.150846,0.124513
8,0.155979,0.13933
9,0.146499,0.129098
10,0.172623,0.151658
11,0.176941,0.153087
12,0.173485,0.149003
13,0.177825,0.160512
14,0.177825,0.160512
15,0.190584,0.16733
16,0.194066,0.17607
17,0.194066,0.17607
18,0.189662,0.168894
19,0.198396,0.182129
20,0.201385,0.172819
21,0.201385,0.172819
22,0.219098,0.185409
23,0.223705,0.191436
24,0.237041,0.201934
25,0.237041,0.201934
26,0.237041,0.201934
27,0.251276,0.210048
28,0.256345,0.214012
29,0.256345,0.214012
30,0.256345,0.214012
31,0.262746,0.220805
32,0.265674,0.224066
33,0.295216,0.238384
34,0.288315,0.249967
35,0.304588,0.262956
36,0.304588,0.262956
37,0.322253,0.279137
38,0.324505,0.281109
39,0.322881,0.282254
40,0.369264,0.310848
41,0.394341,0.337635
42,0.414865,0.350682
43,0.448885,0.375458
44,0.491361,0.41053
45,0.554008,0.455857
46,0.63607,0.507361
47,0.797661,0.602054
48,1.14208,0.716934
49,2.17587,0.883407
50,2.46184,1.01585
51,2.62136,1.05269
52,2.49985,1.05452
53,2.57593,1.05244
54,2.56897,1.05599
55,2.56897,1.05599
56,2.54295,1.05171
57,2.5577,1.04761
58,2.53056,1.05153
59,2.57415,1.05152
60,2.5928,1.0476
61,2.54124,1.05337
62,2.6495,1.05164
63,2.57917,1.04868
64,2.57917,1.04868
65,2.56112,1.03495
66,2.56333,1.04129
67,2.5302,1.04641
68,2.57655,1.04905
69,2.58767,1.0514
70,2.55283,1.05753
71,2.55283,1.05753
72,2.54373,1.05906
73,2.54373,1.05906
74,2.4163,1.04847
75,2.48138,1.05052
76,2.52518,1.05393
77,2.52518,1.05393
78,2.47972,1.04937
79,2.62203,1.06044
80,2.62203,1.06044
81,2.52538,1.04877
82,2.52538,1.04877
83,2.51643,1.05069
84,2.4901,1.05467
85,2.62993,1.05785
86,2.54047,1.04666
87,2.442,1.04758
88,2.442,1.04758
89,2.442,1.04758
90,2.57214,1.05227
91,2.57821,1.04429
92,2.60666,1.04996
93,2.60666,1.04996
94,2.55446,1.05522
95,2.59654,1.05343
96,2.64643,1.05416
97,2.48595,1.05818
98,2.55092,1.04249
99,2.60841,1.0478
100,2.52382,1.0496
101,2.52382,1.0496
102,2.52382,1.0496
103,2.52815,1.04132
104,2.45619,1.03641
105,2.5441,1.04966
106,2.45422,1.03242
107,2.47091,1.0364
108,2.57771,1.03901
109,2.53484,1.04909
110,2.55816,1.05173
111,2.47884,1.04933
112,2.54592,1.0528
113,2.5105,1.04081
114,2.56615,1.05245
115,2.45823,1.05213
116,2.46068,1.05458
117,2.46068,1.05458
118,2.46068,1.05458
119,2.57336,1.04905
120,2.51732,1.04945
121,2.51067,1.05052
122,2.55499,1.0585
123,2.51735,1.05376
124,2.48113,1.05649
125,2.48078,1.06257
126,2.48078,1.06257
127,2.53691,1.04777
128,2.53691,1.04777
129,2.51277,1.05536
130,2.58558,1.06065
131,2.51001,1.04916
132,2.44196,1.04318
133,2.52182,1.0507
134,2.58913,1.05396
135,2.5279,1.04778
136,2.62786,1.04022
137,2.49178,1.05078
138,2.47323,1.04753
139,2.59812,1.04793
140,2.58252,1.05795
141,2.52164,1.04431
142,2.52164,1.04431
143,2.59954,1.04634
144,2.53898,1.05243
145,2.50276,1.04877
146,2.51436,1.05123
147,2.50545,1.04862
148,2.46135,1.0476
149,2.57774,1.03777
150,2.50843,1.03998
151,2.50843,1.03998
152,2.47882,1.04699
153,2.50871,1.03719
154,2.50871,1.03719
155,2.55787,1.04952
156,2.5522,1.05365
157,2.46345,1.03377
158,2.46575,1.04405
159,2.46575,1.04405
160,2.51621,1.05133
161,2.52055,1.04728
162,2.53822,1.0533
163,2.53822,1.0533
164,2.53822,1.0533
165,2.47269,1.05929
166,2.5758,1.06056
167,2.48396,1.05327
168,2.46801,1.04721
169,2.45375,1.04916
170,2.55602,1.05174
171,2.57668,1.04889
172,2.5821,1.04907
173,2.51875,1.05461
174,2.58225,1.04296
175,2.61417,1.04268
176,2.486,1.05251
177,2.56595,1.05128
178,2.53015,1.04543
179,2.59608,1.06385
180,2.61225,1.06021
181,2.58725,1.05674
182,2.58098,1.05832
183,2.57754,1.06023
184,2.57754,1.06023
185,2.52992,1.05304
186,2.52992,1.05304
187,2.52992,1.05304
188,2.63762,1.04414
189,2.54361,1.05704
190,2.54361,1.05704
191,2.49815,1.05687
192,2.51347,1.05176
193,2.52826,1.04969
194,2.51275,1.06225
195,2.5749,1.04755
196,2.59378,1.0525
197,2.56156,1.05191
198,2.51944,1.07151
199,2.47857,1.05616
200,2.54746,1.05106
201,2.50945,1.03968
202,2.58012,1.04341
203,2.52525,1.04711
204,2.50165,1.05996
205,2.50165,1.05996
206,2.47529,1.04489
207,2.47529,1.04489
208,2.52215,1.05798
209,2.52215,1.05798
210,2.47098,1.05753
211,2.52067,1.0569
212,2.67114,1.04301
213,2.55499,1.03344
214,2.55499,1.03344
215,2.55499,1.03344
216,2.42687,1.04808
217,2.65296,1.04986
218,2.55424,1.05242
219,2.55192,1.06823
220,2.55192,1.06823
221,2.51781,1.047
222,2.59189,1.05129
223,2.56366,1.05629
224,2.52645,1.05342
225,2.5744,1.04508
226,2.5744,1.04508
227,2.50459,1.0481
228,2.54736,1.05475
229,2.47482,1.04809
230,2.49786,1.05052
231,2.52884,1.06027
232,2.52884,1.06027
233,2.52604,1.048
234,2.57242,1.04323
235,2.57323,1.05129
236,2.50259,1.04813
237,2.58176,1.04863
238,2.54927,1.05262
239,2.50137,1.06385
240,2.55191,1.04832
241,2.49715,1.04041
242,2.54376,1.06095
243,2.49913,1.05726
244,2.63855,1.05338
245,2.4815,1.046
246,2.50034,1.05333
247,2.50226,1.06231
248,2.523,1.05322
249,2.5397,1.05803
250,2.48172,1.04833
251,2.51767,1.04861
252,2.58977,1.04285
253,2.48273,1.04688
254,2.48273,1.04688
255,2.57756,1.04145
256,2.50665,1.04824
257,2.6411,1.05724
258,2.55064,1.04974
259,2.53102,1.04099
260,2.61689,1.04611
261,2.61689,1.04611
262,2.61689,1.04611
263,2.5055,1.04548
264,2.52896,1.0517
265,2.52896,1.0517
266,2.52896,1.0517
267,2.48792,1.04726
268,2.48792,1.04726
269,2.45939,1.05494
270,2.59277,1.05931
271,2.50853,1.0484
272,2.50853,1.0484
273,2.51047,1.05728
274,2.58705,1.05106
275,2.52981,1.06044
276,2.63699,1.0541
277,2.56081,1.05202
278,2.48353,1.05409
279,2.51063,1.04213
280,2.57859,1.06305
281,2.59951,1.05149
282,2.59951,1.05149
283,2.56313,1.05436
284,2.52539,1.05595
285,2.52539,1.05595
286,2.53316,1.04159
287,2.51135,1.04791
288,2.57343,1.0471
289,2.51474,1.05019
290,2.60629,1.05777
291,2.56689,1.04075
292,2.5988,1.06295
293,2.59959,1.04878
294,2.57874,1.05979
295,2.46125,1.04702
296,2.47451,1.04939
297,2.47451,1.04939
298,2.5051,1.04858
299,2.59669,1.04801
300,2.5563,1.04723
301,2.63011,1.04412
302,2.53041,1.03947
303,2.62557,1.05787
304,2.60077,1.05374
305,2.60077,1.05374
306,2.59635,1.04762
307,2.51047,1.05754
308,2.50068,1.0652
309,2.42643,1.05349
310,2.49531,1.05064
311,2.57543,1.05193
312,2.57543,1.05193
313,2.57543,1.05193
314,2.50106,1.0533
315,2.50106,1.0533
316,2.56851,1.05544
317,2.46356,1.04834
318,2.47492,1.04597
319,2.51029,1.03696
320,2.58281,1.0569
321,2.45403,1.05634
322,2.46357,1.03921
323,2.49604,1.05083
324,2.62211,1.05464
325,2.58766,1.05749
326,2.57545,1.04756
327,2.57545,1.04756
328,2.57545,1.04756
329,2.57545,1.04756
330,2.5243,1.04698
331,2.52649,1.05081
332,2.49806,1.04271
333,2.49806,1.04271
334,2.49806,1.04271
335,2.61446,1.05229
336,2.47447,1.05837
337,2.47447,1.05837
338,2.63379,1.05563
339,2.52305,1.05288
340,2.62426,1.04668
341,2.58845,1.04804
342,2.52657,1.0525
343,2.52657,1.0525
344,2.52657,1.0525
345,2.64356,1.05357
346,2.49966,1.0556
347,2.49966,1.0556
348,2.49966,1.0556
349,2.47455,1.05027
350,2.41844,1.04993
351,2.56371,1.06336
352,2.50129,1.05168
353,2.50129,1.05168
354,2.61866,1.05034
355,2.56167,1.05094
356,2.49617,1.05261
357,2.52955,1.03878
358,2.64085,1.04712
359,2.5259,1.06066
360,2.51755,1.05512
361,2.67004,1.04142
362,2.55279,1.04468
363,2.58328,1.05084
364,2.39722,1.05797
365,2.39722,1.05797
366,2.59927,1.0628
367,2.59927,1.0628
368,2.43169,1.04168
369,2.4757,1.04427
370,2.45372,1.04352
371,2.54983,1.04856
372,2.54983,1.04856
373,2.54983,1.04856
374,2.57358,1.05385
375,2.49495,1.05612
376,2.46263,1.04918
377,2.55842,1.05636
378,2.47502,1.04226
379,2.58613,1.03794
380,2.62752,1.03382
381,2.55141,1.03896
382,2.54395,1.04349
383,2.44752,1.04097
384,2.47548,1.0491
385,2.4992,1.04457
386,2.4992,1.04457
387,2.62891,1.05336
388,2.5,1.04951
389,2.536,1.05261
390,2.5439,1.05362
391,2.5439,1.05362
392,2.58934,1.04722
393,2.54435,1.05701
394,2.54435,1.05701
395,2.58706,1.04721
396,2.45133,1.06006
397,2.50263,1.04966
398,2.51573,1.03944
399,2.54782,1.04945
400,2.59571,1.05824
401,2.49606,1.0442
402,2.52719,1.04869
403,2.56749,1.05073
404,2.527,1.0468
405,2.53769,1.0459
406,2.53688,1.06278
407,2.46745,1.0477
408,2.54614,1.05237
409,2.52779,1.06044
410,2.52779,1.06044
411,2.61247,1.0654
412,2.61247,1.0654
413,2.61247,1.0654
414,2.57439,1.05166
415,2.5237,1.05139
416,2.51445,1.0498
417,2.51445,1.0498
418,2.52845,1.04295
419,2.43797,1.05053
420,2.43797,1.05053
421,2.4878,1.05369
422,2.49798,1.05657
423,2.42986,1.06077
424,2.42986,1.06077
425,2.60676,1.05829
426,2.43609,1.04844
427,2.43609,1.04844
428,2.48973,1.05472
429,2.46666,1.04306
430,2.54274,1.0549
431,2.58614,1.04436
432,2.44631,1.05267
433,2.44653,1.05179
434,2.5519,1.04935
435,2.50431,1.05651
436,2.50431,1.05651
437,2.60984,1.05523
438,2.50866,1.05492
439,2.61654,1.05215
440,2.52922,1.05605
441,2.55326,1.04768
442,2.57747,1.05018
443,2.56877,1.05841
444,2.59533,1.04429
445,2.60784,1.03619
446,2.57663,1.04117
447,2.57663,1.04117
448,2.52893,1.04369
449,2.52893,1.04369
450,2.58869,1.04741
451,2.60031,1.04611
452,2.50611,1.05255
453,2.62938,1.04858
454,2.4681,1.04496
455,2.58024,1.05241
456,2.61759,1.04801
457,2.53443,1.0471
458,2.54532,1.05469
459,2.54532,1.05469
460,2.50011,1.04787
461,2.64898,1.05761
462,2.56491,1.05464
463,2.56491,1.05464
464,2.56916,1.05234
465,2.52891,1.05221
466,2.53716,1.04026
467,2.53716,1.04026
468,2.55209,1.04373
469,2.55209,1.04373
470,2.55209,1.04373
471,2.55209,1.04373
472,2.49519,1.04238
473,2.62467,1.04344
474,2.50807,1.05699
475,2.46363,1.05632
476,2.46363,1.05632
477,2.52651,1.04499
478,2.60973,1.05668
479,2.46665,1.05249
480,2.49181,1.05297
481,2.56534,1.04771
482,2.56534,1.04771
483,2.56083,1.05557
484,2.4724,1.04697
485,2.4724,1.04697
486,2.56921,1.05508
487,2.56921,1.05508
488,2.56921,1.05508
489,2.57661,1.06826
490,2.50611,1.0467
491,2.50611,1.0467
492,2.50611,1.0467
493,2.55537,1.04357
494,2.51267,1.04801
495,2.56213,1.03795
496,2.63115,1.05091
497,2.52579,1.03925
498,2.54412,1.04546
499,2.56273,1.04049
500,2.50648,1.04612
501,2.53451,1.05643
502,2.55836,1.05619
503,2.47514,1.04923
504,2.517,1.0458
505,2.63238,1.04643
506,2.63238,1.04643
507,2.49143,1.04221
508,2.49143,1.04221
509,2.49143,1.04221
510,2.58305,1.04206
511,2.42952,1.03957
512,2.42952,1.03957
513,2.62434,1.04567
514,2.62434,1.04567
515,2.62434,1.04567
516,2.51201,1.04891
517,2.51622,1.05475
518,2.49841,1.04715
519,2.58782,1.04299
520,2.50237,1.03941
521,2.46844,1.0546
522,2.44235,1.06331
523,2.53493,1.04803
524,2.52749,1.05379
525,2.50053,1.05173
526,2.54279,1.0524
527,2.59303,1.05016
528,2.59303,1.05016
529,2.59303,1.05016
530,2.59303,1.05016
531,2.43248,1.04864
532,2.56106,1.04707
533,2.43137,1.0516
534,2.56234,1.05774
535,2.56385,1.05593
536,2.58246,1.04462
537,2.46233,1.04422
538,2.56762,1.05712
539,2.57301,1.05092
540,2.4808,1.05276
541,2.52103,1.05539
542,2.50046,1.05705
543,2.55942,1.05706
544,2.55942,1.05706
545,2.55726,1.05072
546,2.58799,1.04835
547,2.58799,1.04835
548,2.41977,1.05599
549,2.49651,1.0339
550,2.50098,1.05029
551,2.57632,1.04929
552,2.54538,1.04277
553,2.54538,1.04277
554,2.44417,1.05816
555,2.49769,1.0464
556,2.57552,1.0551
557,2.51313,1.04811
558,2.47113,1.05965
559,2.61256,1.04829
560,2.59878,1.05168
561,2.45406,1.04924
562,2.52507,1.04776
563,2.46999,1.06627
564,2.4764,1.04616
565,2.4764,1.04616
566,2.53677,1.04947
567,2.64577,1.04608
568,2.60501,1.06043
569,2.60501,1.06043
570,2.53504,1.05426
571,2.53504,1.05426
572,2.66056,1.05427
573,2.56515,1.04613
574,2.57403,1.05692
575,2.64894,1.05835
576,2.53084,1.05003
577,2.56634,1.04313
578,2.5722,1.05567
579,2.47722,1.04193
580,2.54949,1.05259
581,2.54949,1.05259
582,2.48625,1.03823
583,2.48625,1.03823
584,2.44808,1.04103
585,2.44808,1.04103
586,2.62591,1.05853
587,2.62591,1.05853
588,2.62591,1.05853
589,2.65104,1.04904
590,2.48849,1.04948
591,2.56669,1.04395
592,2.49706,1.04476
593,2.59746,1.04283
594,2.62662,1.05268
595,2.62662,1.05268
596,2.62662,1.05268
597,2.52194,1.05317
598,2.54111,1.04569
599,2.54112,1.0503
600,2.54112,1.0503
601,2.54112,1.0503
602,2.58908,1.04846
603,2.53179,1.04677
604,2.53388,1.06113
605,2.5171,1.0454
606,2.46829,1.04664
607,2.60744,1.04122
608,2.51339,1.05031
609,2.60789,1.05717
610,2.60789,1.05717
611,2.46061,1.05383
612,2.54348,1.05102
613,2.55096,1.04502
614,2.58364,1.05972
615,2.58364,1.05972
616,2.4657,1.05173
617,2.5268,1.05468
618,2.48755,1.0532
619,2.52736,1.05933
620,2.51672,1.0536
621,2.51178,1.04715
622,2.57468,1.04388
623,2.58048,1.05645
624,2.58048,1.05645
625,2.53884,1.0389
626,2.58585,1.04381
627,2.54996,1.05007
628,2.60591,1.04844
629,2.52686,1.04753
630,2.47189,1.04972
631,2.47189,1.04972
632,2.46121,1.04493
633,2.46121,1.04493
634,2.50412,1.04022
635,2.5177,1.04497
636,2.60914,1.04267
637,2.5646,1.0453
638,2.54148,1.04628
639,2.52582,1.05069
640,2.57385,1.05095
641,2.54445,1.04264
642,2.75328,1.03749
643,2.47476,1.04148
644,2.47476,1.04148
645,2.49122,1.0387
646,2.63463,1.04386
647,2.56349,1.05689
648,2.47252,1.0493
649,2.56004,1.04638
650,2.53785,1.04844
651,2.52345,1.05692
652,2.52345,1.05692
653,2.52345,1.05692
654,2.5316,1.0534
655,2.53746,1.04855
656,2.50366,1.04879
657,2.5361,1.05228
658,2.5361,1.05228
659,2.5962,1.04834
660,2.48455,1.04508
661,2.48397,1.05351
662,2.56799,1.0477
663,2.58016,1.05883
664,2.55131,1.05297
665,2.5531,1.0555
666,2.54967,1.04462
667,2.56513,1.04985
668,2.56513,1.04985
669,2.52754,1.0609
670,2.52754,1.0609
671,2.52754,1.0609
672,2.57704,1.05171
673,2.50833,1.04291
674,2.58381,1.05571
675,2.56925,1.04762
676,2.58145,1.04801
677,2.55124,1.056
678,2.53927,1.06332
679,2.48476,1.05541
680,2.48476,1.05541
681,2.52367,1.0505
682,2.52367,1.0505
683,2.52367,1.0505
684,2.46617,1.05562
685,2.53668,1.04345
686,2.61437,1.05001
687,2.57658,1.0514
688,2.53997,1.05231
689,2.60005,1.045
690,2.60005,1.045
691,2.50567,1.04239
692,2.52231,1.04737
693,2.62175,1.04433
694,2.54224,1.04313
695,2.51428,1.05664
696,2.51428,1.05664
697,2.583,1.04695
698,2.55371,1.03606
699,2.5294,1.05346
700,2.52628,1.03673
701,2.52628,1.03673
702,2.57423,1.05511
703,2.49382,1.06302
704,2.49382,1.06302
705,2.52035,1.04929
706,2.48076,1.04981
707,2.47806,1.05741
708,2.47806,1.05741
709,2.60979,1.05055
710,2.56287,1.04827
711,2.59864,1.04237
712,2.59864,1.04237
713,2.57389,1.0465
714,2.57389,1.0465
715,2.57389,1.0465
716,2.53477,1.05511
717,2.61172,1.04884
718,2.65029,1.05488
719,2.54741,1.04709
720,2.54741,1.04709
721,2.59616,1.05886
722,2.56472,1.05131
723,2.59071,1.03745
724,2.57756,1.0483
725,2.50229,1.0539
726,2.63519,1.05609
727,2.56372,1.04654
728,2.47459,1.04125
729,2.52038,1.0509
730,2.52038,1.0509
731,2.52233,1.05197
732,2.50925,1.05068
733,2.60102,1.05874
734,2.53821,1.05535
735,2.51808,1.0384
736,2.48999,1.04473
737,2.51751,1.04958
738,2.52858,1.03467
739,2.52858,1.03467
740,2.50965,1.03198
741,2.56317,1.0447
742,2.65087,1.04625
743,2.65087,1.04625
744,2.6012,1.06233
745,2.53031,1.05396
746,2.53715,1.04508
747,2.57005,1.05242
748,2.52408,1.05729
749,2.54314,1.04346
750,2.58209,1.05021
751,2.43467,1.0466
752,2.51382,1.06166
753,2.60811,1.04723
754,2.52026,1.05451
755,2.52931,1.04388
756,2.48597,1.04057
757,2.48597,1.04057
758,2.48597,1.04057
759,2.58645,1.05594
760,2.57405,1.05132
761,2.6097,1.0525
762,2.5051,1.05203
763,2.5051,1.05203
764,2.64318,1.04457
765,2.62604,1.04607
766,2.44033,1.05704
767,2.57556,1.05698
768,2.48555,1.05323
769,2.5455,1.06428
770,2.60613,1.05687
771,2.55537,1.04706
772,2.61035,1.04937
773,2.61035,1.04937
774,2.55368,1.03506
775,2.50215,1.05834
776,2.5669,1.05346
777,2.59985,1.0535
778,2.59985,1.0535
779,2.57516,1.04908
780,2.63864,1.04135
781,2.63864,1.04135
782,2.55704,1.0527
783,2.56547,1.05405
784,2.55723,1.0448
785,2.52276,1.05447
786,2.52393,1.05671
787,2.49279,1.05136
788,2.48737,1.05793
789,2.49967,1.05126
790,2.51638,1.04701
791,2.48629,1.05759
792,2.48629,1.05759
793,2.50181,1.05803
794,2.5771,1.05853
795,2.5771,1.05853
796,2.5771,1.05853
797,2.60821,1.05365
798,2.46387,1.04716
799,2.55294,1.05189
800,2.4731,1.05036
801,2.45169,1.05053
802,2.58156,1.04536
803,2.56615,1.05578
804,2.59031,1.04341
805,2.58948,1.04403
806,2.56823,1.05622
807,2.57208,1.05717
808,2.60794,1.04625
809,2.60794,1.04625
810,2.49649,1.05147
811,2.53963,1.05194
812,2.54439,1.05583
813,2.51042,1.05989
814,2.54306,1.05522
815,2.54306,1.05522
816,2.55533,1.05989
817,2.56505,1.05832
818,2.59511,1.04259
819,2.63995,1.05412
820,2.53974,1.05156
821,2.48037,1.05413
822,2.6129,1.06111
823,2.53753,1.04232
824,2.53971,1.05224
825,2.53971,1.05224
826,2.50987,1.03998
827,2.60399,1.04992
828,2.53091,1.05191
829,2.49793,1.0442
830,2.54914,1.04306
831,2.50558,1.05348
832,2.59288,1.04893
833,2.45575,1.04985
834,2.45575,1.04985
835,2.52585,1.03861
836,2.54656,1.05187
837,2.55176,1.04572
838,2.45215,1.04728
839,2.61678,1.04377
840,2.51402,1.04239
841,2.57721,1.04283
842,2.54496,1.04566
843,2.54496,1.04566
844,2.54496,1.04566
845,2.66093,1.04951
846,2.53614,1.04173
847,2.53614,1.04173
848,2.43578,1.0603
849,2.43578,1.0603
850,2.43578,1.0603
851,2.51001,1.05557
852,2.51001,1.05557
853,2.45833,1.05688
854,2.588,1.04224
855,2.65884,1.0485
856,2.56472,1.05937
857,2.5543,1.05121
858,2.5543,1.05121
859,2.61051,1.04894
860,2.53163,1.0564
861,2.53163,1.0564
862,2.53163,1.0564
863,2.53163,1.0564
864,2.51547,1.05059
865,2.59873,1.04642
866,2.51209,1.05426
867,2.58462,1.04869
868,2.49257,1.05162
869,2.53335,1.04608
870,2.57719,1.05102
871,2.49725,1.04258
872,2.57245,1.04131
873,2.50833,1.04963
874,2.53911,1.05519
875,2.48669,1.04716
876,2.52257,1.06267
877,2.54783,1.05659
878,2.60728,1.05815
879,2.62432,1.06164
880,2.55654,1.05753
881,2.53709,1.05116
882,2.55917,1.04991
883,2.55917,1.04991
884,2.58487,1.05183
885,2.53309,1.05401
886,2.58493,1.05239
887,2.52829,1.04996
888,2.53618,1.04569
889,2.61019,1.05335
890,2.5971,1.03398
891,2.54087,1.05775
892,2.54087,1.05775
893,2.55424,1.05854
894,2.49346,1.05859
895,2.55421,1.05152
896,2.51537,1.04906
897,2.54819,1.0639
898,2.54819,1.0639
899,2.53929,1.0508
900,2.57938,1.05043
901,2.5051,1.05731
902,2.5051,1.05731
903,2.54812,1.05246
904,2.52114,1.06575
905,2.52114,1.06575
906,2.55297,1.06134
907,2.55297,1.06134
908,2.61307,1.06107
909,2.61307,1.06107
910,2.61307,1.06107
911,2.61307,1.06107
912,2.49186,1.05916
913,2.49186,1.05916
914,2.55068,1.05652
915,2.50973,1.0625
916,2.531,1.05871
917,2.47328,1.04725
918,2.51582,1.04761
919,2.61484,1.05859
920,2.53423,1.04962
921,2.63655,1.03913
922,2.53953,1.04083
923,2.55275,1.06917
924,2.54783,1.06586
925,2.5219,1.04779
926,2.5219,1.04779
927,2.55773,1.04547
928,2.49029,1.04932
929,2.4384,1.04038
930,2.63425,1.0477
931,2.59922,1.05037
932,2.6225,1.0413
933,2.5467,1.0521
934,2.59802,1.06677
935,2.52229,1.0501
936,2.56233,1.04749
937,2.54617,1.04855
938,2.4669,1.05721
939,2.50871,1.0531
940,2.50871,1.0531
941,2.5249,1.0643
942,2.58444,1.04637
943,2.53097,1.05322
944,2.49031,1.05018
945,2.49031,1.05018
946,2.55377,1.04005
947,2.44437,1.04927
948,2.5894,1.04993
949,2.5894,1.04993
950,2.5894,1.04993
951,2.5894,1.04993
952,2.47753,1.05164
953,2.54026,1.04585
954,2.53931,1.03982
955,2.57645,1.06282
956,2.60768,1.06143
957,2.57078,1.04648
958,2.58104,1.03492
959,2.59888,1.04944
960,2.56383,1.0513
961,2.50562,1.0549
962,2.48127,1.04455
963,2.49415,1.04578
964,2.49144,1.04674
965,2.50582,1.0495
966,2.50582,1.0495
967,2.50582,1.0495
968,2.57945,1.03934
969,2.63977,1.05707
970,2.63977,1.05707
971,2.57736,1.05449
972,2.47473,1.05579
973,2.57056,1.05574
974,2.57056,1.05574
975,2.57056,1.05574
976,2.57056,1.05574
977,2.57812,1.03361
978,2.50737,1.04296
979,2.5287,1.04971
980,2.622,1.05493
981,2.53077,1.05671
982,2.58782,1.05582
983,2.51644,1.04427
984,2.51644,1.04427
985,2.54515,1.05811
986,2.54515,1.05811
987,2.5212,1.04824
988,2.55955,1.04316
989,2.46691,1.04543
990,2.56837,1.04846
991,2.58691,1.06051
992,2.58691,1.06051
993,2.46391,1.04614
994,2.46633,1.06047
995,2.57117,1.06198
996,2.57007,1.06401
997,2.51813,1.04944
998,2.51813,1.04944
999,2.51813,1.04944
1000,2.51813,1.04944
1001,2.48375,1.05134
1002,2.50834,1.05126
1003,2.50834,1.05126
1004,2.48342,1.04815
1005,2.53743,1.05867
1006,2.53743,1.05867
1007,2.47047,1.04779
1008,2.52364,1.05413
1009,2.4748,1.05148
1010,2.46344,1.06122
1011,2.52002,1.05143
1012,2.50443,1.04841
1013,2.60299,1.05203
1014,2.60151,1.05671
1015,2.58059,1.04383
1016,2.56757,1.05372
1017,2.56389,1.05568
1018,2.56389,1.05568
1019,2.63351,1.04768
1020,2.57972,1.05996
1021,2.39519,1.05013
1022,2.39519,1.05013
1023,2.46988,1.03599
1024,2.58137,1.04754
1025,2.57497,1.04856
1026,2.54276,1.05486
1027,2.55439,1.04605
1028,2.50189,1.04579
1029,2.53311,1.05517
1030,2.46377,1.06814
1031,2.54436,1.05324
1032,2.55772,1.04976
1033,2.55772,1.04976
1034,2.58423,1.04291
1035,2.50609,1.04795
1036,2.56866,1.04161
1037,2.51207,1.04826
1038,2.5898,1.06196
1039,2.46854,1.05101
1040,2.49602,1.04999
1041,2.49602,1.04999
1042,2.50485,1.05427
1043,2.50485,1.05427
1044,2.4963,1.05663
1045,2.4963,1.05663
1046,2.44874,1.05206
1047,2.50097,1.05142
1048,2.43658,1.04959
1049,2.53041,1.04729
1050,2.53041,1.04729
1051,2.56174,1.04966
1052,2.56329,1.05004
1053,2.57113,1.04827
1054,2.49825,1.04507
1055,2.49825,1.04507
1056,2.5596,1.04571
1057,2.5047,1.05626
1058,2.4891,1.0487
1059,2.4891,1.0487
1060,2.51043,1.05278
1061,2.55071,1.04209
1062,2.63981,1.05565
