MDTU,plaq,Re(det),Im(det),link
1,0.065967,0.0600847,0.0259698,0.208006
2,0.0676178,0.0478227,0.0180015,0.21206
3,0.0398133,0.020357,0.0123098,0.227885
4,0.0488341,0.0415159,0.0221936,0.238074
5,0.0488341,0.0415159,0.0221936,0.238074
6,0.0657194,0.0432201,0.0149503,0.255034
7,0.0410137,0.0176688,0.0112894,0.273943
8,0.0408476,0.0182988,0.0111608,0.283856
9,0.052015,0.0192753,0.00877622,0.263841
10,0.0528778,0.0150367,0.00640981,0.306719
11,0.0477106,0.0131167,0.00575715,0.315132
12,0.0507841,0.0116307,0.00577722,0.301297
13,0.0497632,0.00845831,0.00439825,0.318598
14,0.0497632,0.00845831,0.00439825,0.318598
15,0.0745632,0.0142639,0.00426995,0.336238
16,0.0432738,0.00720764,0.00364323,0.346851
17,0.0432738,0.00720764,0.00364323,0.346851
18,0.0427384,0.00552568,0.00310803,0.335646
19,0.0587964,0.00629111,0.00268038,0.356882
20,0.0493849,0.00436479,0.0020456,0.339148
21,0.0493849,0.00436479,0.0020456,0.339148
22,0.0479604,0.00305668,0.00139318,0.3594
23,0.03097,0.00181725,0.00139359,0.371951
24,0.0463444,0.00314301,0.00143909,0.391986
25,0.0463444,0.00314301,0.00143909,0.391986
26,0.0463444,0.00314301,0.00143909,0.391986
27,0.0523357,0.00243621,0.00104936,0.409767
28,0.0410878,0.00117964,0.000556378,0.410622
29,0.0410878,0.00117964,0.000556378,0.410622
30,0.0410878,0.00117964,0.000556378,0.410622
31,0.042059,0.000658532,0.000363177,0.410754
32,0.0377548,0.000494654,0.000250407,0.419173
33,0.0368315,0.000371694,0.000213781,0.445109
34,0.0687613,0.000620933,0.000195186,0.449949
35,0.0600805,0.000371795,0.000119075,0.471592
36,0.0600805,0.000371795,0.000119075,0.471592
37,0.0384731,0.000148971,7.7056e-05,0.49402
38,0.0382434,0.000128777,6.20497e-05,0.493558
39,0.0395879,0.000135035,6.72996e-05,0.494542
40,0.0531565,6.49257e-05,2.47935e-05,0.537075
41,0.0457523,2.82879e-05,1.10136e-05,0.562611
42,0.0605409,2.26738e-05,7.07023e-06,0.57627
43,0.0484035,7.58092e-06,2.51253e-06,0.608585
44,0.0462393,1.84918e-06,6.04459e-07,0.646691
45,0.041877,3.22886e-07,1.15748e-07,0.689463
46,0.0587927,4.87061e-08,1.12606e-08,0.738408
47,0.0429024,8.97496e-10,2.37569e-10,0.818471
48,0.100282,5.70695e-12,6.48559e-13,0.916773
49,0.0347363,2.76004e-18,7.04005e-19,0.975402
50,0.0251374,3.4329e-22,1.15025e-22,0.970316
51,0.0233517,6.86719e-23,3.24268e-23,0.975145
52,0.0182024,2.2762e-23,1.04353e-23,0.970765
53,0.0266256,8.6827e-24,8.10324e-24,0.979727
54,0.026173,2.30626e-23,9.19428e-24,0.974712
55,0.026173,2.30626e-23,9.19428e-24,0.974712
56,0.0232545,6.13047e-23,1.90845e-23,0.972056
57,0.0222657,2.74188e-23,1.13555e-23,0.975269
58,0.0262705,1.13002e-23,6.55881e-24,0.971493
59,0.0208835,4.18941e-23,1.52895e-23,0.982276
60,0.0205648,1.81739e-23,1.20522e-23,0.982501
61,0.0250696,3.17486e-23,1.00392e-23,0.98163
62,0.0240439,1.00001e-22,3.2292e-23,0.96901
63,0.024021,3.63156e-23,1.87687e-23,0.979198
64,0.024021,3.63156e-23,1.87687e-23,0.979198
65,0.0223377,5.6164e-23,1.45471e-23,0.961461
66,0.0246072,1.58501e-23,7.27699e-24,0.952945
67,0.0173617,2.12175e-23,9.20483e-24,0.967089
68,0.0300536,4.22135e-23,1.59235e-23,0.98126
69,0.0231512,4.94665e-23,1.52325e-23,0.981797
70,0.0227538,2.64308e-23,1.39317e-23,1.00358
71,0.0227538,2.64308e-23,1.39317e-23,1.00358
72,0.0179297,2.84294e-23,7.17429e-24,0.990457
73,0.0179297,2.84294e-23,7.17429e-24,0.990457
74,0.023887,5.59291e-23,2.45672e-23,0.984557
75,0.017645,1.04136e-22,3.62813e-23,0.983508
76,0.0262888,5.83722e-23,1.28763e-23,0.985887
77,0.0262888,5.83722e-23,1.28763e-23,0.985887
78,0.01543,4.23382e-23,2.29615e-23,0.989886
79,0.0257285,4.96626e-23,2.93625e-23,0.981184
80,0.0257285,4.96626e-23,2.93625e-23,0.981184
81,0.0232639,9.63276e-23,3.89708e-23,0.983052
82,0.0232639,9.63276e-23,3.89708e-23,0.983052
83,0.0178089,3.28653e-23,1.62333e-23,0.988042
84,0.0267098,6.28865e-23,2.68976e-23,0.991853
85,0.0233196,9.98331e-24,4.91986e-24,0.995097
86,0.0225836,3.01839e-23,1.24668e-23,0.987029
87,0.0217869,3.22268e-23,1.61592e-23,0.980828
88,0.0217869,3.22268e-23,1.61592e-23,0.980828
89,0.0217869,3.22268e-23,1.61592e-23,0.980828
90,0.0208137,2.31141e-23,1.09116e-23,0.973016
91,0.022762,3.6107e-23,1.44194e-23,0.986362
92,0.0194411,4.20165e-23,1.72494e-23,0.995996
93,0.0194411,4.20165e-23,1.72494e-23,0.995996
94,0.0275152,2.79101e-23,1.89868e-23,0.994946
95,0.0229187,1.94424e-23,7.18782e-24,0.974149
96,0.019545,1.57596e-23,4.28866e-24,0.979892
97,0.0195955,4.03534e-23,1.67634e-23,0.985693
98,0.0220964,2.35217e-23,1.51922e-23,0.964811
99,0.0240715,3.26035e-23,8.89383e-24,0.967077
100,0.0229233,2.51879e-23,9.03137e-24,0.96977
101,0.0229233,2.51879e-23,9.03137e-24,0.96977
102,0.0229233,2.51879e-23,9.03137e-24,0.96977
103,0.0214713,2.44823e-23,9.19741e-24,0.963023
104,0.0282944,5.49918e-23,2.55178e-23,0.977227
105,0.0226635,4.3897e-23,1.65901e-23,0.962989
106,0.0245817,1.31463e-22,8.57934e-23,0.954531
107,0.0248604,7.55841e-23,4.71752e-23,0.963425
108,0.0245568,2.37185e-22,5.45343e-23,0.95954
109,0.0157925,1.35756e-23,4.29886e-24,0.96039
110,0.021639,1.77684e-23,1.05895e-23,0.981067
111,0.0253778,4.90008e-23,2.79567e-23,0.985177
112,0.0211408,5.48135e-23,2.82746e-23,0.969835
113,0.0240004,8.03047e-23,2.72143e-23,0.972529
114,0.0228053,7.49088e-23,4.32949e-23,0.976077
115,0.0226903,5.80112e-23,1.66264e-23,0.971408
116,0.0217277,5.64358e-23,2.31117e-23,0.976137
117,0.0217277,5.64358e-23,2.31117e-23,0.976137
118,0.0217277,5.64358e-23,2.31117e-23,0.976137
119,0.0241181,1.38355e-23,9.01619e-24,0.968846
120,0.0211397,2.34862e-23,9.7419e-24,0.980352
121,0.025855,6.69835e-23,2.66697e-23,0.984608
122,0.0236216,1.46105e-23,7.17032e-24,0.981759
123,0.0258771,2.09036e-23,1.07694e-23,0.977786
124,0.0268691,5.91007e-23,1.64934e-23,0.983208
125,0.0215974,4.46286e-23,1.50092e-23,0.987184
126,0.0215974,4.46286e-23,1.50092e-23,0.987184
127,0.021554,1.38005e-23,7.06556e-24,0.982705
128,0.021554,1.38005e-23,7.06556e-24,0.982705
129,0.025177,4.30951e-23,1.35568e-23,0.99195
130,0.0232621,2.70306e-23,1.80893e-23,1.00169
131,0.0234861,1.62881e-22,4.05422e-23,0.995098
132,0.0223599,1.24454e-22,6.41572e-23,0.982842
133,0.0217831,2.36735e-23,8.1926e-24,0.986603
134,0.018351,3.02807e-23,1.4316e-23,0.99465
135,0.0211862,1.74519e-22,3.87812e-23,0.987888
136,0.0270548,6.09447e-23,1.61722e-23,0.983794
137,0.0229878,2.68922e-23,1.51129e-23,0.990819
138,0.0147414,1.56016e-23,7.33486e-24,0.978615
139,0.0319219,3.96042e-23,2.28316e-23,0.971849
140,0.0236443,7.71136e-24,4.56827e-24,0.964916
141,0.0256985,2.56581e-23,1.07549e-23,0.968587
142,0.0256985,2.56581e-23,1.07549e-23,0.968587
143,0.0170548,4.3631e-23,1.23679e-23,0.965548
144,0.0145051,1.19484e-23,6.98931e-24,0.970813
145,0.0153058,3.528e-23,9.77793e-24,0.977011
146,0.0269009,7.85393e-23,2.13161e-23,0.975461
147,0.0196942,3.54323e-23,1.41268e-23,0.970803
148,0.0207449,4.8803e-23,1.33003e-23,0.962621
149,0.020763,1.60698e-23,1.0522e-23,0.950205
150,0.0259504,1.97091e-23,8.65438e-24,0.960845
151,0.0259504,1.97091e-23,8.65438e-24,0.960845
152,0.0197047,5.216e-23,1.92139e-23,0.974274
153,0.0247073,1.84108e-23,7.58311e-24,0.966374
154,0.0247073,1.84108e-23,7.58311e-24,0.966374
155,0.0210354,2.00804e-23,1.35409e-23,0.981026
156,0.0145048,4.14746e-23,2.13725e-23,0.959028
157,0.0224095,3.22239e-22,1.03636e-22,0.972316
158,0.0185447,3.87007e-23,1.51839e-23,0.969861
159,0.0185447,3.87007e-23,1.51839e-23,0.969861
160,0.0299875,6.85266e-23,2.32966e-23,0.988426
161,0.0196691,2.33941e-23,1.05286e-23,0.974212
162,0.0224416,3.48279e-23,1.44249e-23,0.977403
163,0.0224416,3.48279e-23,1.44249e-23,0.977403
164,0.0224416,3.48279e-23,1.44249e-23,0.977403
165,0.0195426,1.27712e-23,7.17924e-24,0.988319
166,0.0153056,1.93678e-23,7.8231e-24,0.989808
167,0.0227377,5.80945e-23,1.52367e-23,0.977015
168,0.0259022,2.30922e-23,1.56127e-23,0.965544
169,0.0244019,1.63052e-23,9.00201e-24,0.964525
170,0.0223334,2.73238e-23,9.62345e-24,0.971701
171,0.0195176,9.24189e-24,6.11326e-24,0.97183
172,0.0220445,8.00227e-24,4.98412e-24,0.9696
173,0.0249358,5.44926e-23,1.42855e-23,0.977587
174,0.0231917,1.78368e-23,9.40099e-24,0.976304
175,0.0205027,3.88071e-23,1.00703e-23,0.988276
176,0.0195527,4.10038e-23,2.30162e-23,0.973422
177,0.0182735,9.79328e-24,6.02315e-24,0.9843
178,0.0232291,2.52321e-23,6.47893e-24,0.980367
179,0.0212091,3.71792e-23,1.33191e-23,0.991401
180,0.022658,1.47961e-23,6.83439e-24,0.986663
181,0.0170989,1.81104e-23,1.03007e-23,0.983363
182,0.023762,5.27782e-23,1.7833e-23,0.992476
183,0.0198489,5.14692e-23,1.09887e-23,0.986185
184,0.0198489,5.14692e-23,1.09887e-23,0.986185
185,0.0243918,3.29043e-23,2.14044e-23,0.990235
186,0.0243918,3.29043e-23,2.14044e-23,0.990235
187,0.0243918,3.29043e-23,2.14044e-23,0.990235
188,0.0173097,6.57096e-23,2.31651e-23,0.987741
