ReTr(L),ImTr(L)
0.967533,0.188508
0.984075,0.0626677
0.95655,0.223474
0.950208,0.254773
0.950208,0.254773
0.912717,0.368331
0.922542,0.345798
0.900833,0.402698
0.900833,0.402698
0.919067,0.352248
0.919067,0.352248
0.857983,0.483063
0.840042,0.510533
0.814091,0.545933
0.792224,0.585625
0.783265,0.59556
0.783265,0.59556
0.751951,0.630763
0.861842,0.473201
0.821432,0.543758
0.821432,0.543758
0.821432,0.543758
0.82403,0.535387
0.849658,0.493546
0.825369,0.532787
0.825369,0.532787
0.880492,0.440947
0.88295,0.440012
0.863425,0.478168
0.863425,0.478168
0.778513,0.60345
0.821677,0.540001
0.894325,0.410167
0.819738,0.541663
0.843667,0.508483
0.843667,0.508483
0.8573,0.483961
0.794798,0.580852
0.794798,0.580852
0.794798,0.580852
0.853083,0.492063
0.911042,0.372003
0.93185,0.318814
0.957467,0.231443
0.978967,0.0982725
0.984017,-0.0312569
0.984017,-0.0312569
0.982417,0.0599028
0.980392,0.109433
0.966317,0.190367
0.944917,0.280268
0.87765,0.446261
0.886092,0.434777
0.877675,0.449321
0.877675,0.449321
0.80311,0.566558
0.723868,0.667865
0.792977,0.585732
0.764216,0.618849
0.85695,0.485961
0.8416,0.511781
0.80108,0.57354
0.771768,0.608447
0.820775,0.543043
0.804698,0.559806
0.862783,0.475267
0.860333,0.476566
0.819252,0.54243
0.720606,0.668663
0.665293,0.724956
0.655385,0.733139
0.646542,0.744578
0.646346,0.749043
0.587597,0.788897
0.578107,0.79623
0.578107,0.79623
0.43632,0.884217
0.447897,0.879375
0.410888,0.894117
0.410888,0.894117
0.352852,0.915492
0.471812,0.862183
0.470513,0.867142
0.39944,0.9014
0.371558,0.911017
0.320352,0.929633
0.320352,0.929633
0.320352,0.929633
0.320352,0.929633
0.273215,0.944025
0.242502,0.957392
0.129178,0.975792
0.0119043,0.986133
0.0119043,0.986133
0.0636734,0.982342
0.187,0.965808
0.187,0.965808
0.209671,0.961025
0.281675,0.944317
0.363826,0.913542
0.39525,0.903375
0.385873,0.9042
0.413587,0.892767
0.443006,0.876833
0.443006,0.876833
0.544092,0.822246
0.634009,0.75462
0.587438,0.791578
0.587438,0.791578
0.454885,0.87545
0.497027,0.851825
0.557355,0.811226
0.557355,0.811226
0.529652,0.827768
0.642779,0.743181
0.54404,0.824055
0.54404,0.824055
0.460493,0.871867
0.478899,0.862583
0.560345,0.81007
0.616938,0.765925
0.739573,0.652533
0.747152,0.638115
0.806783,0.568933
0.802803,0.568522
0.73419,0.654195
0.72295,0.670538
0.688427,0.698782
0.631862,0.751476
0.601693,0.779661
0.569098,0.803647
0.542489,0.823727
0.545802,0.81975
0.603677,0.774545
0.603677,0.774545
0.603677,0.774545
0.631876,0.757009
0.614592,0.770383
0.64148,0.746626
0.64148,0.746626
0.64148,0.746626
0.64148,0.746626
0.679289,0.712891
0.565846,0.809312
0.586545,0.792414
0.586545,0.792414
0.667794,0.727185
0.667898,0.724309
0.777328,0.606994
0.791342,0.590655
0.791342,0.590655
0.861517,0.477178
0.853883,0.492194
0.853883,0.492194
0.877575,0.44691
0.860767,0.477024
0.804071,0.568668
0.86645,0.467166
0.931008,0.32235
0.943167,0.285189
0.905967,0.389012
0.924108,0.34382
0.924108,0.34382
0.876833,0.440526
0.877425,0.445619
0.929233,0.324862
0.929233,0.324862
0.97245,0.156241
0.97245,0.156241
0.972525,0.138907
0.983417,0.0747135
0.98125,0.0825213
0.98125,0.0825213
0.985425,0.0160734
0.984783,0.0206473
0.981383,0.102001
0.980125,0.0904058
0.960983,0.215514
0.905033,0.382758
0.811658,0.558854
0.696198,0.691657
0.681561,0.702582
0.720705,0.668917
0.795889,0.574752
0.905508,0.388792
0.915,0.367614
0.922392,0.347806
0.938933,0.293926
0.98275,0.0550791
0.98275,0.0550791
0.9859,0.0243102
0.98195,-0.0651672
0.973192,-0.109889
0.981725,0.0711188
0.986825,0.0278327
0.981,-0.104108
0.985275,-0.0177224
0.981775,0.0716224
0.982967,0.0476326
0.97975,0.0931867
0.974575,0.134855
0.955417,0.228413
0.955417,0.228413
0.958367,0.225917
0.955467,0.244176
0.954717,0.240339
0.914733,0.361377
0.898242,0.399133
0.898242,0.399133
0.915575,0.363071
0.924092,0.336248
0.937,0.309376
0.962158,0.20754
0.962158,0.20754
0.962158,0.20754
0.982442,0.0327897
0.982442,0.0327897
0.976067,0.133157
0.973892,0.142198
0.957033,0.222311
0.930625,0.326922
0.94025,0.29166
0.944658,0.279647
0.9537,0.241061
0.9684,0.178039
0.945717,0.263437
0.9527,0.247999
0.923358,0.33684
0.94785,0.271828
0.96435,0.200704
0.96435,0.200704
0.980558,0.0985225
0.9841,0.0495153
0.986367,0.016637
0.96745,-0.181371
0.954733,-0.245156
0.962183,-0.218523
0.919875,-0.344421
0.900775,-0.398282
0.789708,-0.585728
0.830045,-0.526476
0.830045,-0.526476
0.857542,-0.488907
0.832298,-0.522973
0.780533,-0.602063
0.859758,-0.478602
0.859758,-0.478602
0.786787,-0.593025
0.788549,-0.588922
0.837667,-0.516012
0.872633,-0.451872
0.836167,-0.522648
0.822988,-0.537881
0.822988,-0.537881
0.85555,-0.489222
0.85555,-0.489222
0.854425,-0.493001
0.854425,-0.493001
0.843783,-0.510653
0.833875,-0.518893
0.821316,-0.541589
0.821316,-0.541589
0.864567,-0.472728
0.8386,-0.520452
0.8386,-0.520452
0.8386,-0.520452
0.8638,-0.469353
0.862767,-0.469959
0.745739,-0.638095
0.731228,-0.664475
0.793368,-0.584646
0.807535,-0.558859
0.79209,-0.585271
0.775916,-0.605783
0.821734,-0.542192
0.797717,-0.575366
0.815579,-0.548061
0.826797,-0.5314
0.9086,-0.379708
0.9086,-0.379708
0.88835,-0.431355
0.81531,-0.552905
0.81531,-0.552905
0.770815,-0.611466
0.812655,-0.553439
0.889225,-0.421511
0.889225,-0.421511
0.933125,-0.313953
0.874558,-0.460372
0.867592,-0.472573
0.849475,-0.495266
0.843658,-0.509644
0.8542,-0.489875
0.85515,-0.491783
0.830464,-0.533225
0.778637,-0.604992
0.721612,-0.673214
0.805309,-0.571275
0.661771,-0.731015
0.650932,-0.740652
0.609907,-0.775486
0.652355,-0.739073
0.652355,-0.739073
0.677396,-0.714904
0.677396,-0.714904
0.616871,-0.767695
0.639853,-0.753728
0.554509,-0.818265
0.613692,-0.770618
0.485461,-0.857467
0.463581,-0.869658
0.463581,-0.869658
0.476621,-0.862325
0.486573,-0.854508
0.486573,-0.854508
0.480764,-0.858375
0.436308,-0.885267
0.446244,-0.877442
0.446244,-0.877442
0.446244,-0.877442
0.45533,-0.872608
0.425649,-0.883442
0.425649,-0.883442
0.589734,-0.785642
0.699492,-0.691042
0.7385,-0.648635
0.795375,-0.578958
0.755572,-0.631534
0.746718,-0.64611
0.675417,-0.715982
0.760776,-0.626232
0.612206,-0.769502
0.643885,-0.746371
0.643885,-0.746371
0.685055,-0.709363
0.645617,-0.743428
0.66779,-0.722438
0.585814,-0.792072
0.585814,-0.792072
0.608073,-0.775367
0.594073,-0.784382
0.606957,-0.777181
0.606957,-0.777181
0.474267,-0.864442
0.578935,-0.797792
0.58958,-0.788665
0.604634,-0.774142
0.601811,-0.782608
0.517468,-0.838425
0.517468,-0.838425
0.540489,-0.821817
0.571216,-0.801973
0.539645,-0.825909
0.51265,-0.841417
0.599442,-0.780374
0.599442,-0.780374
0.738037,-0.65111
0.738037,-0.65111
0.74101,-0.645599
0.850783,-0.503416
0.855858,-0.489202
0.855858,-0.489202
0.828372,-0.535592
0.870417,-0.457633
0.870417,-0.457633
0.907933,-0.383928
0.8905,-0.412459
0.906442,-0.384738
0.906442,-0.384738
0.944558,-0.281803
0.953508,-0.250756
0.975233,-0.137246
0.973592,-0.145143
0.973592,-0.145143
0.973592,-0.145143
0.973333,-0.156867
0.956167,-0.234927
0.930242,-0.326321
0.924017,-0.348356
0.94205,-0.278272
0.970492,-0.159989
0.94835,-0.263724
0.958,-0.22053
0.934708,-0.312054
0.857533,-0.484249
0.860242,-0.476241
0.819623,-0.542308
0.774259,-0.606199
0.781077,-0.598838
0.865592,-0.466512
0.921167,-0.349337
0.90675,-0.387907
0.910925,-0.368641
0.920525,-0.342162
0.924633,-0.349383
0.951367,-0.257103
0.957092,-0.24415
0.956267,-0.232237
0.946308,-0.27523
0.945908,-0.273938
0.906108,-0.386545
0.833221,-0.527063
0.901417,-0.402686
0.890342,-0.4171
0.945242,-0.274667
0.945242,-0.274667
0.947708,-0.269398
0.947708,-0.269398
0.948875,-0.271751
0.952667,-0.256133
0.899775,-0.408741
0.899775,-0.408741
0.935908,-0.308909
0.954233,-0.246518
0.955025,-0.235668
0.976458,-0.130133
0.974033,-0.162011
0.98455,-0.0373219
0.98455,-0.0373219
0.976658,-0.131988
0.982183,-0.0318039
0.979875,-0.109063
0.9809,-0.0887242
0.9809,-0.0887242
0.983033,0.00581831
0.979333,0.0626694
0.979333,0.0626694
0.96025,-0.208338
0.944267,-0.266869
0.965908,-0.197594
0.957483,-0.218366
0.962567,-0.210595
0.92575,-0.335134
0.954083,-0.241757
0.95255,-0.242232
0.985325,-0.0351421
0.983908,0.0222164
0.98495,0.0152767
0.977658,0.116699
0.977658,0.116699
0.976783,0.111494
0.984392,0.0340511
0.9807,-0.0989242
0.967725,-0.187993
0.978825,-0.101486
0.944192,-0.280039
0.944192,-0.280039
0.970592,-0.179531
0.951367,-0.261965
0.93495,-0.311773
0.9127,-0.366179
0.908925,-0.379839
0.862683,-0.479716
0.850292,-0.496438
0.850858,-0.500733
0.9375,-0.305773
0.924525,-0.336747
0.894367,-0.409281
0.926533,-0.335629
0.961917,-0.223471
0.952725,-0.252963
0.944108,-0.280741
0.944108,-0.280741
0.937958,-0.291829
0.911533,-0.376289
0.9016,-0.400062
0.9016,-0.400062
0.918983,-0.361328
0.918983,-0.361328
0.963442,-0.212358
0.966417,-0.203582
0.957508,-0.235219
0.985008,-0.036968
0.969267,-0.172258
0.967517,-0.188421
0.967517,-0.188421
0.967517,-0.188421
0.967517,-0.188421
0.959892,-0.218887
0.941892,-0.277017
0.902425,-0.393072
0.898983,-0.397652
0.89495,-0.41183
0.932508,-0.318413
0.929433,-0.324357
0.929433,-0.324357
0.898433,-0.395217
0.898433,-0.395217
0.888567,-0.420384
0.879033,-0.432173
0.931133,-0.327592
0.931133,-0.327592
0.933425,-0.312145
0.894417,-0.414355
0.894417,-0.414355
0.915142,-0.365087
0.933125,-0.313026
0.933125,-0.313026
0.9217,-0.342062
0.955758,-0.245613
0.950733,-0.246859
0.950492,-0.256941
0.950492,-0.256941
0.972608,-0.152658
0.956658,-0.228198
0.970325,-0.171525
0.962,-0.217082
0.9721,-0.144987
0.9721,-0.144987
0.97475,-0.129128
0.937733,-0.292798
0.966358,-0.196619
0.966358,-0.196619
0.978833,-0.116838
0.978833,-0.116838
0.977942,-0.114638
0.972117,-0.153482
0.97565,-0.12166
0.985558,-0.0568068
0.979217,-0.0746491
0.983008,-0.043717
0.980933,-0.0922467
0.983442,-0.0682424
0.986108,-0.0225827
0.981242,-0.0962225
0.972892,-0.143844
0.984092,0.0269069
0.982258,0.0863275
0.982258,0.0863275
0.982258,0.0863275
0.968767,0.165509
0.981908,0.0449608
0.9832,0.0200123
0.981142,0.0614111
0.975308,0.126987
0.95315,0.251956
0.922933,0.341821
0.959225,0.222511
0.914567,0.363359
0.889075,0.418031
0.927917,0.330209
0.927917,0.330209
0.9252,0.341112
0.9252,0.341112
0.918633,0.356793
0.931058,0.330014
0.931058,0.330014
0.931058,0.330014
0.931058,0.330014
0.949142,0.275504
0.943083,0.274115
0.960667,0.212848
0.960667,0.212848
0.984342,0.0473986
0.981283,0.100013
0.981283,0.100013
0.977225,0.132302
0.983358,0.0791151
0.979408,0.116586
0.96525,0.203886
0.954658,0.247042
0.886133,0.427806
0.926475,0.339861
0.890242,0.418734
0.922608,0.348425
0.896075,0.410473
0.879125,0.447861
0.842633,0.509389
0.831292,0.528952
0.929208,0.324206
0.929208,0.324206
0.89745,0.402469
0.9461,0.273012
0.950167,0.254148
0.955533,0.2404
0.955533,0.2404
0.980117,0.100712
0.98385,-0.0507703
0.9815,0.062995
0.9753,0.131993
0.9753,0.131993
0.96805,0.186463
0.96805,0.186463
0.964225,0.196461
0.9699,0.164426
0.9699,0.164426
0.971283,0.165838
0.927117,0.325136
0.965267,0.197794
0.969425,0.184826
0.956575,0.232348
0.961633,0.210193
0.9858,0.0163443
0.9858,0.0163443
0.980792,-0.0749677
0.980792,-0.0749677
0.984492,-0.0369607
0.948092,-0.263183
0.948092,-0.263183
0.928542,-0.326838
0.928542,-0.326838
0.926433,-0.322438
0.927783,-0.329798
0.948158,-0.268033
0.952917,-0.249801
0.927875,-0.330968
0.943858,-0.281781
0.889575,-0.425802
0.92105,-0.348494
0.883925,-0.437001
0.899675,-0.403732
0.948058,-0.275237
0.970533,-0.180459
0.95365,-0.245726
0.95365,-0.245726
0.946217,-0.282413
0.89645,-0.408993
0.895975,-0.414002
0.847875,-0.497908
0.849433,-0.502296
0.849433,-0.502296
0.8438,-0.505273
0.846408,-0.505388
0.768772,-0.617539
0.742944,-0.650586
0.776908,-0.607963
0.759245,-0.626323
0.779883,-0.599016
0.757677,-0.62427
0.8847,-0.427657
0.86425,-0.477758
0.86425,-0.477758
0.802358,-0.570623
0.840808,-0.511227
0.812634,-0.551157
0.83955,-0.511072
0.83955,-0.511072
0.83955,-0.511072
0.789811,-0.589089
0.915325,-0.356898
0.917958,-0.357537
0.901533,-0.397066
0.872508,-0.456493
0.913575,-0.367943
0.903258,-0.395959
0.911017,-0.374445
0.899367,-0.403768
0.930725,-0.328992
0.92655,-0.341096
0.914325,-0.367561
0.92075,-0.342788
0.92075,-0.342788
0.949317,-0.265437
0.978817,-0.0962825
0.957417,-0.233186
0.973058,-0.157597
0.940817,-0.286573
0.914417,-0.369949
0.950108,-0.265232
0.940725,-0.28609
0.975442,-0.132147
0.9742,-0.169266
0.973675,-0.145959
0.974625,-0.149361
0.981142,-0.072173
0.984117,-0.0464948
0.985275,0.0397413
0.984617,-0.0305929
0.983567,-0.000492568
0.983567,-0.000492568
0.984442,-0.0277856
0.984442,-0.0277856
0.980125,-0.106742
0.974617,-0.156355
0.981142,-0.0508325
0.984875,0.0519817
0.982483,-0.0298878
0.982483,-0.0298878
0.980592,0.09047
0.981158,0.0983767
0.9829,0.0772972
0.9829,0.0772972
0.982483,0.0897742
0.963842,0.203571
0.96025,0.204009
0.928317,0.337081
0.897133,0.408912
0.873583,0.455818
0.828247,0.5315
0.782383,0.599516
0.750568,0.634408
0.804788,0.568841
0.790985,0.586056
0.811667,0.563483
0.809699,0.563133
0.733851,0.660336
0.786422,0.590445
0.771094,0.610367
0.788367,0.590571
0.757375,0.629374
0.775196,0.607337
0.885658,0.428951
0.885583,0.430646
0.8416,0.512766
0.940233,0.302862
0.944375,0.282732
0.946917,0.26978
0.9639,0.206218
0.95545,0.252802
0.902992,0.395453
0.976042,0.146172
0.9593,0.21779
0.9603,0.227431
0.9603,0.227431
0.9603,0.227431
0.949108,0.271692
0.951108,0.257124
0.948958,0.266421
0.96585,0.202502
0.96585,0.202502
0.949425,0.251352
0.958492,0.232848
0.926817,0.336074
0.901217,0.397647
0.856258,0.479888
0.857567,0.485718
0.787777,0.592308
0.680973,0.710845
0.703226,0.69294
0.703226,0.69294
0.614996,0.772197
0.619842,0.764608
0.45961,0.870925
0.341234,0.924592
0.319733,0.93225
0.387268,0.906342
0.387268,0.906342
0.200295,0.964625
0.162437,0.974483
0.206973,0.964592
0.281873,0.942642
0.271237,0.946525
0.271237,0.946525
0.346001,0.919208
0.15918,0.973558
0.382456,0.908133
0.390902,0.904967
0.427757,0.886925
0.430995,0.882783
0.430995,0.882783
0.430995,0.882783
0.262718,0.949833
0.266898,0.946275
0.277711,0.944108
0.182363,0.9671
0.0884642,0.981558
0.0884642,0.981558
0.0884642,0.981558
0.0191105,0.985992
0.0191105,0.985992
-0.0208597,0.984908
0.00254507,0.984975
0.103203,0.976633
-0.01368,0.982508
0.0302315,0.984525
-0.0211448,0.9837
-0.0956192,0.980358
-0.143753,0.972317
-0.118018,0.978042
-0.18771,0.96715
-0.106408,0.97965
-0.106408,0.97965
-0.130518,0.975567
-0.113775,0.975883
-0.213534,0.961433
-0.332408,0.92785
-0.333143,0.928892
-0.466133,0.867333
-0.60774,0.772742
-0.54913,0.816895
-0.54913,0.816895
-0.421259,0.893317
-0.505957,0.848425
-0.599402,0.782807
-0.649396,0.742753
-0.649396,0.742753
-0.647254,0.744502
-0.661746,0.73248
-0.634738,0.754087
-0.720161,0.67271
-0.719162,0.672886
-0.719162,0.672886
-0.733952,0.65622
-0.756405,0.631263
-0.756405,0.631263
-0.813874,0.556557
-0.811472,0.557793
-0.882467,0.43221
-0.968833,0.145033
-0.974167,0.134938
-0.98575,0.01955
-0.983883,-0.0133536
-0.969333,0.178153
-0.969333,0.178153
-0.969333,0.178153
-0.944733,0.282509
-0.930217,0.324986
-0.93345,0.317261
-0.919767,0.353204
-0.928492,0.328754
-0.920508,0.347643
-0.944867,0.282302
-0.943842,0.283442
-0.943842,0.283442
-0.943842,0.283442
-0.954067,0.240507
-0.925483,0.332423
-0.925483,0.332423
-0.963008,0.206863
-0.984133,0.0027839
-0.985983,0.00196143
-0.985267,-0.0387962
-0.985317,-0.0848508
-0.983775,-0.0397242
-0.973875,-0.128458
-0.973875,-0.128458
-0.9637,-0.205064
-0.96385,-0.208679
-0.980758,-0.0938725
-0.9841,-0.0641819
-0.979267,-0.132282
-0.985267,-0.0651562
-0.984775,-0.0294348
-0.984775,-0.0294348
-0.982608,-0.08184
-0.98345,0.00291348
-0.9818,0.00350555
-0.984475,-0.0225456
-0.983725,0.0285667
-0.981492,0.0937975
-0.981492,0.0937975
-0.966575,0.185896
-0.9325,0.326111
-0.9325,0.326111
-0.920675,0.348862
-0.921133,0.348172
-0.9279,0.325527
-0.901017,0.392087
-0.918075,0.35828
-0.885933,0.428739
-0.885933,0.428739
-0.839108,0.517377
-0.801956,0.569999
-0.854275,0.489415
-0.868233,0.463919
-0.868233,0.463919
-0.758497,0.624938
-0.758497,0.624938
-0.758497,0.624938
-0.74454,0.643003
-0.748691,0.636772
-0.720948,0.669936
-0.720948,0.669936
-0.597383,0.780523
-0.613602,0.769278
-0.580318,0.797418
-0.476334,0.864567
-0.476334,0.864567
-0.543149,0.823837
-0.495018,0.851408
-0.543694,0.820557
-0.466837,0.865408
-0.466837,0.865408
-0.490121,0.855058
-0.594618,0.787038
-0.550527,0.815286
-0.667538,0.723813
-0.639801,0.750859
-0.67599,0.717332
-0.805901,0.566246
-0.835692,0.519384
-0.849667,0.493543
-0.785413,0.596647
-0.819703,0.547816
-0.838467,0.518301
-0.8431,0.507435
-0.940933,0.29007
-0.945467,0.275106
-0.945467,0.275106
-0.914633,0.361508
-0.936625,0.299001
-0.936625,0.299001
-0.9681,0.182157
-0.962467,0.205059
-0.97035,0.165242
-0.962667,0.210717
-0.974708,0.144753
-0.974708,0.144753
-0.968525,0.171651
-0.965833,0.19311
-0.971642,0.143623
-0.971642,0.143623
-0.980058,0.0593127
-0.966433,0.186986
-0.974725,0.150881
-0.9575,0.229497
-0.918158,0.354164
-0.842542,0.509085
-0.914908,0.368399
-0.9239,0.346924
-0.916767,0.36014
-0.916767,0.36014
-0.956817,0.239157
-0.956817,0.239157
-0.956817,0.239157
-0.976017,0.144825
-0.956167,0.233976
-0.948158,0.268638
-0.955908,0.240844
-0.9172,0.362383
-0.912233,0.37361
-0.934858,0.313129
-0.93815,0.298282
-0.925058,0.340105
-0.898317,0.408133
-0.898317,0.408133
-0.9054,0.390918
-0.932633,0.319025
-0.951833,0.244488
-0.971725,0.153736
-0.969158,0.17698
-0.9754,0.140992
-0.969608,0.183447
-0.984583,0.0544563
-0.978483,0.117959
-0.9598,0.214776
-0.951992,0.256947
-0.93225,0.322016
-0.97515,0.142778
-0.978183,0.134057
-0.975933,0.129682
-0.982567,-0.0245558
-0.981692,0.0230516
-0.981358,0.0852108
-0.985675,0.0590388
-0.984767,-0.0101277
-0.98525,0.0355862
-0.986275,-0.00160937
-0.986275,-0.00160937
-0.98515,0.039233
-0.98515,0.039233
-0.981142,0.0794051
-0.981142,0.0794051
-0.980192,0.0960733
-0.980142,0.110736
-0.967525,0.192845
-0.976092,0.136993
-0.974883,0.145484
-0.974883,0.145484
-0.929325,0.332313
-0.933042,0.316436
-0.919742,0.356104
-0.919742,0.356104
-0.946892,0.274955
-0.968867,0.191045
-0.970608,0.174497
-0.975383,0.138492
-0.97115,0.149648
-0.975958,0.117517
-0.966467,0.199644
-0.963267,0.198383
-0.970117,0.167932
-0.9858,0.0424904
-0.9858,0.0424904
-0.9858,0.0424904
-0.9858,0.0424904
-0.981075,0.0799648
-0.972075,0.130827
-0.9747,0.136205
-0.984258,0.0535871
-0.9808,0.0235263
-0.969933,0.179138
-0.967233,0.193002
-0.9629,0.192157
-0.9286,0.33053
-0.9286,0.33053
-0.952775,0.239321
-0.939283,0.290803
-0.942325,0.286776
-0.969625,0.18527
-0.936608,0.301815
-0.936608,0.301815
-0.936608,0.301815
-0.961867,0.204117
-0.956317,0.222158
-0.915517,0.365945
-0.915517,0.365945
-0.915517,0.365945
-0.887583,0.428516
-0.814929,0.553933
-0.844183,0.498404
-0.882767,0.43728
-0.882767,0.43728
-0.913775,0.368589
-0.892225,0.418611
-0.892225,0.418611
-0.87045,0.460158
-0.787705,0.592897
-0.786305,0.594716
-0.786305,0.594716
-0.760109,0.623123
-0.754723,0.632728
-0.663977,0.72782
-0.668762,0.722934
-0.647184,0.744246
-0.635184,0.755273
-0.601682,0.784548
-0.727386,0.669517
-0.55717,0.814862
-0.514608,0.839175
-0.484567,0.854325
-0.552829,0.813828
-0.448537,0.877242
-0.47807,0.858975
-0.40834,0.898575
-0.448809,0.87685
-0.471792,0.862617
-0.272463,0.942317
-0.237385,0.955033
-0.182646,0.969817
-2.83741e-05,0.983608
-0.0951942,0.979383
-0.0951942,0.979383
-0.237926,0.956067
-0.237166,0.955092
-0.195999,0.963992
-0.153227,0.973608
-0.288282,0.9441
-0.288282,0.9441
-0.288282,0.9441
-0.296739,0.939767
-0.296739,0.939767
-0.296739,0.939767
-0.247518,0.956892
-0.247518,0.956892
-0.268095,0.948625
-0.253382,0.95155
-0.356259,0.9186
-0.485148,0.857025
-0.485148,0.857025
-0.515532,0.836992
-0.477467,0.860558
-0.505295,0.843125
-0.420269,0.887908
-0.486368,0.85535
-0.357523,0.913175
-0.284494,0.942058
-0.130106,0.974083
-0.210692,0.961433
-0.184941,0.968642
-0.217669,0.963033
-0.373031,0.909233
-0.3792,0.905892
-0.277816,0.946658
-0.134227,0.976375
-0.134227,0.976375
-0.0791186,0.983058
-0.0506924,0.984075
0.0192016,0.98725
0.127701,0.977875
0.0650955,0.984117
-0.0127808,0.982783
-0.0412878,0.9804
-0.060726,0.983317
-0.00285697,0.983975
-0.0315471,0.984133
0.0160469,0.985183
-0.031014,0.985783
-0.031014,0.985783
0.0525245,0.97945
0.0525245,0.97945
0.0525245,0.97945
0.0298108,0.984208
0.00119789,0.981325
-0.037868,0.979158
-0.037868,0.979158
-0.037868,0.979158
-0.037868,0.979158
