MDTU,min_ave,max_ave
1,-0.0581806,0.0582215
2,-0.0677078,0.0530518
3,-0.0685611,0.0418888
4,-0.0594587,0.05578
5,-0.0594587,0.05578
6,-0.064444,0.0505385
7,-0.0692367,0.0472996
8,-0.0616565,0.0542513
9,-0.0616565,0.0542513
10,-0.0625435,0.0475137
11,-0.0625435,0.0475137
12,-0.0645895,0.0514216
13,-0.0751183,0.0474122
14,-0.060176,0.0509258
15,-0.0643862,0.0464749
16,-0.0695004,0.0500866
17,-0.0695004,0.0500866
18,-0.0767673,0.0419679
19,-0.08046,0.0436786
20,-0.0660668,0.0485525
21,-0.0660668,0.0485525
22,-0.0660668,0.0485525
23,-0.0741844,0.0359593
24,-0.0824099,0.0348411
25,-0.0878002,0.0389602
26,-0.0878002,0.0389602
27,-0.0828607,0.0366999
28,-0.0847538,0.0349026
29,-0.0921387,0.0326972
30,-0.0921387,0.0326972
31,-0.0933682,0.0351718
32,-0.084916,0.0292177
33,-0.0835527,0.0290408
34,-0.0803929,0.0307246
35,-0.0767089,0.0429169
36,-0.0767089,0.0429169
37,-0.0759993,0.0420466
38,-0.0765845,0.0449322
39,-0.0765845,0.0449322
40,-0.0765845,0.0449322
41,-0.0769634,0.0358142
42,-0.0699901,0.0447067
43,-0.0711906,0.0439278
44,-0.0677613,0.0429969
45,-0.0655142,0.043165
46,-0.0638175,0.0490136
47,-0.0638175,0.0490136
48,-0.0646871,0.0554728
49,-0.0548314,0.0622818
50,-0.0612191,0.0555612
51,-0.0636349,0.0506602
52,-0.0708574,0.0485798
53,-0.067157,0.053519
54,-0.072353,0.047906
55,-0.072353,0.047906
56,-0.0675053,0.0525222
57,-0.0696891,0.0495444
58,-0.0699092,0.0478635
59,-0.0665988,0.0453257
60,-0.0688201,0.0529503
61,-0.0673686,0.052491
62,-0.0678898,0.0490608
63,-0.0647424,0.0536813
64,-0.0603608,0.0523994
65,-0.0698595,0.0454413
66,-0.0761904,0.0466456
67,-0.0592161,0.0492024
68,-0.0622599,0.0542742
69,-0.0625633,0.0551025
70,-0.0638357,0.0575088
71,-0.0694249,0.0486898
72,-0.0666298,0.0523684
73,-0.0741184,0.0514442
74,-0.0565035,0.0514863
75,-0.0671653,0.0515442
76,-0.0671653,0.0515442
77,-0.0631402,0.0527727
78,-0.0606868,0.0589025
79,-0.0651756,0.0529104
80,-0.0651756,0.0529104
81,-0.0684892,0.0453468
82,-0.0708583,0.0538668
83,-0.0728134,0.0543072
84,-0.0685013,0.04757
85,-0.0687304,0.0490488
86,-0.0688496,0.0505429
87,-0.0688496,0.0505429
88,-0.0688496,0.0505429
89,-0.0688496,0.0505429
90,-0.0683435,0.0493895
91,-0.071674,0.0556469
92,-0.0797734,0.0412441
93,-0.0808201,0.0361269
94,-0.0808201,0.0361269
95,-0.0789697,0.0365368
96,-0.0804611,0.0385641
97,-0.0804611,0.0385641
98,-0.087967,0.0337125
99,-0.0761695,0.0365149
100,-0.0866639,0.0361959
101,-0.0845462,0.0345312
102,-0.0897308,0.034005
103,-0.0886518,0.0442824
104,-0.0841241,0.0302369
105,-0.0841241,0.0302369
106,-0.0821318,0.0359838
107,-0.0877394,0.039148
108,-0.0915037,0.0326583
109,-0.0915037,0.0326583
110,-0.0881103,0.0354097
111,-0.0886666,0.0390786
112,-0.0881209,0.0376272
113,-0.0881209,0.0376272
114,-0.0754344,0.0409944
115,-0.075699,0.0361791
116,-0.0817521,0.0389441
117,-0.0817521,0.0389441
118,-0.0771142,0.0455402
119,-0.0738808,0.0402957
120,-0.0733917,0.049758
121,-0.0806153,0.0363648
122,-0.0780504,0.041728
123,-0.0824571,0.0422611
124,-0.0801752,0.0426921
125,-0.0809074,0.0400694
126,-0.0822598,0.0411114
127,-0.0745212,0.0407386
128,-0.0704831,0.0462705
129,-0.0615528,0.0451859
130,-0.0650382,0.0526274
131,-0.058641,0.0533298
132,-0.0656684,0.0507779
133,-0.0668713,0.0439751
134,-0.0644639,0.047292
135,-0.0644639,0.047292
136,-0.0644639,0.047292
137,-0.0685395,0.0490981
138,-0.0697858,0.0507023
139,-0.0624799,0.0569622
140,-0.0624799,0.0569622
141,-0.0624799,0.0569622
142,-0.0624799,0.0569622
143,-0.062815,0.0556145
144,-0.0663277,0.0601305
145,-0.062845,0.059153
146,-0.062845,0.059153
147,-0.0604904,0.0548191
148,-0.0639685,0.049532
149,-0.0621769,0.0566581
150,-0.0708112,0.0508339
151,-0.0708112,0.0508339
152,-0.0611849,0.0571549
153,-0.0726277,0.0458861
154,-0.0726277,0.0458861
155,-0.0715628,0.0464883
156,-0.0686304,0.0420955
157,-0.0797112,0.0398105
158,-0.0802923,0.0477578
159,-0.0789095,0.0436058
160,-0.0720129,0.0417866
161,-0.0853791,0.0362113
162,-0.0727193,0.0462828
163,-0.0727193,0.0462828
164,-0.0711688,0.0427447
165,-0.073501,0.046034
166,-0.0755454,0.0494184
167,-0.0755454,0.0494184
168,-0.0782895,0.0476336
169,-0.0782895,0.0476336
170,-0.0749271,0.046653
171,-0.0884427,0.0345715
172,-0.0762649,0.0406019
173,-0.0762649,0.0406019
174,-0.0806022,0.0392764
175,-0.0920511,0.032259
176,-0.0902778,0.0339605
177,-0.0776755,0.0434339
178,-0.0829568,0.0396231
179,-0.0840575,0.0330741
180,-0.0754369,0.0356563
181,-0.0864145,0.0365999
182,-0.0794384,0.0328005
183,-0.0903511,0.0303159
