MDTU,|Tr(Lx)|
1,0.577448
2,0.577448
3,0.368995
4,0.368995
5,0.368995
6,0.368995
7,0.368995
8,0.368995
9,0.368995
10,0.368995
11,0.368995
12,0.381207
13,0.446418
14,0.446418
15,0.446418
16,0.446418
17,0.446418
18,0.373803
19,0.330863
20,0.34097
21,0.34097
22,0.390651
23,0.300973
24,0.300973
25,0.300973
26,0.300973
27,0.135417
28,0.135417
29,0.0866765
30,0.0866765
31,0.0863747
32,0.178865
33,0.178865
34,0.261977
35,0.261977
36,0.117741
37,0.087172
38,0.121934
39,0.121934
40,0.121934
41,0.0734974
42,0.144825
43,0.172781
44,0.0512593
45,0.0125456
46,0.0125456
47,0.0125456
48,0.052188
49,0.052188
50,0.0685252
51,0.0919699
52,0.224257
53,0.241767
54,0.17567
55,0.17567
56,0.162918
57,0.162918
58,0.262329
59,0.0565783
60,0.0854671
61,0.208529
62,0.165111
63,0.109804
64,0.081768
65,0.148949
66,0.123762
67,0.172589
68,0.104943
69,0.0353736
70,0.0479111
71,0.0479111
72,0.0152579
73,0.171543
74,0.0648205
75,0.057121
76,0.111949
77,0.204107
78,0.0449268
79,0.102941
80,0.102941
81,0.0101741
82,0.0101741
83,0.0703361
84,0.156701
85,0.0553751
86,0.199417
87,0.0866621
88,0.186283
89,0.186283
90,0.066438
91,0.298503
92,0.0171622
93,0.074124
94,0.0920857
95,0.0831219
96,0.168846
97,0.0130791
98,0.0915204
99,0.0915204
100,0.179172
101,0.136447
102,0.0422454
103,0.0103263
104,0.0103263
105,0.0103263
106,0.117163
107,0.0505043
108,0.133252
109,0.0643258
110,0.164749
111,0.151656
112,0.260517
113,0.239524
114,0.178337
115,0.095547
116,0.0772401
117,0.0772401
118,0.15731
119,0.0358022
120,0.0384655
121,0.18894
122,0.179539
123,0.303978
124,0.103283
125,0.102753
126,0.063939
127,0.174836
128,0.208574
129,0.0666155
130,0.134917
131,0.208544
132,0.157355
133,0.157355
134,0.157355
135,0.157355
136,0.216755
137,0.162244
138,0.16062
139,0.114099
140,0.114099
141,0.146922
142,0.146922
