MDTU,plaq
1,2.36486
2,2.36486
3,2.03657
4,2.03657
5,2.03657
6,2.03657
7,2.03657
8,2.03657
9,2.03657
10,2.03657
11,2.03657
12,2.03657
13,2.03657
14,2.03657
15,2.03657
16,2.03657
17,2.03657
18,2.03657
19,2.03657
20,2.03657
21,2.03657
22,2.03657
23,2.03657
24,2.03657
25,2.03657
26,2.03657
27,2.03657
28,2.03657
29,2.03657
30,2.03657
31,2.03657
32,2.03657
33,2.03657
34,2.03657
35,2.03657
36,2.03657
37,1.78307
38,1.78307
39,1.78307
40,1.78307
41,1.78307
42,1.78307
43,1.62416
44,1.51014
45,1.51014
46,1.51014
47,1.51014
48,1.51014
49,1.51014
50,1.40884
51,1.40884
52,1.30464
53,1.25796
54,1.23173
55,1.23173
56,1.19879
57,1.19879
58,1.1467
59,1.13363
60,1.11428
61,1.1056
62,1.11318
63,1.11318
64,1.12469
65,1.11194
66,1.10853
67,1.09127
68,1.09463
69,1.10313
70,1.05218
71,1.06675
72,1.04624
73,1.03077
74,1.00692
75,1.01791
76,1.01345
77,1.01345
78,1.00794
79,1.02062
80,1.02783
81,1.02098
82,1.02098
83,1.00901
84,1.00906
85,1.02192
86,1.01306
87,1.01306
88,1.01306
89,1.01598
90,1.01598
91,1.02896
92,1.0254
93,0.982588
94,0.98592
95,0.994748
96,0.989718
97,0.997471
98,0.959175
99,0.959991
100,0.957033
101,0.942717
102,0.947656
103,0.950638
104,0.950638
105,0.950638
106,0.932981
107,0.935635
108,0.923112
109,0.939571
110,0.928359
111,0.936081
112,0.93049
113,0.96073
114,0.959821
115,0.963431
116,0.984307
117,0.984307
118,0.979923
119,0.986643
120,0.969058
121,0.966429
122,0.966429
123,0.976467
124,0.994043
125,0.970466
126,0.956228
127,0.965427
128,0.965427
129,0.965427
130,0.984435
131,0.976184
132,0.96838
133,0.988743
134,0.988743
135,0.97306
136,0.97306
137,0.978286
138,1.00311
139,1.00658
140,1.00385
141,1.00741
142,1.00027
143,0.995348
144,1.0115
145,1.00917
146,1.00917
147,0.993547
148,0.99542
149,0.99542
150,0.99542
151,0.99542
152,0.99542
153,0.993078
154,0.984863
155,0.992906
156,0.998981
157,0.983371
158,0.996935
159,0.994498
160,0.995585
161,0.972108
162,0.982861
163,0.982861
164,0.990317
165,0.992688
166,0.997294
167,0.98547
168,0.996259
169,0.996259
170,0.973268
171,0.974836
172,0.964856
173,0.971789
174,0.981419
175,0.985547
176,0.974364
177,0.961825
178,0.970874
179,0.970664
180,0.970664
181,0.978027
182,0.974741
183,0.983575
184,1.01838
185,1.01838
186,1.0281
187,1.01868
188,1.00257
189,0.995537
190,0.977919
191,0.977919
192,0.98038
193,0.982799
194,0.964979
195,0.976613
196,1.00434
197,1.00716
198,1.01438
199,1.00679
200,1.00897
201,0.992717
202,0.976903
203,0.976903
204,0.973378
205,0.973378
206,0.980861
207,0.980861
208,0.992481
209,1.00327
210,0.974057
211,0.973549
212,0.993339
213,0.988346
214,0.988346
215,0.988346
216,0.996255
217,0.969623
218,0.996757
219,1.01187
220,1.01187
221,0.999033
222,1.04694
223,1.04694
224,1.04694
225,1.05565
226,1.05565
227,1.04144
228,1.06906
229,1.06382
230,1.0465
231,1.04316
232,1.04316
233,1.02343
234,1.00444
235,0.992922
236,1.00199
