MDTU,min_min,min_max,max_min,max_max5
1,0.135965,0.198654,0.23868,0.276362
2,0.135965,0.198654,0.23868,0.276362
3,0.0806914,0.174647,0.188456,0.256884
4,0.0806914,0.174647,0.188456,0.256884
5,0.0806914,0.174647,0.188456,0.256884
6,0.0806914,0.174647,0.188456,0.256884
7,0.0806914,0.174647,0.188456,0.256884
8,0.0806914,0.174647,0.188456,0.256884
9,0.0806914,0.174647,0.188456,0.256884
10,0.0806914,0.174647,0.188456,0.256884
11,0.0806914,0.174647,0.188456,0.256884
12,0.0806914,0.174647,0.188456,0.256884
13,0.0806914,0.174647,0.188456,0.256884
14,0.0806914,0.174647,0.188456,0.256884
15,0.0806914,0.174647,0.188456,0.256884
16,0.0806914,0.174647,0.188456,0.256884
17,0.0806914,0.174647,0.188456,0.256884
18,0.0806914,0.174647,0.188456,0.256884
19,0.0806914,0.174647,0.188456,0.256884
20,0.0806914,0.174647,0.188456,0.256884
21,0.0806914,0.174647,0.188456,0.256884
22,0.0806914,0.174647,0.188456,0.256884
23,0.0806914,0.174647,0.188456,0.256884
24,0.0806914,0.174647,0.188456,0.256884
25,0.0806914,0.174647,0.188456,0.256884
26,0.0806914,0.174647,0.188456,0.256884
27,0.0806914,0.174647,0.188456,0.256884
28,0.0806914,0.174647,0.188456,0.256884
29,0.0806914,0.174647,0.188456,0.256884
30,0.0806914,0.174647,0.188456,0.256884
31,0.0806914,0.174647,0.188456,0.256884
32,0.0806914,0.174647,0.188456,0.256884
33,0.0806914,0.174647,0.188456,0.256884
34,0.0806914,0.174647,0.188456,0.256884
35,0.0806914,0.174647,0.188456,0.256884
36,0.0806914,0.174647,0.188456,0.256884
37,0.0501673,0.126004,0.157034,0.221429
38,0.0501673,0.126004,0.157034,0.221429
39,0.0501673,0.126004,0.157034,0.221429
40,0.0501673,0.126004,0.157034,0.221429
41,0.0501673,0.126004,0.157034,0.221429
42,0.0501673,0.126004,0.157034,0.221429
43,0.0222841,0.106603,0.134439,0.207958
44,-0.00277392,0.0891552,0.115536,0.190972
45,-0.00277392,0.0891552,0.115536,0.190972
46,-0.00277392,0.0891552,0.115536,0.190972
47,-0.00277392,0.0891552,0.115536,0.190972
48,-0.00277392,0.0891552,0.115536,0.190972
49,-0.00277392,0.0891552,0.115536,0.190972
50,-0.0311376,0.0733339,0.0981239,0.172911
51,-0.0311376,0.0733339,0.0981239,0.172911
52,-0.0412441,0.0546011,0.0784498,0.158824
53,-0.0516889,0.0567532,0.0710539,0.163817
54,-0.0723291,0.048395,0.0566712,0.156911
55,-0.0723291,0.048395,0.0566712,0.156911
56,-0.0672842,0.039186,0.0540374,0.144359
57,-0.0672842,0.039186,0.0540374,0.144359
58,-0.116314,0.0421813,0.0315501,0.157807
59,-0.0916655,0.0348813,0.030168,0.136658
60,-0.106728,0.0337795,0.0227994,0.140079
61,-0.104656,0.0321996,0.0197493,0.133234
62,-0.0973397,0.0232427,0.0348015,0.138384
63,-0.0973397,0.0232427,0.0348015,0.138384
64,-0.10069,0.030823,0.0251777,0.148791
65,-0.0910668,0.0185953,0.036679,0.131473
66,-0.0960368,0.0210338,0.0235594,0.142792
67,-0.11846,0.0327639,0.0141765,0.142139
68,-0.105049,0.0271675,0.0208524,0.137444
69,-0.099567,0.0226108,0.0307349,0.124271
70,-0.119792,0.0198987,0.0140216,0.139992
71,-0.111451,0.0132808,0.0240179,0.119738
72,-0.135738,0.00923886,0.0156194,0.125828
73,-0.127647,-0.0016238,0.0118344,0.122727
74,-0.142704,0.00425008,-0.00222188,0.127236
75,-0.139317,0.0186541,-0.0155018,0.136311
76,-0.143539,0.0165479,-0.00905064,0.131173
77,-0.143539,0.0165479,-0.00905064,0.131173
78,-0.160539,0.0181599,-0.0110755,0.13664
79,-0.135377,0.0115475,0.00204637,0.134349
80,-0.130969,0.0196257,-0.000639765,0.12509
81,-0.133812,0.00412734,0.00728301,0.117915
82,-0.133812,0.00412734,0.00728301,0.117915
83,-0.1431,0.0121642,-0.00714023,0.128729
84,-0.122035,0.000538002,0.00227006,0.115032
85,-0.129117,0.00780936,0.00443331,0.126362
86,-0.13269,0.00676864,-0.000384183,0.124609
87,-0.13269,0.00676864,-0.000384183,0.124609
88,-0.13269,0.00676864,-0.000384183,0.124609
89,-0.145336,0.021897,0.00430304,0.127042
90,-0.145336,0.021897,0.00430304,0.127042
91,-0.138988,0.0192563,0.00167891,0.128778
92,-0.144786,0.0259086,-0.00632179,0.143916
93,-0.16264,0.0115699,-0.0131749,0.128389
94,-0.178533,0.0161632,-0.0201282,0.135152
95,-0.146999,0.00768213,-0.00428379,0.120626
96,-0.170557,0.0164063,-0.0214435,0.136081
97,-0.155504,0.00976954,-0.00335594,0.128085
98,-0.164179,0.00433392,-0.0132425,0.121316
99,-0.154849,-0.00693256,-0.0111013,0.11449
100,-0.153184,-0.00432126,-0.01497,0.121628
101,-0.160022,-0.0113979,-0.0216156,0.115233
102,-0.174257,0.00539519,-0.0243118,0.11691
103,-0.168178,-0.00687208,-0.0164478,0.110489
104,-0.168178,-0.00687208,-0.0164478,0.110489
105,-0.168178,-0.00687208,-0.0164478,0.110489
106,-0.162319,-0.0109901,-0.0238052,0.115916
107,-0.16538,-0.0103718,-0.0213527,0.115434
108,-0.165492,-0.0203626,-0.0164263,0.0980085
109,-0.17416,-0.00253106,-0.0272514,0.126999
110,-0.178811,-0.0125854,-0.0201469,0.103755
111,-0.173267,0.00553771,-0.0357456,0.116051
112,-0.171896,-0.0230223,-0.0147449,0.102743
113,-0.15211,-0.0117688,-0.00348041,0.12008
114,-0.136848,-0.0130548,0.00445211,0.101105
115,-0.167925,0.00657398,-0.0221201,0.128113
116,-0.148614,0.00448728,-0.00943016,0.119001
117,-0.148614,0.00448728,-0.00943016,0.119001
118,-0.142555,-0.000397241,-0.0095351,0.119338
119,-0.165401,0.00193135,-0.0160924,0.127387
120,-0.169886,0.00923608,-0.0194405,0.125433
121,-0.151523,-0.00716748,-0.00560895,0.120722
122,-0.151523,-0.00716748,-0.00560895,0.120722
123,-0.150301,0.000339357,-0.0206325,0.129999
124,-0.14917,0.0105154,-0.00766325,0.128062
125,-0.157905,0.00505968,-0.0259653,0.123723
126,-0.169907,0.0078206,-0.0232564,0.121203
127,-0.162006,0.00851289,-0.0193675,0.120308
128,-0.162006,0.00851289,-0.0193675,0.120308
129,-0.162006,0.00851289,-0.0193675,0.120308
130,-0.155521,0.0117512,-0.0163525,0.12632
131,-0.154024,-0.00132006,-0.0123971,0.122106
132,-0.147616,-0.00978558,-0.0132449,0.109957
133,-0.15242,0.0143931,-0.0126745,0.125718
134,-0.15242,0.0143931,-0.0126745,0.125718
135,-0.143466,-0.0111824,-0.0106147,0.118264
136,-0.143466,-0.0111824,-0.0106147,0.118264
137,-0.14834,0.00594307,-0.0162213,0.120312
138,-0.135927,0.00661887,-0.00546967,0.121935
