ReTr(Lx),ImTr(Lx)
-0.0316526,0.132997
-0.0131884,0.112217
0.0867333,0.125823
-0.14707,0.0732672
-0.14707,0.0732672
0.0189945,0.0154931
0.102075,0.0232362
-0.0555413,0.0915083
-0.182952,0.109703
0.0976392,0.144352
0.0976392,0.144352
-0.102059,0.134192
-0.128087,0.00355375
0.00708099,0.0846708
0.012219,0.0940375
-0.0789617,0.0599975
-0.0789617,0.0599975
-0.00729358,0.0169023
0.0375277,0.0631458
-0.041421,0.125464
-0.00294632,0.150692
0.0573821,0.070807
-0.118213,0.134442
0.092575,-0.148212
-0.0865508,-0.017322
-0.172133,-0.0528467
-0.0779147,-0.0309929
-0.0779147,-0.0309929
-0.0779147,-0.0309929
0.0253426,-0.0597853
-0.0281209,0.147553
0.133302,-0.0122456
0.000446415,0.00906658
-0.039436,0.0995142
0.101474,0.200527
0.101474,0.200527
-0.0773332,0.148767
-0.0773332,0.148767
0.0632847,-0.000571407
-0.0982017,1.13658e-05
0.0129419,-0.185133
0.0129419,-0.185133
-0.0376821,-0.0316209
0.143988,-0.0975108
0.09191,-0.0902208
0.115593,-0.0594862
-0.0201477,-0.00273577
-0.0109736,-0.0105629
0.0025471,-0.009948
0.0202356,-0.14387
0.0164355,-0.0265963
0.0832253,0.204297
0.101746,0.156383
0.00388618,0.0292682
0.102249,0.0305587
0.0655421,0.147516
0.0655421,0.147516
-0.0723574,0.166541
0.127701,0.10794
0.0974925,0.124337
0.120227,-0.0587941
0.115381,0.0475698
0.115381,0.0475698
-0.0527392,0.0395851
0.0194553,-0.00386763
0.167043,-0.0437357
-0.0297257,-0.0610488
0.028636,0.0359795
-0.0388953,0.141622
0.0284207,-0.0569164
0.028766,0.105377
0.0264584,-0.0165531
-0.0554535,0.0834158
-0.0888033,0.0747685
-0.00057464,0.0743407
-0.161818,0.146882
-0.158303,0.0319282
0.016388,0.0140732
0.0117604,0.161249
0.0911333,-0.0363623
0.239035,-0.0907583
0.239035,-0.0907583
0.0540977,0.0478663
0.0994417,0.053139
0.123485,0.133258
0.131272,-0.0334778
0.131272,-0.0334778
0.131272,-0.0334778
0.0297369,-0.0068143
0.0869408,0.0292177
-0.0214707,0.107097
-0.0686114,0.123606
0.155539,0.0446019
0.155539,0.0446019
0.140374,-0.00895975
0.151787,-0.0885975
0.0146639,-0.118564
0.175287,-0.0928558
0.175287,-0.0928558
0.291176,0.15992
0.0965883,0.158618
0.0965883,0.158618
0.292038,-0.0524937
0.295618,-0.065811
0.15073,0.0441497
-0.0392858,0.0724618
0.0489694,-0.0186502
-0.0642078,0.0722165
-0.0415515,0.146918
0.0587747,0.0700218
0.0411595,-0.00378547
0.0411595,-0.00378547
0.0411595,-0.00378547
0.0426791,-0.166014
-0.034668,-0.123847
0.0133998,-0.105384
0.047861,-0.0114417
-0.0314757,-0.110996
-0.037426,-0.112782
0.08578,-0.195455
-0.0697718,0.0232709
0.0901617,-0.00278225
0.0548695,0.00763118
-0.156267,0.0732526
-0.131757,-0.0439394
-0.131757,-0.0439394
-0.138948,-0.0351687
0.0598698,-0.134854
0.0598698,-0.134854
0.0598698,-0.134854
0.139773,-0.0568474
-0.117548,0.0892825
-0.117548,0.0892825
0.0237915,-0.00638407
0.0237915,-0.00638407
0.0237915,-0.00638407
-0.0363702,0.0390558
0.0122014,0.0876992
0.0303592,0.0449178
0.0303592,0.0449178
0.0303592,0.0449178
-0.00877733,0.0202333
-0.102567,0.0147967
-0.141126,0.0623003
-0.131216,0.0444252
-0.131216,0.0444252
-0.155376,0.116456
0.107719,-0.125152
0.107719,-0.125152
-0.111268,-0.189497
-0.0393572,-0.119768
