t,deltaS
1,-0.1119
2,0.0235
3,0.01697
4,0.02692
5,0.03893
6,0.002574
7,0.01513
8,-0.02474
9,0.03477
10,-0.01082
11,0.528
12,0.526
13,0.02195
14,0.3652
15,0.2267
16,0.5177
17,-0.1516
18,0.7675
19,0.3747
20,0.2728
21,-0.1336
22,-0.2203
23,0.3684
24,-0.03419
25,0.007065
26,0.709
27,-0.281
28,0.4219
29,0.4128
30,0.2596
31,0.6133
32,1.727
33,-0.2109
34,0.2182
35,-0.708
36,-0.3823
37,1.2
38,-0.6988
39,-0.4569
40,-0.1189
41,0.4536
42,0.475
43,-0.233
44,-1.937
45,0.868
46,-0.1294
47,-0.4
48,0.8972
49,0.8539
50,0.7573
51,0.7847
52,0.3779
53,-0.0602
54,0.2789
55,0.7839
56,-0.7217
57,0.4729
58,-0.1597
59,-0.04652
60,-0.08367
61,-0.8845
62,0.2071
63,-1.24
64,-0.2264
65,-0.03734
66,0.9811
67,-0.168
68,-0.3999
69,0.7751
70,0.1598
71,0.09601
72,0.9577
73,0.3533
74,0.1806
75,-0.1774
76,0.3071
77,-0.5652
78,1.412
79,-0.5474
80,0.4902
81,0.7562
82,1.443
83,0.5025
84,-0.9551
85,-0.7536
86,1.262
87,0.2204
88,-0.3333
89,0.4808
90,0.2056
91,0.6126
92,-0.4545
93,0.8829
94,0.5079
95,1.017
96,0.3059
97,-0.3267
98,1.158
99,0.5197
100,-0.1456
101,0.7348
102,-0.9007
103,0.7901
104,0.2787
105,-0.215
106,0.1376
107,0.4521
108,1.355
109,0.6375
110,-0.4246
111,0.1347
112,0.07271
113,-0.5148
114,-0.02186
115,0.189
116,-0.07559
117,-0.07495
118,-0.9732
119,0.2888
120,1.091
121,-0.1098
122,1.111
123,0.3785
124,-0.2601
125,0.1816
126,0.1648
127,0.09186
128,-0.1008
129,0.6662
130,0.3569
131,-0.337
132,0.6458
133,-0.5794
134,-0.1
135,0.8309
136,1.33
137,-0.3395
138,0.09991
139,0.3108
140,0.1127
141,0.2373
142,-0.06548
143,-0.178
144,0.06654
145,-0.3476
146,-0.01112
147,-0.5021
148,-0.7613
149,0.1241
150,0.5889
151,0.3441
152,-0.2731
153,-0.08003
154,1.298
155,-0.1169
156,0.9519
157,-0.001215
158,0.2143
159,1.119
160,1.41
161,1.042
162,0.6488
163,0.0008081
164,-0.01697
165,0.5553
166,0.8899
167,0.8924
168,0.00275
169,0.591
170,-0.2305
171,-0.389
172,0.6578
173,-0.3397
174,0.7381
175,-0.1416
176,0.8073
177,-0.1936
178,0.662
179,0.1894
180,-1.109
181,-0.5124
182,-1.155
183,0.2025
184,0.5702
185,0.1336
186,0.4923
187,0.3119
188,-1.139
189,-0.6816
190,0.3103
191,0.2673
192,-1.055
193,0.569
194,-0.1782
195,0.1243
196,0.6964
197,0.09284
198,-0.2827
199,0.008947
200,-0.2328
201,-0.6374
202,-0.1065
203,0.2599
204,-1.382
205,0.7445
206,-0.8943
207,0.002478
208,-0.2722
209,-0.05262
210,0.3369
211,0.7533
212,-0.4275
213,0.5096
214,-0.4927
215,-0.4746
216,-0.01464
217,0.7155
218,-0.05677
219,0.4284
220,0.7801
221,0.3433
222,-0.2102
223,-0.3177
224,-0.6144
225,0.323
226,-1.124
227,0.2529
228,0.4944
229,0.6192
230,0.2202
231,0.4116
232,-0.06505
233,-0.8035
234,0.1698
235,-0.08187
236,-1.228
237,1.016
238,0.7816
239,0.1608
240,0.8628
241,0.01988
242,0.1936
243,0.4579
244,0.4188
245,-0.1703
246,1.297
247,0.04891
248,0.1654
249,-0.1636
250,-0.6043
251,-0.04412
252,-0.3071
253,0.6099
254,-0.5548
255,0.7752
256,0.1805
257,0.4314
258,0.7368
259,0.01321
260,0.5662
261,-0.1227
262,0.9646
263,-0.09382
264,-0.238
265,0.7556
266,0.4623
267,0.02819
268,0.06965
269,-0.1121
270,0.6388
271,0.06542
272,-0.1068
273,0.6133
274,0.6272
275,0.4928
276,-0.1539
277,-0.1591
278,0.8919
279,-0.1982
280,0.3331
281,0.6985
282,-0.829
283,0.2517
284,0.8947
285,-0.3463
286,0.4032
287,1.048
288,0.06636
289,0.357
290,-0.3107
291,-0.07268
292,0.0007515
293,-0.8007
294,-1.12
295,0.9215
296,1.477
297,0.363
298,-0.02224
299,0.4813
300,0.6039
301,-0.287
302,0.4836
303,-0.6614
304,0.6262
305,0.06739
306,-0.008137
307,1.051
308,0.4477
309,-0.2931
310,-0.3924
311,0.6212
312,0.133
313,0.6297
314,-0.2456
315,0.6081
316,-0.4818
317,0.5466
318,0.999
319,-0.2265
320,0.1757
321,0.01212
322,-0.1373
323,-0.3291
324,0.1711
325,1.112
326,0.55
327,-0.04019
328,-0.7944
329,0.8058
330,-0.6509
331,1.023
332,0.9486
333,-0.006906
334,0.401
335,1.115
336,-1.079
337,1.094
338,-0.1878
339,0.2468
340,0.2839
341,-0.1054
342,-0.5346
343,0.5738
344,-0.8732
345,0.714
346,0.5312
347,0.6693
348,-0.9394
349,0.7914
350,0.2874
351,0.415
352,1.009
353,-0.3763
354,-0.7142
355,-0.1578
356,1.006
357,-0.2733
358,-1.043
359,-0.3622
360,1.129
361,0.02354
362,-0.03053
363,-0.3263
364,-0.01338
365,1.177
366,-0.1905
367,0.3108
368,-0.1145
369,-0.4259
370,0.346
371,0.351
372,1.124
373,-0.008048
374,0.4918
375,0.1111
376,0.7301
377,0.7655
378,-0.2551
379,0.6811
380,0.9798
381,-0.09791
382,-0.2383
383,-0.827
384,-0.557
385,-0.1215
386,-1.34
387,0.621
388,0.4151
389,-0.3157
390,1.452
391,0.236
392,1.032
393,-0.7582
394,0.8129
395,-0.6147
396,0.5076
397,0.4384
398,1.189
399,0.7715
400,0.3795
401,1.584
402,-0.3228
403,0.2775
404,0.4915
405,0.5054
406,-0.5896
407,0.155
408,1.757
409,0.01585
410,1.135
411,-0.4777
412,1.143
413,0.6719
414,-0.3748
415,0.2812
416,0.4274
417,1.293
418,1.319
419,1.179
420,0.839
421,1.059
422,0.4755
423,1.076
424,0.44
425,0.6062
426,0.6572
427,0.6341
428,-0.6015
429,0.9947
430,0.3919
431,-1.09
432,0.8163
433,-0.01877
434,-0.2166
435,-0.2793
436,-0.92
437,0.5014
438,-0.03835
439,-0.03935
440,-0.2154
441,0.3599
442,-0.4686
443,0.06781
444,-0.3538
445,0.2076
446,0.4748
447,0.279
448,-0.3557
449,0.1968
450,-0.1591
451,-0.05656
452,0.2264
453,-0.4188
454,-0.5535
455,0.9054
456,0.5587
457,-0.07091
458,0.04448
459,0.579
460,-0.5915
461,0.6083
462,-0.4964
463,-1.184
464,-0.1212
465,0.0514
466,1.148
467,-0.8728
468,-0.109
469,0.003306
470,-0.08831
471,0.2267
472,0.6163
473,0.06165
474,0.2024
475,0.7537
476,0.2134
477,-0.6185
478,0.9023
479,-0.7295
480,-0.2707
481,0.4507
482,-0.1456
483,-0.0223
484,0.6645
485,-0.6344
486,1.444
487,1.23
488,-0.0986
489,0.5412
490,-0.2814
491,0.2236
492,0.215
493,0.44
494,-0.6975
495,-0.2068
496,0.3258
497,0.8023
498,0.2961
499,-0.354
500,0.6134
501,-0.2754
502,0.8631
503,-0.1938
504,-0.2595
505,0.4118
506,-1.291
507,0.537
508,0.4866
509,0.9886
510,1.001
511,-0.2393
512,0.306
513,0.2701
514,0.2825
515,-0.8409
516,-0.8428
517,0.5551
518,-0.264
519,1.163
520,-0.2341
521,-0.2657
522,0.9483
523,-0.5773
524,0.4163
525,1.395
526,0.6787
527,-0.02158
528,-0.1661
529,0.2446
530,1.084
531,-0.007712
532,-0.2686
533,0.7974
534,-0.478
535,0.5224
536,0.7018
537,0.1415
538,0.685
539,-0.5872
540,0.01214
541,0.4616
542,-0.2501
543,1.308
544,0.6325
545,0.5229
546,0.3497
547,0.9146
548,-0.7579
549,0.9497
550,0.6954
551,0.8935
552,-0.06777
553,0.5673
554,0.7506
555,-0.853
556,0.5879
557,-0.5625
558,0.4936
559,0.6682
560,-1.047
561,-0.2721
562,0.6293
563,0.3648
564,-0.4674
565,-0.3793
566,-1.082
567,-0.4129
568,0.3747
569,0.5896
570,0.3528
571,-0.4239
572,-0.03337
573,0.9719
574,0.6202
575,0.8313
576,0.1503
577,0.1246
578,0.3892
579,0.08573
580,-0.05157
581,0.291
582,-0.1606
583,-0.964
584,0.1409
585,0.6957
586,-1.137
587,1.285
588,0.253
589,0.1172
590,-0.5318
591,0.8853
592,0.2191
593,-0.8223
594,0.888
595,-0.2072
596,0.5472
597,0.5988
598,-0.07805
599,0.5984
600,0.7729
601,-0.01014
602,-0.3531
603,0.9809
604,0.1487
605,0.6378
606,0.01954
607,-0.2947
608,-0.3134
609,-0.3312
610,-0.8476
611,0.2903
612,0.5643
613,0.3117
614,-0.634
615,0.199
616,0.823
617,0.4374
618,-0.2434
619,0.5474
620,-0.459
621,0.3651
622,0.9088
623,-0.46
624,0.07917
625,1.256
626,0.6799
627,-0.6556
628,-0.2764
629,-0.6092
630,1.083
631,-0.5964
632,0.8073
633,0.2095
634,-0.002379
635,-0.8285
636,-0.2718
637,1.303
638,0.4572
639,1.078
640,-0.2386
641,0.7372
642,0.7266
643,0.6846
644,0.7784
645,0.2528
646,-0.1648
647,0.02858
648,0.6415
649,-0.09259
650,-0.221
651,0.4821
652,0.7315
653,-0.4026
654,0.1963
655,1.102
656,0.4414
657,-0.2186
658,0.2565
659,0.7005
660,-0.2929
661,0.6787
662,0.4303
663,0.8493
664,-0.318
665,0.4155
666,0.3153
667,-0.2077
668,-0.1625
669,0.007073
670,0.2052
671,0.4012
672,0.365
673,1.365
674,-0.2485
675,0.6163
676,0.6516
677,0.399
678,0.5104
679,0.2759
680,-0.8774
681,0.3419
682,-0.1659
683,0.1388
684,-0.2784
685,0.2442
686,0.6769
687,0.7364
688,0.4598
689,0.03957
690,-0.1294
691,0.4752
692,0.0813
693,0.1267
694,-0.8507
695,-0.763
696,0.4254
697,0.4061
698,0.2706
699,1.287
700,-1.03
701,-1.202
702,0.9343
703,-0.1592
704,0.03937
705,0.4832
706,0.4896
707,1.144
708,-0.1411
709,-0.5463
710,0.8486
711,0.8765
712,0.5132
713,0.1082
714,-0.5914
715,-0.1532
716,-0.551
717,-0.3461
718,0.6244
719,0.7136
720,-0.05978
721,0.8456
722,0.5321
723,0.2309
724,0.9496
725,0.3732
726,-0.03705
727,-0.06271
728,-0.05783
729,0.6867
730,0.3281
731,1.063
732,-0.1066
733,-0.6538
734,0.1443
735,-0.4452
736,0.6857
737,0.3839
738,-0.08681
739,-0.6149
740,0.1672
741,-0.4855
742,-0.8261
743,0.03976
744,-0.4123
745,0.5233
746,-0.2583
747,0.3317
748,-0.08952
749,0.8449
750,0.7313
751,-0.6553
752,0.8249
753,-0.788
754,-0.2545
755,0.2248
756,-0.06074
757,0.377
758,0.2079
759,0.7951
760,-0.2625
761,-0.8303
762,0.483
763,-0.2588
764,0.3995
765,1.801
766,-0.1676
767,-0.2644
768,0.9243
769,-0.5776
770,1.256
771,-0.7205
772,0.2468
773,-0.2389
774,0.4711
775,0.2224
776,0.1194
777,0.855
778,0.434
779,0.5009
780,-0.3258
781,-0.2307
782,0.289
783,0.5605
784,0.7713
785,-0.07124
786,0.3866
787,-0.1947
788,0.2498
789,0.09138
790,-0.1144
791,0.1375
792,0.6034
793,-1.145
794,1.404
795,0.1757
796,0.723
797,-0.262
798,0.4408
799,0.9183
800,-0.2783
801,0.04123
802,0.1673
803,0.6071
804,0.3543
805,0.2714
806,0.1212
807,0.02002
808,1.022
809,0.5341
810,0.259
811,0.683
812,0.242
813,-0.3433
814,0.8717
815,0.03473
816,0.214
817,0.1312
818,0.1468
819,-0.4374
820,0.512
821,0.005167
822,0.09443
823,-0.0494
824,-0.5318
825,0.3752
826,0.1444
827,-0.5353
828,1.403
829,0.2544
830,0.3523
831,-0.1448
832,0.7049
833,0.3069
834,-1.381
835,0.2162
836,0.6757
837,-0.3963
838,0.07161
839,0.0882
840,0.9691
841,-0.1163
842,-0.2231
843,-0.5608
844,0.0544
845,0.2662
846,-0.9864
847,0.194
848,0.5354
849,0.7271
850,0.3839
851,0.5935
852,0.4422
853,0.06784
854,0.1539
855,0.9712
856,-0.07253
857,-0.113
858,1.016
859,-0.3148
860,-0.4988
861,-0.6233
862,1.406
863,0.1381
864,0.7996
865,0.3213
866,0.3142
867,0.5045
868,-0.1441
869,1.054
870,1.07
871,-0.03113
872,-0.6736
873,0.5294
874,-0.581
875,-0.1301
876,-0.65
877,0.5573
878,-0.349
879,0.3836
880,0.1656
881,0.4035
882,-0.5819
883,0.3095
884,0.1216
885,-0.1605
886,0.5695
887,0.5883
888,0.5112
889,0.6655
890,0.4742
891,0.3223
892,-0.04136
893,0.3853
894,-0.6299
895,-0.8319
896,0.6478
897,1.242
898,-0.8335
899,-0.08767
900,-0.2219
901,-0.8907
902,-0.07251
903,0.443
904,0.3094
905,0.2465
906,0.3218
907,0.3052
908,0.9583
909,0.4565
910,0.7613
911,0.999
912,-1.219
913,-0.5198
914,-0.0664
915,-0.536
916,0.3644
917,-0.4555
918,-0.06941
