MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,0.99024,0.115623,0.983467
2,0.990623,0.193331,0.971575
3,0.990091,0.206658,0.968283
4,0.9912,0.25905,0.95675
5,0.991337,0.324395,0.936758
6,0.989755,0.400266,0.905208
7,0.990663,0.457941,0.878467
8,0.990663,0.457941,0.878467
9,0.986669,0.270906,0.94875
10,0.989694,0.212285,0.966658
11,0.990764,0.35806,0.9238
12,0.989817,0.346131,0.927325
13,0.990872,0.316594,0.938933
14,0.992097,0.403842,0.906183
15,0.992097,0.403842,0.906183
16,0.990482,0.395677,0.908017
17,0.989878,0.586845,0.797165
18,0.990609,0.462037,0.876258
19,0.991027,0.369543,0.91955
20,0.989412,0.475611,0.8676
21,0.990346,0.536732,0.832288
22,0.990346,0.536732,0.832288
23,0.991057,0.608,0.782643
24,0.991466,0.623427,0.770937
25,0.990723,0.748978,0.648509
26,0.990723,0.748978,0.648509
27,0.988332,0.792851,0.590075
28,0.990581,0.789693,0.598028
29,0.991097,0.857633,0.496727
30,0.991894,0.827216,0.547328
31,0.989323,0.761298,0.631811
32,0.989323,0.761298,0.631811
33,0.989323,0.761298,0.631811
34,0.990182,0.758783,0.636167
35,0.990182,0.758783,0.636167
36,0.987809,0.697151,0.699819
37,0.987977,0.580131,0.799717
38,0.989163,0.560921,0.814746
39,0.99254,0.62304,0.77263
40,0.99254,0.62304,0.77263
41,0.99254,0.62304,0.77263
42,0.989959,0.63179,0.762142
43,0.988752,0.687744,0.710379
44,0.988664,0.707148,0.690941
45,0.990546,0.770075,0.62303
46,0.99018,0.756027,0.639437
47,0.99018,0.756027,0.639437
48,0.99018,0.756027,0.639437
49,0.99018,0.756027,0.639437
50,0.988973,0.76744,0.623782
51,0.988973,0.76744,0.623782
52,0.988863,0.797083,0.585242
53,0.990861,0.887742,0.440138
54,0.991781,0.9623,0.240018
55,0.991781,0.9623,0.240018
56,0.986696,0.946025,0.280366
57,0.98918,0.983567,0.105235
58,0.990279,0.976183,0.166487
59,0.991943,0.973908,0.188293
60,0.990278,0.957558,0.252453
61,0.989571,0.923692,0.355028
62,0.989571,0.923692,0.355028
63,0.988734,0.9069,0.393862
64,0.988389,0.888408,0.433178
65,0.990339,0.884108,0.446233
66,0.989423,0.886625,0.439151
67,0.989423,0.886625,0.439151
68,0.989423,0.886625,0.439151
69,0.988842,0.936567,0.317255
70,0.990798,0.894192,0.426734
71,0.990798,0.894192,0.426734
72,0.989919,0.919742,0.36608
73,0.989919,0.919742,0.36608
74,0.989863,0.89405,0.424858
75,0.991459,0.821807,0.554639
76,0.990318,0.830767,0.539033
77,0.990501,0.848642,0.510784
78,0.990501,0.848642,0.510784
79,0.990131,0.796168,0.588622
80,0.987927,0.5999,0.784933
81,0.99092,0.609533,0.781275
82,0.988918,0.681841,0.716277
83,0.989641,0.684252,0.714974
84,0.987922,0.57726,0.801724
85,0.989066,0.573587,0.805761
86,0.989823,0.447118,0.883083
87,0.990156,0.432969,0.890475
88,0.990156,0.432969,0.890475
89,0.990156,0.432969,0.890475
90,0.990156,0.432969,0.890475
91,0.991135,0.441323,0.887458
92,0.986931,0.52191,0.837642
93,0.987429,0.504927,0.848567
94,0.991396,0.534649,0.834875
95,0.990099,0.440722,0.8866
96,0.991915,0.657455,0.74273
97,0.991397,0.639463,0.757598
98,0.990295,0.806572,0.574567
99,0.989099,0.767475,0.623938
100,0.990567,0.731529,0.667898
101,0.990874,0.759512,0.636376
102,0.990874,0.759512,0.636376
103,0.989758,0.810993,0.567372
104,0.987874,0.671986,0.724107
105,0.986823,0.697744,0.697835
106,0.989165,0.794098,0.589793
107,0.988209,0.831162,0.534534
108,0.990161,0.8337,0.534194
109,0.990161,0.8337,0.534194
110,0.989612,0.816493,0.55917
111,0.987585,0.842575,0.515162
112,0.989655,0.802272,0.579463
113,0.989655,0.802272,0.579463
114,0.989413,0.756112,0.638147
115,0.990719,0.761799,0.633393
116,0.990097,0.820205,0.554577
117,0.990097,0.820205,0.554577
118,0.990097,0.820205,0.554577
119,0.991065,0.719729,0.681322
120,0.988568,0.805917,0.572508
121,0.987373,0.8943,0.418488
122,0.990184,0.896258,0.420935
123,0.98988,0.832093,0.536174
124,0.98988,0.832093,0.536174
125,0.99098,0.717382,0.68367
126,0.99098,0.717382,0.68367
127,0.99115,0.682822,0.718422
128,0.99115,0.682822,0.718422
129,0.988135,0.593131,0.79032
130,0.987719,0.725085,0.670701
131,0.990037,0.682641,0.717059
132,0.991509,0.622912,0.771408
133,0.990971,0.679918,0.720927
134,0.992536,0.776727,0.617918
135,0.988619,0.851592,0.502155
136,0.988619,0.851592,0.502155
137,0.988607,0.742646,0.652549
138,0.990025,0.826109,0.545613
139,0.98737,0.872967,0.461333
140,0.989469,0.8681,0.474817
141,0.989469,0.8681,0.474817
142,0.990558,0.863383,0.485566
143,0.990161,0.90875,0.393183
144,0.990387,0.915817,0.377023
145,0.990076,0.916125,0.375455
146,0.990897,0.901633,0.411016
147,0.989596,0.854933,0.498387
148,0.989596,0.854933,0.498387
149,0.991398,0.859033,0.494906
150,0.991398,0.859033,0.494906
151,0.991398,0.859033,0.494906
152,0.990673,0.810983,0.568982
153,0.98885,0.77347,0.616091
154,0.98885,0.77347,0.616091
155,0.988212,0.830165,0.536087
156,0.987212,0.832747,0.530208
157,0.988997,0.923558,0.353772
158,0.991042,0.904133,0.405842
159,0.988244,0.984675,0.0839133
160,0.987546,0.968783,0.191587
161,0.989417,0.955525,0.256744
162,0.989417,0.955525,0.256744
163,0.989274,0.979908,0.135807
164,0.989274,0.979908,0.135807
165,0.989525,0.962417,0.230029
166,0.9893,0.955675,0.255734
167,0.9893,0.955675,0.255734
168,0.987846,0.953967,0.256492
169,0.987846,0.953967,0.256492
170,0.98884,0.92395,0.352307
171,0.98695,0.948375,0.273229
172,0.988293,0.934475,0.321682
173,0.988293,0.934475,0.321682
174,0.987917,0.946625,0.282634
175,0.989205,0.960192,0.23782
176,0.99041,0.955433,0.260881
177,0.990018,0.956725,0.254584
178,0.990298,0.923275,0.358124
179,0.989912,0.876975,0.459174
180,0.987759,0.901275,0.404191
181,0.991723,0.802221,0.583058
182,0.990252,0.751957,0.64433
183,0.991636,0.813126,0.567599
184,0.991636,0.813126,0.567599
185,0.990626,0.793006,0.593702
186,0.990416,0.817626,0.558937
187,0.990302,0.819205,0.556418
188,0.989362,0.820056,0.553486
189,0.991196,0.852875,0.505047
190,0.991196,0.852875,0.505047
191,0.991196,0.852875,0.505047
192,0.989357,0.789366,0.59643
193,0.99038,0.784912,0.603959
194,0.991139,0.890517,0.435129
195,0.987266,0.967617,0.195988
196,0.989973,0.96035,0.240363
197,0.991227,0.95685,0.258783
198,0.986855,0.919633,0.35799
199,0.990563,0.908292,0.395249
200,0.987894,0.947542,0.279461
201,0.988328,0.920142,0.360738
202,0.988536,0.819644,0.552618
203,0.99074,0.748287,0.649332
204,0.990138,0.717718,0.682095
205,0.990138,0.717718,0.682095
206,0.99075,0.821279,0.554153
207,0.99075,0.821279,0.554153
208,0.991255,0.89075,0.434915
209,0.988324,0.823316,0.54675
210,0.989448,0.812434,0.564763
211,0.990867,0.845925,0.515973
212,0.989456,0.82669,0.543697
213,0.989958,0.834375,0.532762
214,0.989958,0.834375,0.532762
215,0.989958,0.834375,0.532762
216,0.989958,0.834375,0.532762
217,0.989958,0.834375,0.532762
218,0.989958,0.834375,0.532762
219,0.986708,0.883083,0.440178
220,0.986708,0.883083,0.440178
221,0.98802,0.923992,0.349889
222,0.989316,0.9435,0.297579
223,0.988456,0.967292,0.20345
224,0.988456,0.967292,0.20345
225,0.988079,0.935433,0.318221
226,0.988079,0.935433,0.318221
227,0.989497,0.9592,0.242982
228,0.990887,0.971425,0.195422
229,0.991897,0.983758,0.126807
230,0.989814,0.943808,0.298257
231,0.989814,0.943808,0.298257
232,0.989814,0.943808,0.298257
233,0.990314,0.948458,0.284866
234,0.990314,0.948458,0.284866
235,0.99085,0.984992,0.107587
236,0.990641,0.970025,0.201052
237,0.990722,0.941692,0.307809
238,0.989858,0.9155,0.376402
239,0.990043,0.870258,0.472054
240,0.990748,0.869758,0.474448
241,0.99095,0.915125,0.380167
242,0.990332,0.923842,0.356756
243,0.990037,0.909533,0.391054
244,0.988174,0.865708,0.476483
245,0.988197,0.883433,0.442808
246,0.988638,0.888825,0.432892
247,0.988638,0.888825,0.432892
248,0.989052,0.898317,0.413825
249,0.989416,0.849892,0.506585
250,0.991111,0.720746,0.680313
