ReTr(L),ImTr(L)
-0.904379,-0.844207
-1.04947,-0.548361
-1.14481,-0.344478
-1.1465,-0.513252
-1.1465,-0.513252
-1.08954,-0.627821
-1.07412,-0.611421
-1.07412,-0.611421
-1.07412,-0.611421
-1.02362,-0.649017
-1.02362,-0.649017
-1.12289,-0.667817
-0.954211,-0.789219
-0.986914,-0.765387
-0.847997,-0.922893
-0.724325,-0.960452
-0.704395,-1.00239
-0.769825,-0.891647
-0.847135,-0.839678
-0.803545,-0.864607
-0.740526,-0.984194
-0.740526,-0.984194
-0.819021,-0.954766
-0.885331,-0.871693
-0.881357,-0.887991
-0.909193,-0.814602
-1.07171,-0.71647
-0.983251,-0.68037
-0.983251,-0.68037
-0.983251,-0.68037
-0.932152,-0.835863
-0.823626,-0.837337
-0.823626,-0.837337
-0.795927,-0.857119
-0.879235,-0.837251
-0.879235,-0.837251
-0.797747,-0.967653
-0.660962,-1.04004
-0.859196,-0.87703
-0.680949,-0.962132
-0.5793,-0.997009
-0.739205,-0.851897
-0.550569,-1.04149
-0.616173,-1.00006
-0.70081,-0.929555
-0.934472,-0.74701
-0.935799,-0.743058
-0.947384,-0.710985
-0.820616,-0.853186
-0.885241,-0.862488
-0.938062,-0.723984
-0.899791,-0.817922
-0.81843,-0.861185
-0.979327,-0.773204
-0.979327,-0.773204
-0.834604,-0.845019
-0.741414,-1.09695
-0.601542,-1.14629
-0.739387,-1.00042
-0.610396,-1.09385
-0.376653,-1.15801
-0.442449,-1.16909
-0.332699,-1.18469
-0.305152,-1.1471
-0.307872,-1.10969
-0.237375,-1.18502
-0.237375,-1.18502
-0.272033,-1.1879
-0.297758,-1.12927
-0.444432,-1.20884
-0.494611,-1.16139
-0.48117,-1.06778
-0.48117,-1.06778
-0.558074,-1.01984
-0.526664,-1.124
-0.43563,-1.15825
-0.43563,-1.15825
-0.43563,-1.15825
-0.43563,-1.15825
-0.43563,-1.15825
-0.389588,-1.15858
-0.396343,-1.15255
-0.434041,-1.11687
-0.31359,-1.17702
-0.238391,-1.19418
-0.317099,-1.19166
-0.294838,-1.19017
-0.0818744,-1.25967
-0.0256862,-1.20355
0.226111,-1.23742
0.348954,-1.26389
0.226004,-1.23573
0.226004,-1.23573
0.226004,-1.23573
0.275796,-1.20415
0.230801,-1.27492
0.243703,-1.19575
0.318347,-1.21389
0.296353,-1.18908
0.238029,-1.2158
0.238029,-1.2158
0.238029,-1.2158
0.0316036,-1.20512
0.15442,-1.21957
0.200409,-1.16047
0.325826,-1.14441
0.280045,-1.13042
0.373054,-1.16903
0.127978,-1.11252
0.0242169,-1.20873
-0.0106008,-1.16936
0.109625,-1.17268
0.129358,-1.21629
0.182953,-1.15132
0.176139,-1.18754
0.191208,-1.19642
0.191208,-1.19642
0.295254,-1.17108
0.139572,-1.14796
0.251037,-1.14142
0.15346,-1.17466
0.152828,-1.14366
0.251679,-1.11162
0.251679,-1.11162
0.294449,-1.14663
0.294449,-1.14663
0.294449,-1.14663
0.294449,-1.14663
0.294449,-1.14663
0.329809,-1.14234
0.454226,-1.07082
0.354989,-1.08667
0.494101,-1.07342
0.238771,-1.16733
0.379553,-1.10857
0.627658,-1.01089
0.712868,-0.992945
0.707574,-1.04821
0.618338,-1.03464
0.618338,-1.03464
0.618338,-1.03464
0.618338,-1.03464
0.651789,-1.0699
0.715405,-1.00138
0.826041,-0.868469
0.837644,-0.914595
0.743374,-0.954466
0.722047,-0.93333
0.704389,-1.0244
0.704389,-1.0244
0.530994,-1.05313
0.530994,-1.05313
0.501718,-1.07216
0.470655,-1.03728
0.512933,-1.08624
0.538966,-1.01849
0.416609,-1.12888
0.337322,-1.10799
0.318493,-1.20252
0.419158,-1.17291
0.673945,-1.01191
0.71477,-1.03298
0.71477,-1.03298
0.728412,-0.969287
0.707597,-0.971617
0.741235,-0.901808
0.741235,-0.901808
0.763465,-0.932671
0.789963,-0.947085
0.895508,-0.873298
0.88399,-0.834456
0.935076,-0.75982
0.935076,-0.75982
0.873681,-0.730045
0.976682,-0.673506
0.97517,-0.686637
0.944662,-0.693306
0.918285,-0.775418
0.961621,-0.820119
0.884379,-0.786443
1.09293,-0.588298
1.0539,-0.59842
1.05953,-0.632946
1.01906,-0.656417
1.04086,-0.73716
1.06413,-0.678036
0.963223,-0.728495
0.967647,-0.765858
0.812611,-0.862316
0.812611,-0.862316
0.713018,-0.975827
0.658339,-1.02256
0.838795,-0.826517
0.812413,-0.992265
0.748401,-1.04501
0.800533,-1.04501
0.899181,-0.865761
0.996987,-0.786696
0.962779,-0.688713
0.834716,-0.968865
0.774743,-0.932577
0.809277,-0.974323
0.839004,-0.945085
0.960261,-0.796846
0.960261,-0.796846
0.962461,-0.765366
0.94909,-0.820783
