MDTU,S_F
1,1.00028
2,1.00334
3,1.0016
4,1.00375
5,0.993839
6,1.00516
7,1.0002
8,0.998404
9,1.0008
10,0.99874
11,1.00247
12,1.0009
13,0.992961
14,1.00023
15,0.999959
16,0.998993
17,1.00566
18,0.994679
19,0.998
20,1.00915
21,0.997529
22,0.99867
23,0.999951
24,1.00354
25,0.996423
26,1.00203
27,1.00166
28,0.999049
29,1.00064
30,1.00097
31,0.996298
32,0.999559
33,0.995287
34,0.997579
35,1.00063
36,0.997115
37,0.998967
38,1.00267
39,1.0005
40,1.00114
41,0.998889
42,1.00587
43,0.995766
44,0.998454
45,0.996881
46,0.991777
47,1.00081
48,1.00598
49,1.00114
50,1.00284
51,1.00095
52,0.998363
53,0.999434
54,0.994921
55,1.00058
56,1.00228
57,1.00101
58,0.999884
59,1.00341
60,0.996028
61,1.00674
62,1.00351
63,1.00284
64,1.00262
65,0.994669
66,1.0038
67,1.00087
68,1.00135
69,1.00305
70,0.996661
71,1.00214
72,1.0033
73,1.00074
74,1.00415
75,1.00244
76,1.00282
77,0.998283
78,0.999706
79,1.00072
80,1.00437
81,0.997786
82,0.996894
83,1.00256
84,0.995332
85,1.00039
86,1.00743
87,0.998218
88,0.997534
89,0.994328
90,0.999106
91,1.00862
92,0.999938
93,0.997752
94,1.00216
95,0.994817
96,0.998009
97,1.00456
98,0.997077
99,0.993536
100,0.998599
101,1.00193
102,1.00581
103,0.998376
104,1.00775
105,1.00115
106,1.0016
107,1.00201
108,1.00095
109,1.00104
110,0.996001
111,1.00511
112,0.994223
113,1.00005
114,0.995648
115,0.992386
116,1.00303
117,0.999741
118,0.999802
119,1.00392
120,1.00116
121,1.00031
122,1.00049
123,0.995907
124,1.00405
125,1.00125
126,0.996486
127,1.00003
128,1.00815
129,1.00484
130,1.00539
131,0.999622
132,0.999865
133,0.999723
134,1.00033
135,1.00007
136,0.995762
137,1.00147
138,0.997061
139,1.00506
140,0.996731
141,0.992428
142,0.99806
143,1.00007
144,1.00293
145,1.00367
146,0.988188
147,0.996675
148,0.994739
149,0.998531
150,0.999266
151,0.993399
152,1.00689
153,0.998664
154,1.00458
155,1.00628
156,1.00108
157,1.0019
158,0.998209
159,1.00429
160,1.00502
161,1.0022
162,1.00018
163,0.993652
164,0.999069
165,1.00314
166,0.995782
167,1.00158
168,1.00161
169,0.999493
170,0.995288
171,1.00076
172,1.00265
173,0.996221
174,0.995138
175,1.00203
176,1.00253
177,1.00154
178,0.991822
179,0.99747
180,1.00018
181,1.00154
182,1.00432
183,0.999051
184,1.00416
185,1.00649
186,0.996062
187,1.00491
188,1.00597
189,0.993764
190,0.991315
191,1.00437
192,1.0026
193,1.0018
194,0.998154
195,1.00352
196,1.00718
197,0.992228
198,0.99947
199,0.994931
200,0.997887
201,0.995863
202,0.999357
203,1.00252
204,1.00395
205,0.999169
206,1.00673
207,1.0015
208,1.00103
209,0.998382
210,1.00045
211,0.999703
212,0.996173
213,0.999495
214,1.00101
215,1.0049
216,0.999469
217,0.992956
218,1.00242
219,0.999669
220,0.997359
221,1.00003
222,1.00287
223,0.997384
224,1.00037
225,0.998877
226,0.997919
227,0.997435
228,1.00194
229,1.00228
230,0.998304
231,1.00288
232,0.994824
233,0.998081
234,0.994476
235,1.00095
236,1.00288
237,1.00265
238,1.00257
239,1.00041
240,1.00146
241,1.006
242,1.00234
243,0.996768
244,1.00495
245,0.998657
246,0.996805
247,0.994556
248,1.00002
249,1.00152
250,1.00226
251,0.9976
252,0.998745
253,1.00189
254,1.00004
255,1.01063
256,1.00247
257,1.00346
258,1.00337
259,1.00351
260,0.997623
261,1.00004
262,0.995694
263,1.00378
264,1.00066
265,0.994343
266,1.00135
267,0.999157
268,1.00407
269,0.999683
270,0.997324
271,0.999069
272,1.00388
273,1.0037
274,0.997241
275,1.00112
276,1.00546
277,0.993464
278,0.997332
279,0.99974
280,1.00104
281,1.00149
282,1.00147
283,0.994306
284,1.00285
285,1.00009
286,0.995269
287,0.998662
288,1.00785
289,1.00372
290,1.00372
291,1.00204
292,1.0035
293,1.00218
294,1.00013
295,1.00118
296,0.99348
297,0.994822
298,0.998866
299,1.00195
300,1.0009
301,1.00599
302,1.00006
303,1.00255
304,0.994646
305,0.99966
306,1.00015
307,0.997441
308,0.997863
309,1.00035
310,1.00012
311,1.00073
312,0.99595
313,0.999149
314,1.00017
315,0.999444
316,1.00515
317,1.00039
318,0.996605
319,0.996345
320,1.00164
321,1.00451
322,1.0074
323,0.995601
324,1.00462
325,0.994487
326,1.00084
327,0.998523
328,1.00113
329,1.00191
330,0.998846
331,0.992383
332,0.997484
333,0.998905
334,1.00045
335,0.997713
336,1.00325
337,0.989325
338,0.999634
339,1.00358
340,0.999989
341,0.998055
342,0.999291
343,0.987365
344,1.00475
345,0.996958
346,0.99986
347,1.00154
348,1.00146
349,0.997561
350,1.00105
351,1.00136
352,1.00252
353,0.997896
354,0.99434
355,1.00094
356,1.00091
357,0.9933
358,0.997562
359,0.998512
360,0.993115
361,0.998215
362,0.995501
363,1.00464
364,1.00175
365,1.00147
366,1.00891
367,0.997136
368,1.00342
369,1.00071
370,1.00528
371,1.0062
372,1.00358
373,1.0038
374,0.99863
375,1.00396
376,1.00371
377,0.995983
378,0.999059
379,1.00157
380,0.99505
381,0.997867
382,0.995643
383,0.999921
384,1.00696
385,0.997757
386,1.00039
387,1.0009
388,1.00384
389,0.995652
390,1.00249
391,1.00041
392,0.998666
393,0.994101
394,1.00091
395,0.999336
396,1.00425
397,0.998869
398,0.991399
